Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Alvin and the Chipmunks,2007,PG,14 Dec 2007,92,"Animation, Adventure, Comedy",Tim Hill,"Jon Vitti, Will McRobb, Chris Viscardi","Jason Lee, Ross Bagdasarian Jr., Janice Karman","English, French, Spanish, Japanese",United States,3 wins & 2 nominations,39.0,5.2,"82,982",tt0952640
Alvin and the Chipmunks: The Road Chip,2015,PG,18 Dec 2015,92,"Animation, Adventure, Comedy",Walt Becker,"Ross Bagdasarian, Janice Karman, Randi Mayem Singer","Jason Lee, Justin Long, Matthew Gray Gubler","English, Spanish",United States,1 win & 4 nominations,33.0,5.0,"19,084",tt2974918
Disney's Magic Bake-Off,2021–,NA,13 Aug 2021,-1,"Family, Game-Show, Reality-TV",NA,NA,"Dara Renee, Issac Ryan Brown, Graciela Gomez",NA,United States,NA,-1.0,5.8,65,tt14539670
Octonauts & the Great Barrier Reef,2020,NA,13 Oct 2020,47,"Animation, Action, Adventure",Blair Simmons,"Vicki Wong, Michael Murphy, Stephanie Simpson","Paul Buckley, Simon Foster, Teresa Gallagher",English,United Kingdom,NA,-1.0,7.3,127,tt13150606
Disney Junior Ready for Preschool,2019–,NA,19 Oct 2019,-1,Family,NA,NA,NA,English,United States,NA,-1.0,-1.0,-1,tt13689142
Rolie Polie Olie,1998–2007,TV-Y,04 Oct 1998,24,"Animation, Comedy, Family",NA,William Joyce,"Cole Caplan, Adrian Truss, Kristen Bone",English,"Canada, United States, France",8 wins & 7 nominations,-1.0,6.4,"2,793",tt0172049
Star Wars: Galaxy of Sounds,2021–,NA,29 Sep 2021,-1,Sci-Fi,NA,NA,NA,English,United States,1 nomination,-1.0,7.1,212,tt15516280
The Hatcher Family Dairy,2021–,NA,11 Jul 2021,-1,Documentary,NA,NA,"Charles Hatcher, Jennifer Hatcher, Sharon Hatcher",English,United States,NA,-1.0,8.8,48,tt15058696
The Simpsons,1989–,TV-PG,17 Dec 1989,22,"Animation, Comedy",NA,"James L. Brooks, Matt Groening, Sam Simon","Dan Castellaneta, Nancy Cartwright, Harry Shearer",English,United States,Won 35 Primetime Emmys. 178 wins & 340 nominations total,-1.0,8.6,"391,847",tt0096697
A Spark Story,2021,TV-G,24 Sep 2021,87,"Documentary, Animation","Leanne Dare, Jason Sterman",NA,"Aphton Corbin, Pete Docter, Louis Gonzales",English,United States,NA,-1.0,-1.0,108,tt11963126
Spooky Buddies,2011,G,20 Sep 2011,88,"Family, Fantasy",Robert Vince,"Kevin DiCicco (character ""Air Bud"" created by), Robert Vince, Anna McRoberts, Paul Tamasy (characters created by), Aaron Mendelsohn (characters created by)","Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles",English,"USA, Canada",1 win.,-1.0,4.6,"1,719",tt1792131
The Fault in Our Stars,2014,PG-13,06 Jun 2014,126,"Drama, Romance",Josh Boone,"Scott Neustadter, Michael H. Weber, John Green","Shailene Woodley, Ansel Elgort, Nat Wolff",English,United States,21 wins & 17 nominations,69.0,7.7,"366,965",tt2582846
Dog: Impossible,2019–,NA,08 Sep 2019,-1,Reality-TV,NA,NA,Matt Beisner,NA,United States,NA,-1.0,7.7,118,tt10981266
Spidey and His Amazing Friends,2021–,TV-Y7,06 Aug 2021,-1,"Animation, Action, Adventure",NA,NA,"Benjamin Valic, Jakari Fraser, Lily Sanfelippo",English,United States,NA,-1.0,6.2,341,tt10862280
Star Wars: Visions,2021–,TV-PG,22 Sep 2021,-1,"Animation, Action, Adventure",NA,NA,"Michael Sinterniklaas, Neil Kaplan, Adam Sietz","English, Japanese","Japan, United States",2 nominations,-1.0,7.1,"14,841",tt13622982
Flooded Tombs of the Nile,2021,NA,14 Mar 2021,45,Documentary,Katie Bauer Murdock,Katie Bauer Murdock,"Devin E. Haqq, Pearce Paul Creasman, Justin Schneider",English,United States,1 nomination,-1.0,6.5,78,tt15286970
Nona,2021,NA,17 Sep 2021,8,"Animation, Short",Louis Gonzales,Louis Gonzales,Devon Libran,English,United States,1 nomination,-1.0,6.5,634,tt15088994
Life Below Zero,2012,NA,09 Feb 2012,-1,Documentary,Josh Freed,Josh Freed,NA,English,Canada,NA,-1.0,7.3,41,tt2479026
Miraculous: Tales of Ladybug & Cat Noir,2015–,TV-Y7,20 Dec 2015,20,"Animation, Action, Adventure",NA,NA,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein","Urdu, Hindi, French, Korean, English","France, South Korea, Japan, United States",NA,-1.0,7.7,"10,134",tt2580046
