Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Cheaper by the Dozen,2003,PG,25 Dec 2003,98,Shawn Levy,Frank B. Gilbreth Jr.| Ernestine Gilbreth Carey| Craig Titley,Steve Martin| Bonnie Hunt| Hilary Duff,English,United States,2 wins & 7 nominations,46.0,5.9,100411,tt0349205,Children|Comedy
Cheaper by the Dozen 2,2005,PG,21 Dec 2005,94,Adam Shankman,Sam Harper| Craig Titley| Frank B. Gilbreth Jr.,Steve Martin| Bonnie Hunt| Hilary Duff,English,United States| Canada,1 win & 5 nominations,34.0,5.5,57721,tt0452598,Adventure|Comedy|Family
Flora & Ulysses,2021,PG,19 Feb 2021,95,Lena Khan,Brad Copeland| Kate DiCamillo,Matilda Lawler| Alyson Hannigan| Ben Schwartz,English,United States,2 nominations,62.0,6.2,5807,tt8521736,Adventure|Comedy|Family
The Book of Life,2014,PG,17 Oct 2014,95,Jorge R. Gutiérrez,Jorge R. Gutiérrez| Doug Langdale,Diego Luna| Zoe Saldana| Channing Tatum,English|Spanish,United States,3 wins & 29 nominations,67.0,7.2,69767,tt2262227,Adventure|Animation|Romance
The Muppet Show,1976,TV-G,23 Apr 1977,30,,Jim Henson| Jack Burns,Jim Henson| Frank Oz| Richard Hunt,English,United States| United Kingdom,Won 4 Primetime Emmys. 11 wins & 25 nominations total,-1.0,8.4,24184,tt0074028,Comedy|Family|Music
Marvel Battleworld: Mystery of the Thanostones,2020,G,17 Jun 2020,3,,,Rebecca Shoichet| Giles Panton| Ian Hanlin,English,United States,,-1.0,5.9,80,tt12583300,Animation|Action
Marvel's Behind the Mask,2021,TV-14,12 Feb 2021,64,Mike Jacobs,,Nicole J. Georges| Maggie Thompson,English,United States,,-1.0,6.4,415,tt13885628,Documentary
Expedition Everest,2020,G,30 Jun 2020,42,,,,English,USA,,-1.0,7.3,36,tt13009970,Documentary
Upside-Down Magic,2020,TV-PG,31 Jul 2020,96,Joe Nussbaum,"Nick Pustay (teleplay by)| Josh A. Cagan (teleplay by)| Sarah Mlynowski (based upon the novel ""Upside-Down Magic"" by)| Lauren Myracle (based upon the novel ""Upside-Down Magic"" by)| Emily Jenkins (novel)",Izabela Rose| Siena Agudong| Kyle Howard| Elie Samouhi,English,USA| Canada,2 nominations.,-1.0,5.3,1091,tt10833270,Family|Fantasy
Dinosaurs,1991,TV-PG,26 Apr 1991,30,,Michael Jacobs| Bob Young,Stuart Pankin| Jessica Walter| Jason Willinger,English,United States,Won 1 Primetime Emmy. 5 wins & 3 nominations total,-1.0,7.4,18478,tt0101081,Comedy|Family|Fantasy
Pixar Popcorn,2021,TV-PG,22 Jan 2021,19,,,Keegan-Michael Key| Jordan Peele| Craig T. Nelson,English,United States,,-1.0,6.6,1877,tt13634444,Animation|Short|Comedy
Isle of Dogs,2018,PG-13,13 Apr 2018,101,Wes Anderson,Wes Anderson| Roman Coppola| Jason Schwartzman,Bryan Cranston| Koyu Rankin| Edward Norton,English|Japanese,United States| Germany| United Kingdom,Nominated for 2 Oscars. 34 wins & 94 nominations total,82.0,7.8,161766,tt5104604,Animation|Adventure|Comedy
WandaVision,2021,TV-PG,15 Jan 2021,350,,Jac Schaeffer,Elizabeth Olsen| Paul Bettany| Kathryn Hahn,English,United States,Won 3 Primetime Emmys. 25 wins & 101 nominations total,-1.0,8.0,273373,tt9140560,Action|Comedy|Drama
Disney Fam Jam,2020,G,23 Feb 2020,-1,,,Trevor Tordjman| Ariel Martin| Alyssa Aure,,United States,,-1.0,5.0,28,tt11138524,Biography
Ferdinand,2017,PG,15 Dec 2017,108,Carlos Saldanha,Robert L. Baird| Tim Federle| Brad Copeland,John Cena| Kate McKinnon| Bobby Cannavale,English|Spanish|German,United States,Nominated for 1 Oscar. 2 wins & 20 nominations total,58.0,6.7,55164,tt3411444,Animation|Adventure|Comedy
Marvel Studios: Legends,2021,TV-14,08 Jan 2021,7,,,Keith Wallace,English,United States,,-1.0,6.6,3923,tt13650480,Short|Action|Fantasy
Toy Story That Time Forgot,2014,TV-G,02 Dec 2014,22,Steve Purcell,Steve Purcell,Tom Hanks| Tim Allen| Kristen Schaal| Kevin McKidd,English,USA,8 nominations.,-1.0,7.2,10473,tt3473654,Animation|Short|Adventure|Comedy|Family|Fantasy
Mega Hammerhead,2016,G,26 Jun 2016,43,Brandon Hill| Marc Ostrick,Norman Anderson,Neil Hammerschlag| Dan Nachtrab| Bill Sebastian,English,USA,,-1.0,6.5,39,tt5828074,Documentary
Burrow,2020,G,25 Dec 2020,6,Madeline Sharafian,Madeline Sharafian,,English,United States,Nominated for 1 Oscar. 2 nominations total,-1.0,7.4,5598,tt13167288,Animation|Short|Comedy
Cosmos: Possible Worlds,2020,TV-PG,09 Mar 2020,45,,,Neil deGrasse Tyson| Seth MacFarlane| Sasha Sagan,English,United States,Won 2 Primetime Emmys. 2 wins & 2 nominations total,-1.0,9.1,5858,tt11170862,Documentary
Soul,2020,PG,25 Dec 2020,100,Pete Docter| Kemp Powers,Pete Docter| Mike Jones| Kemp Powers,Jamie Foxx| Tina Fey| Graham Norton,English|Korean|Inuktitut,United States,Won 2 Oscars. 120 wins & 94 nominations total,83.0,8.1,302673,tt2948372,Animation|Adventure|Comedy
Dory's Reef Cam,2020,TV-G,18 Dec 2020,180,Michal Makarewicz,,,English,USA,,-1.0,3.5,197,tt13496400,Animation|Adventure|Comedy|Family
On Pointe,2020,TV-PG,18 Dec 2020,50,,,Brandon Chosed| Nathan Chandler Reid,English,United States,1 nomination,-1.0,7.6,345,tt11097576,Documentary
Wild Nordic,2019,G,01 Jul 2019,45,,,Stig Henrik Hoff,English,United States,,-1.0,7.2,34,tt14072300,Documentary
High School Musical: The Musical: The Holiday Special,2020,TV-G,11 Dec 2020,45,Tim Federle,,Joshua Bassett| Matt Cornett| Julia Lester,English,United States,,-1.0,5.6,349,tt13290168,Comedy|Drama|Musical
Ralph Breaks the Internet,2018,PG,21 Nov 2018,112,Phil Johnston| Rich Moore,Phil Johnston| Pamela Ribon| Rich Moore,John C. Reilly| Sarah Silverman| Gal Gadot,English,United States,Nominated for 1 Oscar. 3 wins & 67 nominations total,71.0,7.0,152739,tt5848272,Animation|Adventure|Comedy
Safety,2020,PG,11 Dec 2020,122,Reginald Hudlin,Nick Santora,Jay Reeves| Javien Jackson| Thaddeus J. Mixson,English,United States,2 nominations,55.0,6.9,3645,tt10649016,Biography|Drama|Sport
Anastasia,1997,G,21 Nov 1997,94,Don Bluth| Gary Goldman,Susan Gauthier| Bruce Graham| Bob Tzudiker,Meg Ryan| John Cusack| Christopher Lloyd,English|Russian|French,United States,Nominated for 2 Oscars. 10 wins & 23 nominations total,61.0,7.1,120370,tt0118617,Adventure|Animation|Children|Drama|Musical
Godmothered,2020,PG,04 Dec 2020,110,Sharon Maguire,Kari Granlund| Melissa K. Stack,June Squibb| Jillian Bell| Sonia Manzano,English|Latin,United States,1 win & 2 nominations,49.0,6.1,12070,tt11681250,Comedy|Drama|Family
Man vs Shark,2019,G,17 Jul 2019,44,,,Dave Hoffman| Joe Romeiro| Jeremiah S. Sullivan,English,USA,,-1.0,6.3,30,tt10644346,Documentary
Mulan,2020,PG-13,04 Sep 2020,115,Niki Caro,Rick Jaffa| Amanda Silver| Lauren Hynek,Liu Yifei| Donnie Yen| Gong Li,English|Mandarin,United States| China,Nominated for 2 Oscars. 7 wins & 43 nominations total,66.0,5.7,142800,tt4566758,Action|Adventure|Drama
The Disney Holiday Singalong,2020,TV-G,30 Nov 2020,60,Hamish Hamilton| James B. Merryman,Brian Strickland,Ryan Seacrest| Andrea Bocelli| Caroline Bowman,English,United States,Nominated for 1 Primetime Emmy. 1 nomination total,-1.0,5.8,160,tt13392122,Family|Music|Musical
Black Beauty,2020,TV-PG,27 Nov 2020,110,Ashley Avis,Ashley Avis| Anna Sewell,Kate Winslet| Mackenzie Foy| Iain Glen,English,United States| United Kingdom| South Africa| Germany| France,,52.0,6.4,3406,tt8484160,Drama|Family
From Our Family to Yours,2020,TV-G,05 Mar 2021,3,,,,English,United Kingdom,,-1.0,7.4,58,tt13681410,Animation|Short|Family
Once Upon a Time in Wonderland,2013,TV-PG,10 Oct 2013,42,,Jane Espenson| Zack Estrin| Adam Horowitz,Sophie Lowe| Michael Socha| Peter Gadiot,English,Canada| United States,1 win & 4 nominations,-1.0,7.0,12067,tt2802008,Adventure|Drama|Fantasy
Folklore: The Long Pond Studio Sessions,2020,TV-14,25 Nov 2020,105,Taylor Swift,,Taylor Swift| Jack Antonoff| Aaron Dessner,English,United States,,-1.0,8.4,3281,tt13524234,Documentary|Drama|Music
Bia,2019,TV-G,24 Jun 2019,-1,,Carmen López-Areal,Isabela Souza| Julio Peña| Guido Messina,Spanish|Portuguese,Argentina,1 nomination,-1.0,7.1,155,tt9168904,Action|Comedy|Drama
Planes: Fire & Rescue,2014,PG,18 Jul 2014,83,Bobs Gannaway,Bobs Gannaway| Jeffrey M. Howard,Dane Cook| Ed Harris| Julie Bowen,English,United States,Nominated for 1 BAFTA Film Award6 nominations total,48.0,6.0,17789,tt2980706,Adventure|Animation|Comedy
The Real Right Stuff,2020,TV-14,20 Nov 2020,90,Tom Jennings,,Tom Brokaw| Scott Carpenter| Gordon Cooper,English,United States,2 wins & 1 nomination,-1.0,7.2,505,tt13237174,Documentary
The Wonderful World of Mickey Mouse,2020,TV-G,18 Nov 2020,8,,,Chris Diamantopoulos| Kaitlyn Robrock| Bill Farmer,English,United States,2 nominations,-1.0,7.9,872,tt13089270,Animation|Short|Adventure
The Lego Star Wars Holiday Special,2020,TV-G,17 Nov 2020,44,Ken Cunningham,George Lucas (based on STAR WARS created by)| David Shayne,A.J. LoCascio| Anthony Daniels| Ben Prendergast| Billy Dee Williams,English,USA,3 nominations.,-1.0,6.4,5761,tt12885438,Animation|Action|Adventure|Comedy|Family|Sci-Fi
Home Alone,1990,PG,16 Nov 1990,103,Chris Columbus,John Hughes,Macaulay Culkin| Joe Pesci| Daniel Stern,English,United States,Nominated for 2 Oscars. 11 wins & 6 nominations total,63.0,7.7,549277,tt0099785,Children|Comedy
Home Alone 2: Lost in New York,1992,PG,20 Nov 1992,120,Chris Columbus,John Hughes,Macaulay Culkin| Joe Pesci| Daniel Stern,English|French|Spanish|Latin,United States,3 wins & 3 nominations,46.0,6.8,343152,tt0104431,Adventure|Comedy|Crime
Home Alone 3,1997,PG,12 Dec 1997,102,Raja Gosnell,John Hughes,Alex D. Linz| Olek Krupa| Rya Kihlstedt,English|Polish,United States,3 nominations,-1.0,4.5,114869,tt0119303,Action|Comedy|Crime
Inside Pixar,2020,TV-G,13 Nov 2020,10,,,W. Kamau Bell| Cristela Alonzo| Barney Jones,English,United States,Nominated for 1 Primetime Emmy. 2 nominations total,-1.0,7.3,576,tt13302848,Documentary|Short|Family
Petra: Secrets of the Ancient Builders,2019,TV-G,01 Jun 2019,44,Thierry Fessard| Yohann Thiriet,Marianne Cramer| Lea Sansonetti,Hani M.K. Al-Nawafleh| Jean-Claude Bessac| Hani Falahat,English|French|Arabic,United Arab Emirates,,-1.0,7.4,82,tt13555254,Documentary|Short
Prep & Landing,2009,TV-G,08 Dec 2009,22,Kevin Deters| Stevie Wermers,Stevie Wermers| Kevin Deters| Chris Williams (based on a story by)| Robert L. Baird (additional story material by)| Daniel Gerson (additional story material by)| Reid Harrison (additional story material by)| Michael LaBash (story)| Joe Mateo (story)| Nicole Mitchell (story)| Aurian Redson (story)| Jeremy Spears (story),Dave Foley| Sarah Chalke| Mason Vale Cotton| David DeLuise,English,USA,Won 4 Primetime Emmys. Another 4 wins & 8 nominations.,-1.0,7.7,2869,tt1474311,Animation|Short|Adventure|Comedy|Family|Fantasy
Prep & Landing: Naughty vs Nice,2011,TV-G,05 Dec 2011,22,Kevin Deters| Stevie Wermers,Kevin Deters| Stevie Wermers| Paul Briggs,Dave Foley| Derek Richardson| Sarah Chalke,English,United States,Won 1 Primetime Emmy. 5 wins & 11 nominations total,-1.0,7.4,1595,tt2069885,Animation|Short|Adventure
Disney Channel Halloween House Party,2020,G,15 Oct 2020,22,Trevor Moore,Brandon Cohen| Alice Hamilton| Monique Madrid,Raphael Alejandro| Suzi Barrett| Issac Ryan Brown,English,United States,,-1.0,5.3,9,tt13845674,Comedy|Family|Musical
The Mandalorian,2019,TV-14,12 Nov 2019,40,,Jon Favreau,Pedro Pascal| Carl Weathers| Barry Lowin,English,United States,Won 14 Primetime Emmys. 58 wins & 118 nominations total,-1.0,8.8,414190,tt8111088,Action|Adventure|Fantasy
X-Ray Earth,2020,G,06 May 2020,-1,,,Corey Johnson| Brittany Brand| Reginald Desroches,English,United States,,-1.0,6.4,37,tt12988062,Documentary
Gathering Storm,2020,G,22 Jun 2020,-1,,,Tucker McDougall| Alejandro J. Amezcua| Caitlin Fine,English,United States,,-1.0,7.9,38,tt12760500,Documentary
Marvel Super Hero Adventures,2017,TV-Y,13 Oct 2017,4,,,Cole Howard| James Blight| Sam Vincent,English,United States,3 nominations,-1.0,5.8,131,tt7726152,Animation|Action|Adventure
Once Upon a Snowman,2020,TV-G,23 Oct 2020,8,Dan Abraham| Trent Correy,Trent Correy,Kristen Bell| Jonathan Groff| Josh Gad,Norwegian|English,United States,Nominated for 1 Primetime Emmy. 1 nomination total,-1.0,6.9,2777,tt13061790,Animation|Short|Adventure
Pompeii: Secrets of the Dead,2019,G,26 Mar 2021,42,Ben Finney,,Kayla Iacovino| Maite Jáuregui,English,United States,,-1.0,6.8,137,tt12045720,Documentary|History
Toy Story of Terror,2013,TV-G,16 Oct 2013,22,Angus MacLane,Angus MacLane,Tom Hanks| Tim Allen| Joan Cusack| Carl Weathers,English,USA,6 wins & 10 nominations.,-1.0,7.5,14164,tt2446040,Animation|Short|Adventure|Comedy|Family|Fantasy|Horror
Clouds,2020,PG-13,16 Oct 2020,121,Justin Baldoni,Kara Holden| Casey La Scala| Patrick Kopka,Fin Argus| Neve Campbell| Sabrina Carpenter,English,United States,1 win & 2 nominations,55.0,7.5,9273,tt6473066,Biography|Drama|Music
Lost on Everest,2020,G,14 Jul 2020,-1,Renan Ozturk| Drew Pulley,,Renan Ozturk| Thom Pollard| Mark Synnott,English,United States,1 win,-1.0,6.7,253,tt12660966,Documentary
Meet the Chimps,2020,TV-14,16 Oct 2020,40,,,Jane Lynch| Raven Jackson-Jewett| Amy Fultz,English,United States,,-1.0,8.4,86,tt11853160,Documentary
The Rocketeer,2019,TV-Y,08 Nov 2019,-1,,Nicole Dubuc,Kitana Turnbull| Callan Farris| Frank Welker,,United States,5 nominations,-1.0,5.0,166,tt8068852,Animation|Short|Action
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,10 Dec 2010,113,Michael Apted,Christopher Markus| Stephen McFeely| Michael Petroni,Ben Barnes| Skandar Keynes| Georgie Henley,English,United States| United Kingdom,2 wins & 18 nominations,53.0,6.3,151242,tt0980970,Adventure|Family|Fantasy
The Right Stuff,2020,TV-14,09 Oct 2020,45,,Mark Lafferty,Patrick J. Adams| Jake McDorman| Colin O'Donoghue,English,United States,2 nominations,-1.0,6.8,3606,tt7423322,Drama|History
X2: X-Men United,2003,PG-13,02 May 2003,134,Bryan Singer,Zak Penn| David Hayter| Bryan Singer,Patrick Stewart| Hugh Jackman| Halle Berry,English|German|Italian|Spanish,United States| Canada,6 wins & 41 nominations,68.0,7.4,538118,tt0290334,Action|Adventure|Sci-Fi|Thriller
Hidden Figures,2016,PG,06 Jan 2017,127,Theodore Melfi,Allison Schroeder| Theodore Melfi| Margot Lee Shetterly,Taraji P. Henson| Octavia Spencer| Janelle Monáe,English,United States,Nominated for 3 Oscars. 37 wins & 94 nominations total,74.0,7.8,220796,tt4846340,Biography|Drama|History
Magic of Disney's Animal Kingdom,2020,TV-PG,25 Sep 2020,40,,,Josh Gad,English,United Kingdom,,-1.0,8.2,300,tt10196378,Documentary
Secret Society of Second Born Royals,2020,TV-PG,25 Sep 2020,99,Anna Mastro,Alex Litvak| Andrew Green| Austin Winsberg,Peyton Elizabeth Lee| Niles Fitch| Isabella Blake-Thomas,English,United States,4 nominations,34.0,5.0,5100,tt10324122,Action|Adventure|Comedy
The Giant Robber Crab,2019,G,28 Jun 2019,44,Moritz Katz| Braydon Moloney| Pim Niesten,Moritz Katz| Braydon Moloney| Pim Niesten,Tanja Detto| Allen Farmer| Michael Lott,English,United States,,-1.0,7.0,38,tt13165620,Documentary|Short
Ancient China From Above,2020,G,11 Aug 2020,60,,,Allan Maca| Sarah Klassen| Ryan Kastner,English,United States,,-1.0,7.2,68,tt12873166,Documentary|History
Becoming,2020,PG,06 May 2020,89,Nadia Hallgren,,Elizabeth Alexander| Adrian K. Collins| Valerie Jarrett,English,United States,Nominated for 4 Primetime Emmys. 1 win & 6 nominations total,66.0,6.8,6279,tt12221748,Documentary|Biography
Europe From Above,2019,G,10 Nov 2019,-1,,,Julian Barratt| Dan Nachtrab| Daniel Verbaan,English,United Kingdom,,-1.0,8.0,261,tt11003514,Documentary
Ever After: A Cinderella Story,1998,PG-13,31 Jul 1998,121,Andy Tennant,Susannah Grant| Andy Tennant| Rick Parks,Drew Barrymore| Anjelica Huston| Dougray Scott,English,United States,6 wins & 15 nominations,66.0,7.0,74283,tt0120631,Comedy|Drama|Romance
Kingdom of the Mummies,2020,G,12 May 2020,-1,,,Salima Ikram| Sahar Saleem| Kerry Shale,English,United States,,-1.0,7.4,97,tt12366196,Documentary
Notre-Dame: Race Against the Inferno,2019,G,15 Apr 2019,44,Fabrice Gardel| Simon Kessler| Josselin Mahot,Fabrice Gardel| Simon Kessler| Josselin Mahot,Roland Agami| Paul Bandey| Anelise Borges,English,United Kingdom| France,,-1.0,6.5,113,tt11559162,Documentary|Short|Drama
Once Upon a Time,2011,TV-PG,23 Oct 2011,60,,Adam Horowitz| Edward Kitsis,Ginnifer Goodwin| Jennifer Morrison| Lana Parrilla,English,United States,Nominated for 7 Primetime Emmys. 13 wins & 95 nominations total,-1.0,7.7,219170,tt1843230,Adventure|Fantasy|Romance
Violetta,2011,G,16 Oct 2011,180,Antonio Frazzi,Alexandre Dumas fils (novel)| Sandro Petraglia (teleplay),Vittoria Puccini| Rodrigo Guirao Díaz| Andrea Giordana| Tobias Moretti,Italian,Italy,1 nomination.,-1.0,7.4,33,tt1781844,Drama
Earth to Ned,2020,TV-PG,04 Sep 2020,30,,,Paul Rugg| Michael Oosterom| Colleen Smith,English,United States,1 nomination,-1.0,6.7,372,tt11176048,Comedy|Sci-Fi|Talk-Show
Trick or Treat,1952,G,10 Oct 1952,8,Jack Hannah,Ralph Wright| Ted Osborne| Al Taliaferro,June Foray| Clarence Nash| Thurl Ravenscroft,English,United States,,-1.0,7.2,1559,tt0045261,Animation|Short|Comedy
Phineas and Ferb the Movie: Candace Against the Universe,2020,TV-G,28 Aug 2020,86,Bob Bowen,Dan Povenmire| Jeff 'Swampy' Marsh| Jon Colton Barry,Vincent Martella| Dee Bradley Baker| Ashley Tisdale,English,United States,1 win & 3 nominations,77.0,7.1,4183,tt1817232,Animation|Adventure|Comedy
Back to the Titanic,2020,G,23 Feb 2020,60,Tom Stubberfield,,Nigel Barber| Elliot Graves| Lori Johnston| Sindbad Rumney-Guggenheim,English,UK,,-1.0,6.1,207,tt12100782,Documentary
Mars: One Day on the Red Planet,2020,TV-G,11 Apr 2020,88,Martin Johnson,,Carl Agee| Nigel Barber| John Callas,English,United States,2 nominations,-1.0,6.9,329,tt12611334,Documentary
The One and Only Ivan,2020,PG,21 Aug 2020,95,Thea Sharrock,Mike White| Katherine Applegate,Sam Rockwell| Bryan Cranston| Phillipa Soo,English,United States,Nominated for 1 Oscar. 2 wins & 4 nominations total,58.0,6.5,11934,tt3661394,Adventure|Comedy|Drama
India's Wild Leopards,2020,G,26 Feb 2020,44,Eklavya Sakpal,,Sandesh Kadur| Mike New| Priya Singh,English,India,,-1.0,7.8,26,tt11902274,Documentary|Short
Magic Camp,2020,PG,14 Aug 2020,100,Mark Waters,Micah Fitzerman-Blue| Noah Harpster| Matt Spicer,Adam Devine| Jeffrey Tambor| Gillian Jacobs,English,United States,,-1.0,6.3,4218,tt3979300,Comedy|Family|Fantasy
Nature Boom Time!,2016,G,01 Mar 2016,-1,,Charlie Engelman,Charlie Engelman| Kirby Engelman| Patrick Rahill,English,United States,,-1.0,7.0,5,tt6805750,Family
Sam's Zookeeper Challenge,2018,G,08 Aug 2018,-1,,,Sam Peltz| Julie Grove| Sarah Talbot,English,United States,,-1.0,-1.0,-1,tt13325238,Adventure
Scuba Sam's World,2018,G,16 Jul 2018,-1,,,Sam Peltz,English,United States,,-1.0,-1.0,-1,tt13399116,Adventure
Spaced Out,2018,G,30 Apr 2018,12,Christina Diamantara,Andrew Urban,David Gironda Jr.| Sapna Kumar,English,United States,,-1.0,-1.0,-1,tt13773822,Short|Comedy
The Greatest Showman,2017,PG,20 Dec 2017,105,Michael Gracey,Jenny Bicks| Bill Condon,Hugh Jackman| Michelle Williams| Zac Efron,English,United States,Nominated for 1 Oscar. 17 wins & 33 nominations total,48.0,7.6,268537,tt1485796,Biography|Drama|Musical
Wild Cats of India,2020,G,18 Feb 2020,-1,,,Sandesh Kadur| James Murray,English,United States,,-1.0,7.5,44,tt11920706,Documentary
Howard Original,2020,G,21 May 2021,94,Natalie Rodriguez,Kevin Sean Michaels| Natalie Rodriguez,Alessandra Mañon| Ivon Millan| EMESGE,English,United States,,-1.0,4.8,61,tt11137028,Comedy|Drama
Star Wars Galaxy's Edge: Adventure Awaits,2019,TV-PG,29 Sep 2019,84,,,John Boyega| Miles Brown| Kaley Cuoco| Rachel Lynn David,English,USA,,-1.0,5.4,115,tt10951528,Documentary
The Hidden Kingdoms of China,2020,G,22 Feb 2020,-1,Ben Wallis,,Michelle Yeoh,English,United States,,-1.0,6.9,56,tt13975730,Documentary
The Peanuts Movie,2015,G,06 Nov 2015,88,Steve Martino,Craig Schulz| Bryan Schulz| Cornelius Uliano,Noah Schnapp| Bill Melendez| Hadley Belle Miller,English,United States,2 wins & 48 nominations,67.0,7.0,45181,tt2452042,Animation|Adventure|Comedy
UFO Europe: The Untold Stories,2012,G,13 Nov 2012,-1,,,David Clarke| Robert Ashby| Nick Pope,English,,,-1.0,-1.0,18,tt14271936,Reality-TV|Sci-Fi
Black Is King,2020,TV-14,31 Jul 2020,85,Emmanuel Adjei| Ibra Ake| Blitz Bazawule,Beyoncé| Yrsa Daley-Ward| Clover Hope,Beyoncé| Tina Knowles-Lawson| Jay-Z,English,United States,Won 1 Primetime Emmy. 2 wins & 9 nominations total,84.0,5.8,8713,tt12607910,Adventure|Drama|Fantasy
Cradle of the Gods,2012,G,01 Mar 2012,60,Tim Conrad,Tim Conrad,Tristan Carter| Dave Chapman| Tim Conrad,English,United Kingdom,,-1.0,6.8,115,tt2214921,Documentary
King Fishers,2013,G,27 Apr 2013,-1,,,Kevin Estrada| Sean McSeveney| Pepper Stebbins,English,United Kingdom,,-1.0,7.0,24,tt3091520,Documentary|Reality-TV
Lost Temple of the Inca,2020,G,04 Feb 2020,52,Jim Aikman,Jim Aikman| Dan Sadowsky,Constantino Aucca| Carlos Ausejo| Sarah Baitzel| Alexandra Gambetta,English|Spanish,USA,,-1.0,7.0,63,tt11668444,Documentary
Muppets Now,2020,TV-PG,31 Jul 2020,23,,,Bill Barretta| Dave Goelz| Eric Jacobson,English,United States,,-1.0,5.9,1126,tt10857210,Comedy|Family|Reality-TV
Surviving the Mount St Helens Disaster,2020,G,09 May 2020,44,Sophie Elwin-Harris,,,English,UK,,-1.0,7.7,43,tt12453440,Documentary|History
What Sam Sees,2018,G,08 Aug 2018,-1,,,Sam Peltz| Holly Bourbon| Josh Foronda,English,United States,,-1.0,-1.0,-1,tt13326050,Adventure
Rogue Trip,2020,TV-14,24 Jul 2020,40,,,Bob Woodruff| Mack Woodruff| Neha Shastry,English,United States,,-1.0,7.0,171,tt10225100,Documentary|Adventure
Diary of a Wimpy Kid: The Long Haul,2017,PG,19 May 2017,91,David Bowers,Jeff Kinney| David Bowers,Jason Drucker| Alicia Silverstone| Tom Everett Scott,English|Spanish,United States,1 nomination,39.0,4.3,8812,tt6003368,Adventure|Comedy|Family
The Lost City of Machu Picchu,2019,TV-14,,44,,John B. Bredar| Owen Palmquist,Valerie Andrushko| Fernando Astete| Stella Nair| Johan Reinhard,English|Spanish,USA,,-1.0,7.0,21,tt12768204,Documentary|History
Super Robot Monkey Team Hyperforce Go!,2004,TV-Y7-FV,18 Sep 2004,30,,Ciro Nieli,Greg Cipes| Kevin Michael Richardson| Tom Kenny,English,United States| Japan,2 nominations,-1.0,6.2,2203,tt0423746,Animation|Action|Adventure
The Mouseketeers at Walt Disney World,1977,G,20 Nov 1977,-1,John Tracy,Tom Adair| Tedd Anasti| David Talisman,Billy 'Pop' Atmore| Scott Craig| Nita DiGiampaolo| Mindy Feldman,English,USA,,-1.0,8.4,34,tt0285749,Family
Wild Chile,2017,G,01 Sep 2017,-1,,,René Araneda| Susannah Buchan,Spanish,Chile,,-1.0,-1.0,5,tt12013768,Documentary
X-Men: Apocalypse,2016,PG-13,27 May 2016,144,Bryan Singer,Simon Kinberg| Bryan Singer| Michael Dougherty,James McAvoy| Michael Fassbender| Jennifer Lawrence,English|Polish|German|Arabic|Egyptian(Ancient),United States,1 win & 19 nominations,52.0,6.9,421216,tt3385516,Action|Adventure|Fantasy|Sci-Fi
Hamilton: History Has Its Eyes on You,2020,G,03 Jul 2020,46,,,,English,United States,,-1.0,6.4,62,tt12690910,Documentary|Talk-Show
X-Men: Days of Future Past,2014,PG-13,23 May 2014,132,Bryan Singer,Simon Kinberg| Jane Goldman| Matthew Vaughn,Patrick Stewart| Ian McKellen| Hugh Jackman,English|Vietnamese|French,United States| United Kingdom,Nominated for 1 Oscar. 16 wins & 48 nominations total,75.0,8.0,693364,tt1877832,Action|Adventure|Sci-Fi
The Undefeated Presents Hamilton In-Depth,2020,G,03 Jul 2020,33,,,,English,United States,,-1.0,6.5,46,tt12690904,Documentary|Short
Animal ER,2016,G,10 Sep 2016,-1,,,Brian Beale,English,United States,,-1.0,7.9,70,tt6208226,Reality-TV
Diary of a Wimpy Kid: Rodrick Rules,2011,PG,25 Mar 2011,99,David Bowers,Gabe Sachs| Jeff Judah| Jeff Kinney,Zachary Gordon| Devon Bostick| Robert Capron,English,United States,2 wins & 5 nominations,51.0,6.6,30172,tt1650043,Comedy|Family
Hamilton,2020,PG-13,03 Jul 2020,160,Thomas Kail,Lin-Manuel Miranda| Ron Chernow,Lin-Manuel Miranda| Phillipa Soo| Leslie Odom Jr.,English,United States,Won 1 Primetime Emmy. 18 wins & 46 nominations total,90.0,8.4,84926,tt8503618,Biography|Drama|History
Into the Unknown: Making Frozen 2,2020,TV-G,26 Jun 2020,43,,,Jennifer Lee| Chris Buck| Robert Lopez,English,United States,,-1.0,8.5,801,tt10196382,Documentary|Family
Egypt's Treasure Guardians,2016,G,28 Dec 2016,-1,Ben Allen| Tom Jenner,,Dominic Frisby| Medhat Abdallah| Eddy Cannaerts| Howard Carter,English,UK,,-1.0,6.2,40,tt7264462,History
The Pirate Fairy,2014,G,13 Feb 2014,78,Peggy Holmes,Jeffrey M. Howard (screenplay by)| Kate Kondell (screenplay by)| John Lasseter (story by)| Peggy Holmes (story by)| Roberts Gannaway (story by)| Jeffrey M. Howard (story by)| Lorna Cook (story by)| Craig Gerber (story by)| Roberts Gannaway (additional dialogue by)| Peggy Holmes (additional dialogue by),Mae Whitman| Christina Hendricks| Tom Hiddleston| Lucy Liu,English,USA,5 nominations.,51.0,6.6,12366,tt2483260,Animation|Adventure|Family|Fantasy
