Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Turning the Tables with Robin Roberts,2021,PG,28 Jul 2021,-1,,,Robin Roberts| Jenna Dewan| Jamie Lee Curtis,English,United States,,-1.0,6.0,34,tt14598810,Talk-Show
Ice Age: The Meltdown El Chavo del 8 y animado,2006,G,31 Mar 2006,19,,,Sebastián Llapur,Spanish,Mexico,,-1.0,-1.0,-1,tt4900218,Animation
Playing with Sharks: The Valerie Taylor Story,2021,TV-PG,23 Jul 2021,95,Sally Aitken,Sally Aitken,Valerie Taylor| Jeremiah S. Sullivan| Rodney Fox,English,United States,5 wins & 9 nominations,78.0,7.6,437,tt11226258,Documentary|Adventure
Shark vs Surfer,2020,G,01 Aug 2020,44,Phil Stebbing,,Bill Lloyd| Tomas Auanzini| Chris Bryan,English,United States,,-1.0,6.8,16,tt13161852,Documentary
Shark vs Whale,2020,TV-PG,28 Jul 2020,45,,Paul Gasek| Mea Trenor,Ryan Johnson| Ted Stewart,English,USA,,-1.0,-1.0,-1,tt12820178,Documentary
Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman,2021,G,19 Jun 2021,105,Jon Spira,Jon Spira,Vic Armstrong| Ray Austin| Jim Dowdall,English,United Kingdom,,-1.0,7.9,57,tt12142914,Documentary
Behind the Attraction,2021,TV-PG,21 Jul 2021,-1,,,Paget Brewster| Dave Durham| Kim Irvine,English,United States,,-1.0,7.7,741,tt11069436,Documentary
Turner & Hooch,2021,TV-PG,21 Jul 2021,-1,,Matt Nix,Josh Peck| Carra Patterson| Lyndsy Fonseca,English,United States,,-1.0,6.7,3426,tt11547014,Comedy|Crime|Drama
Secrets of the Bull Shark,2020,G,01 Aug 2020,44,,Jenny Apostal| Mea Trenor,Ryan Daly| Keston John,English,United States,,-1.0,-1.0,6,tt13130602,Documentary
Shark Attack Files,2021,TV-14,12 Jul 2021,-1,,,Matt The Welder| Wyatt Werneth| Melissa Márquez,English,United States,,-1.0,-1.0,20,tt14811706,Documentary
Shark Attack Investigation: The Paige Winter Story,2021,TV-14,12 Jul 2021,-1,,,Keaver Brenai| Mike Heithaus| Laura Garcia Barcia,English,United States,,-1.0,-1.0,20,tt14811754,Documentary
We Bought a Zoo,2011,PG,23 Dec 2011,124,Cameron Crowe,Aline Brosh McKenna| Cameron Crowe| Benjamin Mee,Matt Damon| Scarlett Johansson| Thomas Haden Church,English|Spanish,United States,1 win & 8 nominations,58.0,7.1,141820,tt1389137,Comedy|Drama|Family
World's Most Dangerous Shark,2021,TV-14,16 Jul 2021,-1,,,,English,United States,,-1.0,-1.0,14,tt14811630,Documentary
So Random!,2011,TV-G,05 Jun 2011,22,,Steve Marmel| Michael Feldman,Tiffany Thornton| Doug Brochu| Brandon Mychal Smith,English,United States,1 nomination,-1.0,4.7,2358,tt1934818,Comedy|Family|Musical
Flicka,2006,PG,20 Oct 2006,95,Michael Mayer,Mark Rosenthal| Lawrence Konner| Mary O'Hara,Alison Lohman| Tim McGraw| Maria Bello,English,United States| United Kingdom,3 nominations,57.0,6.1,7943,tt0434215,Adventure|Drama|Family
Orca vs Great White,2021,TV-14,09 Jul 2021,-1,,,,English,,,-1.0,5.3,71,tt14811196,Documentary
Rogue Shark?,2021,TV-14,09 Jul 2021,-1,,,Mocean Melvin,English,United States,,-1.0,6.9,30,tt14791580,Documentary
Shark Beach with Chris Hemsworth,2021,TV-PG,09 Jul 2021,45,Sally Aitken,Benjamin Grayson,Chris Hemsworth| Valerie Taylor| Mick Fanning,English,United States,,-1.0,6.7,260,tt12833014,Documentary
Shark Gangs,2021,TV-14,09 Jul 2021,-1,Pete Berg,,Dave Hoffman| Christopher Lowe| Andre Musgrove,English,,,-1.0,6.6,26,tt14811278,Documentary
When Sharks Attack,2013,TV-14,01 May 2013,-1,,,Eric Meyers| David A. Ebert| Dan Huber,English,United States,,-1.0,6.7,92,tt3097686,Documentary
Breaking Bobby Bones,2021,G,31 May 2021,-1,,,Bobby Bones| Janeshia Adams-Ginyard,English,United States,,-1.0,-1.0,53,tt14760138,Documentary
Mickey Mouse: Mixed-Up Adventures,2019,TV-Y,14 Oct 2019,-1,,,Corey Burton| Patton Oswalt| Jim Cummings,English,United States,2 nominations,-1.0,7.1,44,tt11130978,Animation
Monsters at Work,2021,TV-G,07 Jul 2021,-1,,Bobs Gannaway,Billy Crystal| Ben Feldman| Mindy Kaling,English,United States,1 win,-1.0,7.1,6280,tt8610082,Animation|Adventure|Comedy
"The Good, the Bart, and the Loki",2021,TV-PG,07 Jul 2021,4,David Silverman,Elisabeth Kiernan Averick| Jessica Conrad| John Frink,Dan Castellaneta| Nancy Cartwright| Yeardley Smith,English,United States,,-1.0,6.1,3322,tt14957270,Animation|Short|Action
The Sandlot,1993,PG,07 Apr 1993,101,David Mickey Evans,David Mickey Evans| Robert Gunter,Tom Guiry| Mike Vitar| Art LaFleur,English,United States,1 nomination,55.0,7.8,87999,tt0108037,Comedy|Drama|Family
The Sandlot 2,2005,PG,03 May 2005,97,David Mickey Evans,David Mickey Evans (characters)| Robert Gunter (characters)| David Mickey Evans,Max Lloyd-Jones| James Willson| Samantha Burton| Brett Kelly,AmericanSignLanguage|English,USA,1 win & 3 nominations.,-1.0,4.5,4944,tt0418131,Comedy|Family|Sport
The Mysterious Benedict Society,2021,TV-PG,25 Jun 2021,-1,,,Tony Hale| Kristen Schaal| Mystic Inscho,English,United States,2 nominations,-1.0,7.7,3472,tt11875316,Action|Adventure|Comedy
Wolfgang,2021,TV-PG,25 Jun 2021,78,David Gelb,Brian McGinn,Sidney Poitier| Sean Connery| Paul Newman,English|German,United States,,64.0,6.9,356,tt11146690,Documentary|Biography
Dino Ranch,2021,TV-Y,18 Jan 2021,-1,,Matthew Fernandes,Ava Ro| Scott Gorman| Tyler James Nathan,,Canada,1 nomination,-1.0,7.7,96,tt13858416,Animation|Adventure|Comedy
Luca,2021,PG,18 Jun 2021,95,Enrico Casarosa,Enrico Casarosa| Jesse Andrews| Simon Stephenson,Jacob Tremblay| Jack Dylan Grazer| Emma Berman,English|Italian,United States,Nominated for 1 Oscar. 3 wins & 72 nominations total,71.0,7.5,144319,tt12801262,Animation|Adventure|Comedy
The Happiest Millionaire,1967,Approved,10 Jul 1968,141,Norman Tokar,Kyle Crichton| Cordelia Drexel Biddle| AJ Carothers,Fred MacMurray| Tommy Steele| Greer Garson,English,United States,Nominated for 1 Oscar. 2 nominations total,-1.0,6.8,2101,tt0061749,Comedy|Family|Musical
Zenimation,2020,TV-PG,22 May 2020,8,,David Bess,Nicol Zanzarella,,United States,,-1.0,7.4,408,tt12372034,Animation|Short|Family
Loki,2021,TV-14,09 Jun 2021,-1,,Michael Waldron,Tom Hiddleston| Owen Wilson| Gugu Mbatha-Raw,English,United States,5 wins & 24 nominations,-1.0,8.3,271331,tt9140554,Action|Adventure|Fantasy
