Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
A Goofy Movie,1995,G,07 Apr 1995,78.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,JymnMagon|ChrisMatheson|BrianPimental,BillFarmer|JasonMarsden|JimCummings,English,UnitedStates|Australia|France|Canada,5 nominations,-1.0,6.9,52129,tt0113198,35336439.0,62828837.0,,,Animation|Adventure|Comedy,,
The Gun in Betty Lou's Handbag,1992,PG-13,21 Aug 1992,89.0,Comedy|Mystery,Comedy|Mystery,GraceCaryBickley,PenelopeAnnMiller|EricThal|AlfreWoodard,English,UnitedStates|Japan,,-1.0,5.1,1683,tt0104376,3591460.0,6936407.0,,,Comedy|Mystery,,
A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89.0,Adventure|Comedy|Family,Adventure|Comedy|Family,MichaelPart|RobertL.Levy,ThomasIanNicholas|JossAckland|ArtMalik,English,UnitedStates|Hungary|UnitedKingdom,1 nomination,34.0,4.8,6143,tt0113538,13406717.0,23837389.0,,,Adventure|Comedy|Family,,
A Lot Like Love,2005,PG-13,22 Apr 2005,107.0,Comedy|Drama|Romance,Comedy|Drama|Romance,ColinPatrickLynch,AshtonKutcher|AmandaPeet|TarynManning,English|AmericanSign,UnitedStates,1 win & 3 nominations,48.0,6.6,68921,tt0391304,21835784.0,30296171.0,,,Comedy|Drama|Romance,,
A Low Down Dirty Shame,1994,R,23 Nov 1994,108.0,Action|Comedy|Crime,Action|Comedy|Crime,KeenenIvoryWayans,KeenenIvoryWayans|CharlesS.Dutton|JadaPinkettSmith,English,UnitedStates,1 nomination,-1.0,5.9,7204,tt0110399,29317886.0,53605044.0,,,Action|Comedy|Crime,,
A Pyromaniac's Love Story,1995,PG,28 Apr 1995,94.0,Comedy|Romance,Comedy|Romance,MorganWard,WilliamBaldwin|JohnLeguizamo|SadieFrost,English,UnitedStates,,-1.0,5.4,1063,tt0114210,468240.0,832539.0,,,Comedy|Romance,,
A Simple Twist of Fate,1994,PG-13,02 Sep 1994,106.0,Comedy|Drama,Comedy|Drama,GeorgeEliot|SteveMartin,SteveMartin|GabrielByrne|LauraLinney,English,UnitedStates,2 nominations,-1.0,6.3,5540,tt0111194,3404935.0,6225608.0,,,Comedy|Drama,,
A Stranger Among Us,1992,PG-13,17 Jul 1992,110.0,Crime|Drama|Romance,Crime|Drama|Romance,RobertJ.Avrech,MelanieGriffith|EricThal|JohnPankow,English|Yiddish|Hebrew,UnitedStates,1 win & 3 nominations,-1.0,5.6,3827,tt0105483,12282994.0,23722900.0,,,Crime|Drama|Romance,,
A Thousand Acres,1997,R,19 Sep 1997,105.0,Drama,Drama,JaneSmiley|LauraJones,MichellePfeiffer|JessicaLange|JenniferJasonLeigh,English,UnitedStates,2 wins & 1 nomination,-1.0,6.1,5485,tt0120323,7928412.0,13385431.0,,,Drama,,
A Wrinkle in Time,2018,PG,09 Mar 2018,109.0,Adventure|Family|Fantasy,Adventure|Family|Fantasy,JenniferLee|JeffStockwell|MadeleineL'Engle,StormReid|OprahWinfrey|ReeseWitherspoon,English,UnitedStates,5 wins & 15 nominations,53.0,4.2,44243,tt1620680,100478608.0,108426640.0,184987.0,A Wrinkle in Time (2018),Adventure|Children|Fantasy|Sci-Fi,A Wrinkle in Time,2018.0
