Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
Dumbo,2019,PG,29 Mar 2019,112.0,Adventure|Family|Fantasy,Adventure|Family|Fantasy,EhrenKruger|HelenAberson|HaroldPearl,ColinFarrell|MichaelKeaton|DannyDeVito,English|French,UnitedStates|UnitedKingdom|Australia|Canada,3 wins & 13 nominations,51.0,6.3,73454,tt3861390,114766307.0,121640425.0,200256.0,Dumbo (2019),Adventure|Children|Fantasy,Dumbo,2019.0
Déjà Vu,2006,G,19 Mar 2006,-1.0,Short|Horror,Short|Horror,CarlosAlbertoGomes,JoanaRãoGomes|CatarinaVieira|MiguelVieira,Portuguese,Portugal,,-1.0,7.8,5,tt5649074,64038616.0,86074125.0,49278.0,Déjà Vu (Deja Vu) (2006),Action|Sci-Fi|Thriller,Déjà Vu,2006.0
Ultimate X: The Movie,2002,PG,17 May 2002,47.0,Documentary|Sport,Documentary|Sport,BruceHendricks,BobBurnquist|BrianDeegan|TonyHawk,English,UnitedStates,1 nomination,60.0,6.6,286,tt0297445,4197175.0,6321892.0,,,Documentary|Sport,,
Earth,2009,G,05 Sep 2009,40.0,Short|History,Short|History,,JasonChang|JohnLow|ErikWayneGoh,English,Singapore,,-1.0,6.9,10,tt1757737,32011576.0,40432078.0,68522.0,,Short|History,,
Ed Wood,1994,R,07 Oct 1994,127.0,Biography|Comedy|Drama,Biography|Comedy|Drama,RudolphGrey|ScottAlexander|LarryKaraszewski,JohnnyDepp|MartinLandau|SarahJessicaParker,English,UnitedStates,Won 2 Oscars. 27 wins & 34 nominations total,70.0,7.9,173323,tt0109707,5828466.0,10656811.0,235.0,Ed Wood (1994),Biography|Comedy|Drama,Ed Wood,1994.0
Eddie,1996,PG-13,31 May 1996,100.0,Comedy|Sport,Comedy|Sport,SteveZacharias|JeffBuhai|JonConnolly,WhoopiGoldberg|FrankLangella|DennisFarina,English|Russian,UnitedStates,1 win & 2 nominations,-1.0,5.2,10953,tt0116168,31369401.0,54175695.0,656.0,Eddie (1996),Comedy|Sport,Eddie,1996.0
Eight Below,2006,PG,17 Feb 2006,120.0,Adventure|Drama|Family,Adventure|Drama|Family,DavidDiGilio|ToshirôIshidô|KoreyoshiKurahara,PaulWalker|JasonBiggs|BruceGreenwood,English,UnitedStates,2 wins & 2 nominations,64.0,7.3,64146,tt0397313,81612565.0,109695221.0,43917.0,Eight Below (2006),Action|Adventure|Drama|Romance,Eight Below,2006.0
Encanto,2021,PG,24 Nov 2021,102.0,Animation|Comedy|Family,Animation|Comedy|Family,ChariseCastroSmith|JaredBush|ByronHoward,StephanieBeatriz|MaríaCeciliaBotero|JohnLeguizamo,English|Spanish,UnitedStates,Won 1 Oscar. 37 wins & 76 nominations total,75.0,7.3,174803,tt2953050,96006867.0,96006867.0,,,Animation|Comedy|Family,,
Enchanted,2007,PG,21 Nov 2007,107.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,BillKelly,AmyAdams|SusanSarandon|JamesMarsden,English,UnitedStates,Nominated for 3 Oscars. 12 wins & 51 nominations total,75.0,7.1,193620,tt0461770,127706877.0,166896877.0,56152.0,Enchanted (2007),Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance,Enchanted,2007.0
Encino Man,1992,PG,22 May 1992,88.0,Comedy,Comedy,GeorgeZaloom|ShawnSchepps,SeanAstin|BrendanFraser|PaulyShore,English,UnitedStates,1 win & 1 nomination,25.0,5.8,39656,tt0104187,40057130.0,77364793.0,3243.0,Encino Man (1992),Comedy,Encino Man,1992.0
Enemy of the State,1998,R,20 Nov 1998,132.0,Action|Thriller,Action|Thriller,DavidMarconi,WillSmith|GeneHackman|JonVoight,English,UnitedStates,5 wins & 16 nominations,67.0,7.3,238957,tt0120660,111549836.0,185439626.0,2353.0,Enemy of the State (1998),Action|Thriller,Enemy of the State,1998.0
Ernest Goes to Camp,1987,PG,22 May 1987,92.0,Comedy|Family,Comedy|Family,JohnR.CherryIII|CokeSams|GlennPetach,JimVarney|VictoriaRacimo|JohnVernon,English,UnitedStates,1 nomination,24.0,5.5,11472,tt0092974,23509382.0,56076912.0,4104.0,Ernest Goes to Camp (1987),Comedy|Family,Ernest Goes to Camp,1987.0
Ernest Goes to Jail,1990,PG,06 Apr 1990,81.0,Comedy|Crime|Family,Comedy|Crime|Family,CharlieCohen,JimVarney|GailardSartain|BillByrge,English,UnitedStates,,40.0,5.4,9416,tt0099512,25029569.0,51891831.0,5584.0,Ernest Goes to Jail (1990),Comedy|Crime|Family,Ernest Goes to Jail,1990.0
Ernest Saves Christmas,1988,PG,11 Nov 1988,95.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,EdTurner|B.Kline,JimVarney|DouglasSeale|OliverClark,English,UnitedStates,,44.0,5.7,11383,tt0095107,28202109.0,64597848.0,4502.0,Ernest Saves Christmas (1988),Comedy|Family|Fantasy,Ernest Saves Christmas,1988.0
Ernest Scared Stupid,1991,PG,11 Oct 1991,91.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,JohnR.CherryIII|CokeSams|CharlesGale,JimVarney|EarthaKitt|AustinNagler,English,UnitedStates,,38.0,5.7,11499,tt0101821,14143280.0,28138065.0,5585.0,Ernest Scared Stupid (1991),Comedy|Family|Fantasy,Ernest Scared Stupid,1991.0
Eternals,2021,PG-13,05 Nov 2021,156.0,Action|Adventure|Fantasy,Action|Adventure|Fantasy,ChloéZhao|PatrickBurleigh|RyanFirpo,GemmaChan|RichardMadden|AngelinaJolie,English|AmericanSign|Marathi|Spanish|Sumerian|Latin|Greek|Ancient(to1453),UnitedStates,4 wins & 14 nominations,52.0,6.4,273637,tt9032400,164870264.0,164870264.0,,,Action|Adventure|Fantasy,,
Evita,1996,PG,10 Jan 1997,135.0,Biography|Drama|History,Biography|Drama|History,TimRice|AlanParker|OliverStone,Madonna|JonathanPryce|AntonioBanderas,English,UnitedStates,Won 1 Oscar. 19 wins & 43 nominations total,45.0,6.3,35395,tt0116250,50047179.0,86432658.0,1416.0,Evita (1996),Biography|Drama|History,Evita,1996.0
Fantasia,1940,G,19 Sep 1941,125.0,Animation|Family|Fantasy,Animation|Family|Fantasy,JoeGrant|DickHuemer|LeeBlair,LeopoldStokowski|DeemsTaylor|ThePhiladelphiaOrchestra,English,UnitedStates,Won 2 Oscars. 8 wins & 1 nomination total,96.0,7.7,94045,tt0032455,83320000.0,1612658600.0,1282.0,Fantasia (1940),Animation|Children|Fantasy|Musical,Fantasia,1940.0
Father Hood,1993,PG-13,27 Aug 1993,95.0,Adventure|Comedy|Crime,Adventure|Comedy|Crime,ScottSpencer,PatrickSwayze|HalleBerry|SabrinaLloyd,English,UnitedStates,,-1.0,4.9,3141,tt0106877,3268203.0,6128615.0,8380.0,Father Hood (1993),Adventure|Comedy|Crime,Father Hood,1993.0
Father of the Bride,1991,PG,20 Dec 1991,105.0,Comedy|Family|Romance,Comedy|Family|Romance,FrancesGoodrich|AlbertHackett|NancyMeyers,SteveMartin|DianeKeaton|MartinShort,English,UnitedStates,1 win & 5 nominations,51.0,6.5,74492,tt0101862,89325780.0,177713704.0,6944.0,Father of the Bride (1991),Comedy|Family|Romance,Father of the Bride,1991.0
Father of the Bride Part II,1995,PG,08 Dec 1995,106.0,Comedy|Family|Romance,Comedy|Family|Romance,AlbertHackett|FrancesGoodrich|NancyMeyers,SteveMartin|DianeKeaton|MartinShort,English,UnitedStates,1 win & 2 nominations,49.0,6.0,37331,tt0113041,76578911.0,136158710.0,5.0,Father of the Bride Part II (1995),Comedy|Family|Romance,Father of the Bride Part II,1995.0
Feast of July,1995,R,13 Oct 1995,116.0,Crime|Drama|Mystery,Crime|Drama|Mystery,H.E.Bates|ChristopherNeame,EmbethDavidtz|TomBell|GemmaJones,English,UnitedStates|UnitedKingdom,,-1.0,6.2,565,tt0113044,293274.0,521446.0,167.0,Feast of July (1995),Crime|Drama|Mystery,Feast of July,1995.0
Finding Dory,2016,PG,17 Jun 2016,97.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,AndrewStanton|VictoriaStrouse,EllenDeGeneres|AlbertBrooks|EdO'Neill,English|Indonesian,UnitedStates,Nominated for 1 BAFTA Film Award17 wins & 46 nominations total,77.0,7.3,265113,tt2277860,486295561.0,549031937.0,157296.0,Finding Dory (2016),Adventure|Animation|Comedy,Finding Dory,2016.0
Finding Nemo,2003,G,30 May 2003,100.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,AndrewStanton|BobPeterson|DavidReynolds,AlbertBrooks|EllenDeGeneres|AlexanderGould,English,UnitedStates|Australia,Won 1 Oscar. 48 wins & 63 nominations total,90.0,8.1,1010795,tt0266543,380529370.0,560391540.0,6377.0,Finding Nemo (2003),Adventure|Animation|Children|Comedy,Finding Nemo,2003.0
Fire Birds,1990,PG-13,25 May 1990,85.0,Action|Adventure,Action|Adventure,StepTyner|JohnK.Swensson|DaleDye,NicolasCage|TommyLeeJones|SeanYoung,English,UnitedStates,,31.0,4.8,6380,tt0099575,14760451.0,30601678.0,7313.0,Fire Birds (1990),Action|Adventure,Fire Birds,1990.0
First Kid,1996,PG,30 Aug 1996,101.0,Comedy|Family,Comedy|Family,TimKelleher,Sinbad|BrockPierce|BlakeBoyd,English,UnitedStates,1 nomination,48.0,5.2,10869,tt0116311,26465920.0,45707267.0,881.0,First Kid (1996),Children|Comedy,First Kid,1996.0
Flight of the Navigator,1986,PG,01 Aug 1986,90.0,Adventure|Comedy|Family,Adventure|Comedy|Family,MarkH.Baker|MichaelBurton|PhilJoanou,JoeyCramer|PaulReubens|CliffDeYoung,English,UnitedStates,4 nominations,64.0,6.9,47370,tt0091059,18564613.0,45898295.0,2046.0,Flight of the Navigator (1986),Adventure|Children|Sci-Fi,Flight of the Navigator,1986.0
Flightplan,2005,PG-13,23 Sep 2005,98.0,Drama|Mystery|Thriller,Drama|Mystery|Thriller,PeterA.Dowling|BillyRay,JodieFoster|PeterSarsgaard|SeanBean,English|French|German|Arabic|Italian|Japanese,UnitedStates,2 wins & 6 nominations,53.0,6.3,160018,tt0408790,89706988.0,124464426.0,37727.0,Flightplan (2005),Drama|Mystery|Thriller,Flightplan,2005.0
Flubber,1997,PG,26 Nov 1997,93.0,Comedy|Family|Sci-Fi,Comedy|Family|Sci-Fi,SamuelW.Taylor|JohnHughes|BillWalsh,RobinWilliams|MarciaGayHarden|ChristopherMcDonald,English,UnitedStates,3 wins & 2 nominations,37.0,5.3,88306,tt0119137,92993801.0,157000188.0,1702.0,Flubber (1997),Children|Comedy|Fantasy,Flubber,1997.0
"Frank McKlusky, CI",2002,PG-13,27 Jun 2002,83.0,Comedy,Comedy,MarkPerez|DaveSheridan,DaveSheridan|CameronRichardson|RandyQuaid,English,UnitedStates,,-1.0,4.1,1388,tt0281865,0.0,0.0,5326.0,"Frank McKlusky, C.I. (2002)",Comedy,"Frank McKlusky, CI",2002.0
Frankenweenie,2012,PG,05 Oct 2012,87.0,Animation|Comedy|Drama,Animation|Comedy|Drama,LeonardRipps|TimBurton|JohnAugust,WinonaRyder|CatherineO'Hara|MartinShort,English,UnitedStates,Nominated for 1 Oscar. 11 wins & 50 nominations total,74.0,6.9,105079,tt1142977,35287788.0,41647133.0,97172.0,Frankenweenie (2012),Animation|Comedy|Horror|IMAX,Frankenweenie,2012.0
Freaky Friday,2003,PG,06 Aug 2003,97.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,MaryRodgers|HeatherHach|LeslieDixon,JamieLeeCurtis|LindsayLohan|MarkHarmon,English|Mandarin,UnitedStates,5 wins & 11 nominations,70.0,6.2,134476,tt0322330,25942000.0,115998411.0,6593.0,Freaky Friday (2003),Children|Comedy|Fantasy,Freaky Friday,2003.0
Freaky Friday,2003,PG,06 Aug 2003,97.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,MaryRodgers|HeatherHach|LeslieDixon,JamieLeeCurtis|LindsayLohan|MarkHarmon,English|Mandarin,UnitedStates,5 wins & 11 nominations,70.0,6.2,134476,tt0322330,110222438.0,162320511.0,6593.0,Freaky Friday (2003),Children|Comedy|Fantasy,Freaky Friday,2003.0
Fright Night,2011,R,19 Aug 2011,106.0,Comedy|Horror,Comedy|Horror,MartiNoxon|TomHolland,AntonYelchin|ColinFarrell|DavidTennant,English,UnitedStates,2 wins & 8 nominations,64.0,6.4,104571,tt1438176,18298649.0,22043242.0,89030.0,Fright Night (2011),Comedy|Horror,Fright Night,2011.0
Frozen,2013,PG,27 Nov 2013,102.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,JenniferLee|HansChristianAndersen|ChrisBuck,KristenBell|IdinaMenzel|JonathanGroff,English|Norwegian,UnitedStates,Won 2 Oscars. 82 wins & 60 nominations total,75.0,7.5,607860,tt2294629,400738009.0,466128849.0,106696.0,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance,Frozen,2013.0
Frozen,2013,PG,27 Nov 2013,102.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,JenniferLee|HansChristianAndersen|ChrisBuck,KristenBell|IdinaMenzel|JonathanGroff,English|Norwegian,UnitedStates,Won 2 Oscars. 82 wins & 60 nominations total,75.0,7.5,607860,tt2294629,215000.0,250082.0,106696.0,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance,Frozen,2013.0
Frozen II,2019,PG,22 Nov 2019,103.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,JenniferLee|HansChristianAndersen|ChrisBuck,KristenBell|IdinaMenzel|JoshGad,English,UnitedStates,Nominated for 1 Oscar. 17 wins & 90 nominations total,64.0,6.8,162644,tt4520988,477373578.0,505966660.0,206959.0,Frozen II (2019),Adventure|Animation|Children|Comedy|Fantasy,Frozen II,2019.0
Funny Bones,1995,R,31 Mar 1995,128.0,Comedy|Drama,Comedy|Drama,PeterChelsom|PeterFlannery,JerryLewis|OliverPlatt|LeeEvans,English,UnitedKingdom|UnitedStates,8 wins,-1.0,6.8,3713,tt0113133,529135.0,940811.0,3446.0,Funny Bones (1995),Comedy|Drama,Funny Bones,1995.0
G-Force,2009,PG,24 Jul 2009,88.0,Animation|Action|Adventure,Animation|Action|Adventure,CormacWibberley|MarianneWibberley|HoytYeatman,WillArnett|PenélopeCruz|ZachGalifianakis,English|Spanish,UnitedStates,1 win & 1 nomination,41.0,5.1,45844,tt0436339,119436770.0,150854079.0,70697.0,G-Force (2009),Action|Adventure|Children|Fantasy,G-Force,2009.0
GI Jane,1997,R,22 Aug 1997,125.0,Action|Drama|War,Action|Drama|War,DanielleAlexandra|DavidTwohy,DemiMoore|ViggoMortensen|AnneBancroft,English,UnitedStates|UnitedKingdom,2 wins & 3 nominations,62.0,6.0,79447,tt0119173,48169156.0,81323340.0,1586.0,G.I. Jane (1997),Action|Drama|War,GI Jane,1997.0
George of the Jungle,1997,PG,16 Jul 1997,92.0,Action|Adventure|Comedy,Action|Adventure|Comedy,JayWard|DanaOlsen|AudreyWells,BrendanFraser|LeslieMann|ThomasHadenChurch,English|Spanish,UnitedStates,1 win & 3 nominations,53.0,5.5,76087,tt0119190,105263257.0,177714546.0,1588.0,George of the Jungle (1997),Action|Adventure|Comedy,George of the Jungle,1997.0
Ghosts of the Abyss,2003,G,10 Sep 2003,61.0,Documentary|Family,Documentary|Family,,BillPaxton|LoriJohnston|LewisAbernathy,English,UnitedStates|France,1 nomination,67.0,6.8,5374,tt0297144,17093668.0,25173213.0,6289.0,Ghosts of the Abyss (2003),Documentary|Family,Ghosts of the Abyss,2003.0
Glory Road,2006,PG,13 Jan 2006,118.0,Biography|Drama|Sport,Biography|Drama|Sport,ChristopherCleveland|BettinaGilois,JoshLucas|DerekLuke|AustinNichols,English,UnitedStates,5 nominations,58.0,7.2,45552,tt0385726,42647449.0,57322317.0,42730.0,Glory Road (2006),Biography|Drama|Sport,Glory Road,2006.0
Gone Fishin',1997,PG,30 May 1997,94.0,Comedy|Crime,Comedy|Crime,JillMazursky|J.J.Abrams,JoePesci|DannyGlover|RosannaArquette,English,UnitedStates,1 nomination,-1.0,4.8,9971,tt0119214,19745922.0,33336775.0,870.0,Gone Fishin' (1997),Comedy|Crime,Gone Fishin',1997.0
Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118.0,Action|Crime|Thriller,Action|Crime|Thriller,H.B.Halicki|ScottRosenberg,NicolasCage|AngelinaJolie|GiovanniRibisi,English,UnitedStates,9 wins & 6 nominations,35.0,6.5,273455,tt0187078,101643008.0,159943123.0,3717.0,Gone in 60 Seconds (2000),Action|Crime|Thriller,Gone in 60 Seconds,2000.0
"Good Morning, Vietnam",1987,R,15 Jan 1988,121.0,Biography|Comedy|Drama,Biography|Comedy|Drama,MitchMarkowitz,RobinWilliams|ForestWhitaker|Tom.T.Tran,English,UnitedStates,Nominated for 1 Oscar. 7 wins & 4 nominations total,67.0,7.3,137080,tt0093105,123922370.0,295591941.0,3448.0,"Good Morning, Vietnam (1987)",Biography|Comedy|Drama,"Good Morning, Vietnam",1987.0
Green Card,1990,PG-13,01 Feb 1991,107.0,Comedy|Drama|Romance,Comedy|Drama|Romance,PeterWeir,GérardDepardieu|AndieMacDowell|BebeNeuwirth,English|French|Spanish,France|Australia|UnitedStates,Nominated for 1 Oscar. 3 wins & 4 nominations total,58.0,6.2,24125,tt0099699,29804169.0,61790632.0,6238.0,Green Card (1990),Comedy|Drama|Romance,Green Card,1990.0
Gross Anatomy,1989,PG-13,20 Oct 1989,109.0,Drama,Drama,MarkSpragg|HowardRosenman|AlanJayGlueckman,MatthewModine|DaphneZuniga|ChristineLahti,English,UnitedStates,,-1.0,6.2,3841,tt0097458,11346186.0,24794161.0,4600.0,Gross Anatomy (a.k.a. A Cut Above) (1989),Comedy|Drama,Gross Anatomy,1989.0
Grosse Pointe Blank,1997,R,11 Apr 1997,107.0,Action|Comedy|Crime,Action|Comedy|Crime,TomJankiewicz|D.V.DeVincentis|StevePink,JohnCusack|MinnieDriver|DanAykroyd,English,UnitedStates,2 wins & 8 nominations,76.0,7.3,93149,tt0119229,28084357.0,47414443.0,1500.0,Grosse Pointe Blank (1997),Comedy|Crime|Romance,Grosse Pointe Blank,1997.0
Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121.0,Action|Adventure|Comedy,Action|Adventure|Comedy,JamesGunn|NicolePerlman|DanAbnett,ChrisPratt|VinDiesel|BradleyCooper,English,UnitedStates,Nominated for 2 Oscars. 52 wins & 102 nominations total,76.0,8.1,1131146,tt2015381,333714112.0,381971955.0,112852.0,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,Guardians of the Galaxy,2014.0
Guardians of the Galaxy Vol 2,2017,PG-13,05 May 2017,136.0,Action|Adventure|Comedy,Action|Adventure|Comedy,JamesGunn|DanAbnett|AndyLanning,ChrisPratt|ZoeSaldana|DaveBautista,English,UnitedStates,Nominated for 1 Oscar. 15 wins & 59 nominations total,67.0,7.6,641226,tt3896198,389813101.0,430922225.0,,,Action|Adventure|Comedy,,
Guilty as Sin,1993,R,04 Jun 1993,107.0,Crime|Drama|Thriller,Crime|Drama|Thriller,LarryCohen,RebeccaDeMornay|DonJohnson|StephenLang,English,UnitedStates,1 win,-1.0,5.6,5286,tt0107057,22622537.0,42422344.0,463.0,Guilty as Sin (1993),Crime|Drama|Thriller,Guilty as Sin,1993.0
Gun Shy,2000,R,09 Mar 2000,101.0,Comedy|Crime|Romance,Comedy|Crime|Romance,EricBlakeney,LiamNeeson|SandraBullock|OliverPlatt,English,UnitedStates,,42.0,5.6,7412,tt0171356,1638202.0,2577837.0,3276.0,Gun Shy (2000),Comedy|Crime|Romance,Gun Shy,2000.0
Hannah Montana: The Movie,2009,G,10 Apr 2009,102.0,Comedy|Drama|Family,Comedy|Drama|Family,DanBerendsen|MichaelPoryes|RichardCorrell,MileyCyrus|EmilyOsment|BillyRayCyrus,English,UnitedStates,6 wins & 10 nominations,47.0,4.5,41988,tt1114677,79576189.0,100508350.0,70334.0,Hannah Montana: The Movie (2009),Comedy|Drama|Musical|Romance,Hannah Montana: The Movie,2009.0
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,G,01 Feb 2008,74.0,Documentary|Music,Documentary|Music,MichaelPoryes|RichardCorrell|BarryO'Brien,MileyCyrus|TheJonasBrothers|KennyOrtega,English,UnitedStates,1 win,59.0,2.6,11992,tt1127884,65281781.0,82160509.0,,,Documentary|Music,,
He Got Game,1998,R,01 May 1998,136.0,Drama|Sport,Drama|Sport,SpikeLee,DenzelWashington|MillaJovovich|RayAllen,English,UnitedStates,10 nominations,64.0,6.9,47287,tt0124718,21567853.0,35854240.0,1840.0,He Got Game (1998),Drama|Sport,He Got Game,1998.0
Heartbreak Hotel,1988,PG-13,30 Sep 1988,97.0,Comedy|Musical|Romance,Comedy|Musical|Romance,ChrisColumbus,DavidKeith|TuesdayWeld|CharlieSchlatter,English,UnitedStates,2 nominations,-1.0,5.7,1385,tt0095288,5509417.0,12619498.0,4510.0,Heartbreak Hotel (1988),Comedy|Musical|Romance,Heartbreak Hotel,1988.0
Heavyweights,1995,PG,17 Feb 1995,100.0,Comedy|Drama|Family,Comedy|Drama|Family,JuddApatow|StevenBrill,TomMcGowan|AaronSchwartz|BenStiller,English,UnitedStates,,42.0,6.6,27510,tt0110006,17671310.0,31419913.0,250.0,Heavyweights (Heavy Weights) (1995),Comedy|Drama|Family,Heavyweights,1995.0
Hello Again,1987,PG,06 Nov 1987,96.0,Comedy|Drama|Fantasy,Comedy|Drama|Fantasy,SusanIsaacs,ShelleyLong|JudithIvey|GabrielByrne,English,UnitedStates,1 nomination,-1.0,5.3,3450,tt0093175,20419446.0,48706490.0,8382.0,Hello Again (1987),Comedy|Drama|Fantasy,Hello Again,1987.0
Herbie Goes to Monte Carlo,1977,G,24 Jun 1977,105.0,Action|Adventure|Comedy,Action|Adventure|Comedy,ArthurAlsberg|DonNelson|GordonBuford,DeanJones|DonKnotts|JulieSommars,English|French,UnitedStates,,38.0,5.7,7357,tt0076137,28000000.0,125200660.0,2051.0,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy,Herbie Goes to Monte Carlo,1977.0
Herbie Fully Loaded,2005,G,22 Jun 2005,101.0,Adventure|Comedy|Family,Adventure|Comedy|Family,ThomasLennon|RobertBenGarant|AlfredGough,LindsayLohan|MichaelKeaton|CherylHines,English,UnitedStates,2 wins & 6 nominations,47.0,4.9,47299,tt0400497,66010682.0,91586863.0,,,Adventure|Comedy|Family,,
Hercules,1997,G,27 Jun 1997,93.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RonClements|JohnMusker|DonMcEnery,TateDonovan|SusanEgan|JamesWoods,English|Spanish|Greek,UnitedStates,Nominated for 1 Oscar. 9 wins & 16 nominations total,74.0,7.3,223164,tt0119282,99112101.0,167329632.0,1566.0,Hercules (1997),Adventure|Animation|Children|Comedy|Musical,Hercules,1997.0
Hidalgo,2004,PG-13,05 Mar 2004,136.0,Action|Adventure|Biography,Action|Adventure|Biography,JohnFusco,ViggoMortensen|OmarSharif|ZuleikhaRobinson,English|Arabic|Sioux,UnitedStates|Morocco,1 win & 2 nominations,54.0,6.7,80973,tt0317648,67286731.0,96520304.0,7324.0,Hidalgo (2004),Action|Adventure|Biography,Hidalgo,2004.0
High Fidelity,2000,R,31 Mar 2000,113.0,Comedy|Drama|Music,Comedy|Drama|Music,NickHornby|D.V.DeVincentis|StevePink,JohnCusack|IbenHjejle|ToddLouiso,English|Danish,UnitedKingdom|UnitedStates,Nominated for 1 BAFTA Film Award3 wins & 22 nominations total,79.0,7.5,177106,tt0146882,27277055.0,42922552.0,3481.0,High Fidelity (2000),Comedy|Drama|Romance,High Fidelity,2000.0
High Heels and Low Lifes,2001,R,26 Oct 2001,86.0,Action|Comedy|Crime,Action|Comedy|Crime,KimFuller|GeorgiaPritchett,KevinMcNally|MinnieDriver|MaryMcCormack,English,UnitedKingdom|UnitedStates,1 nomination,39.0,6.2,3542,tt0253126,226792.0,347000.0,4879.0,High Heels and Low Lifes (2001),Action|Comedy|Crime|Drama,High Heels and Low Lifes,2001.0
High School Musical 3: Senior Year,2008,G,24 Oct 2008,112.0,Comedy|Drama|Family,Comedy|Drama|Family,PeterBarsocchini,ZacEfron|VanessaHudgens|AshleyTisdale,English,UnitedStates,8 wins & 9 nominations,57.0,4.9,61618,tt0962726,90559416.0,113973725.0,62912.0,High School Musical 3: Senior Year (2008),Comedy|Drama|Family,High School Musical 3: Senior Year,2008.0
Hocus Pocus,1993,PG,16 Jul 1993,96.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,DavidKirschner|MickGarris|NeilCuthbert,BetteMidler|SarahJessicaParker|KathyNajimy,English|French,UnitedStates,2 wins & 11 nominations,43.0,6.9,119734,tt0107120,44137962.0,82768605.0,2052.0,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror,Hocus Pocus,1993.0
Holes,2003,PG,18 Apr 2003,117.0,Adventure|Comedy|Drama,Adventure|Comedy|Drama,LouisSachar,ShiaLaBeouf|SigourneyWeaver|JonVoight,English,UnitedStates,3 wins & 9 nominations,71.0,7.0,85524,tt0311289,67383924.0,99233814.0,6297.0,Holes (2003),Adventure|Children|Comedy|Mystery,Holes,2003.0
Holy Man,1998,PG,09 Oct 1998,114.0,Comedy|Drama,Comedy|Drama,TomSchulman,EddieMurphy|JeffGoldblum|KellyPreston,English,UnitedStates,1 nomination,41.0,4.9,19964,tt0120701,12069719.0,20064612.0,2306.0,Holy Man (1998),Comedy|Drama,Holy Man,1998.0
Holy Matrimony,1994,PG-13,08 Apr 1994,93.0,Comedy|Crime,Comedy|Crime,DavidWeisberg|DouglasCook,PatriciaArquette|JosephGordon-Levitt|ArminMueller-Stahl,English,UnitedStates,,-1.0,5.1,1496,tt0110044,713234.0,1304082.0,6907.0,Holy Matrimony (1994),Comedy|Crime,Holy Matrimony,1994.0
Home on the Range,2004,PG,02 Apr 2004,76.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,WillFinn|JohnSanford|MichaelLaBash,JudiDench|CubaGoodingJr.|JenniferTilly,English|Mandarin,UnitedStates,5 nominations,50.0,5.4,22634,tt0299172,50026353.0,71760936.0,7374.0,Home on the Range (2004),Animation|Children|Comedy|Musical|Western,Home on the Range,2004.0
Homeward Bound II: Lost in San Francisco,1996,G,08 Mar 1996,88.0,Adventure|Comedy|Family,Adventure|Comedy|Family,ChrisHauty|JulieHickson|SheilaBurnford,MichaelJ.Fox|SallyField|RalphWaite,English,UnitedStates,3 nominations,-1.0,5.9,14910,tt0116552,32709423.0,56489944.0,609.0,Homeward Bound II: Lost in San Francisco (1996),Adventure|Comedy|Family,Homeward Bound II: Lost in San Francisco,1996.0
Homeward Bound: The Incredible Journey,1993,G,12 Feb 1993,84.0,Adventure|Comedy|Drama,Adventure|Comedy|Drama,SheilaBurnford|CarolineThompson|LindaWoolverton,MichaelJ.Fox|SallyField|DonAlder,English,UnitedStates,1 nomination,-1.0,7.0,45727,tt0107131,41833324.0,78446891.0,1015.0,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,Homeward Bound: The Incredible Journey,1993.0
"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89.0,Adventure|Comedy|Family,Adventure|Comedy|Family,StuartGordon|BrianYuzna|EdNaha,RickMoranis|MarciaStrassman|RobertOliveri,English,UnitedStates,10 nominations,50.0,4.8,43733,tt0104437,58662452.0,113298393.0,2053.0,"Honey, I Blew Up the Kid (1992)",Adventure|Comedy|Family,"Honey, I Blew Up the Kid",1992.0
