imdb_id,awards,released,awards_id
tt0337909,2 wins & 16 nominations,01 Jan 2004,aw088
tt0109369,,26 Aug 1994,aw089
tt0092718,1 win & 3 nominations,14 Aug 1987,aw090
tt3498820,16 wins & 73 nominations,06 May 2016,aw091
tt1843866,Nominated for 1 Oscar. 5 wins & 52 nominations total,04 Apr 2014,aw092
tt4154664,9 wins & 56 nominations,08 Mar 2019,aw093
tt0103924,2 nominations,18 Sep 1992,aw094
tt0317219,Nominated for 2 Oscars. 28 wins & 34 nominations total,09 Jun 2006,aw095
tt1216475,1 win & 19 nominations,24 Jun 2011,aw096
tt3606752,1 win & 24 nominations,16 Jun 2017,aw097
tt0402894,5 wins & 3 nominations,06 Jan 2006,aw098
tt0115851,,19 Apr 1996,aw099
tt0097053,1 nomination,18 Aug 1989,aw0100
tt0371606,4 wins & 15 nominations,04 Nov 2005,aw0101
tt1222815,2 nominations,20 Apr 2012,aw0102
tt4575576,Nominated for 1 Oscar. 2 wins & 13 nominations total,03 Aug 2018,aw0103
tt0042332,Nominated for 3 Oscars. 6 wins & 7 nominations total,04 Mar 1950,aw0104
tt0094889,5 wins & 6 nominations,29 Jul 1988,aw0105
tt2380307,Won 2 Oscars. 109 wins & 40 nominations total,22 Nov 2017,aw0106
tt0331468,1 nomination,19 Sep 2003,aw0107
tt0997047,1 nomination,07 Mar 2008,aw0108
tt0109456,2 wins & 11 nominations,19 Aug 1994,aw0109
tt0118880,Nominated for 2 Oscars. 7 wins & 11 nominations total,06 Jun 1997,aw0110
tt0082199,,07 Aug 1981,aw0111
tt1093908,1 win & 3 nominations,13 Feb 2009,aw0112
tt0361467,1 win,20 Feb 2004,aw0113
tt0104006,1 nomination,16 Oct 1992,aw0114
tt0106611,2 wins & 2 nominations,01 Oct 1993,aw0115
tt0250310,1 nomination,12 Oct 2001,aw0116
tt0087091,Nominated for 1 Oscar. 1 win & 3 nominations total,29 Sep 1984,aw0117
tt0200550,4 wins & 8 nominations,04 Aug 2000,aw0118
tt0150216,5 wins & 7 nominations,21 Jan 2000,aw0119
tt0112740,Nominated for 3 Oscars. 5 wins & 9 nominations total,12 May 1995,aw0120
tt3228774,Nominated for 2 Oscars. 23 wins & 39 nominations total,28 May 2021,aw0121
tt0094933,,18 Mar 1988,aw0122
tt0109520,,25 Mar 1994,aw0123
tt0116000,2 nominations,04 Oct 1996,aw0124
tt0480242,4 nominations,26 Oct 2007,aw0125
tt0112792,6 wins & 8 nominations,11 Aug 1995,aw0126
tt0382628,6 nominations,08 Jul 2005,aw0127
tt0097165,Won 1 Oscar. 20 wins & 19 nominations total,09 Jun 1989,aw0128
tt0112819,2 nominations,06 Oct 1995,aw0129
tt0101694,,27 Sep 1991,aw0130
tt0118956,2 nominations,30 Jan 1998,aw0131
tt2387559,,22 Nov 2013,aw0132
tt0205000,2 nominations,10 Dec 1999,aw0133
tt0099422,Won 3 Oscars. 9 wins & 36 nominations total,15 Jun 1990,aw0134
tt0130623,4 wins & 21 nominations,19 May 2000,aw0135
tt1691917,5 nominations,09 Aug 2013,aw0136
tt1067106,3 wins & 5 nominations,06 Nov 2009,aw0137
tt0097211,,14 Apr 1989,aw0138
tt1211837,Nominated for 1 Oscar. 20 wins & 68 nominations total,04 Nov 2016,aw0139
tt0238948,,12 Jan 2001,aw0140
tt0187819,1 nomination,26 Mar 1999,aw0141
tt0090966,1 win & 5 nominations,31 Jan 1986,aw0142
tt0099472,1 nomination,03 Aug 1990,aw0143
tt0134630,1 nomination,15 Sep 2000,aw0144
tt3861390,3 wins & 13 nominations,29 Mar 2019,aw0145
tt5649074,,19 Mar 2006,aw0146
tt0297445,1 nomination,17 May 2002,aw0147
tt1757737,,05 Sep 2009,aw0148
tt0109707,Won 2 Oscars. 27 wins & 34 nominations total,07 Oct 1994,aw0149
tt0116168,1 win & 2 nominations,31 May 1996,aw0150
tt0397313,2 wins & 2 nominations,17 Feb 2006,aw0151
tt2953050,Won 1 Oscar. 37 wins & 76 nominations total,24 Nov 2021,aw0152
tt0461770,Nominated for 3 Oscars. 12 wins & 51 nominations total,21 Nov 2007,aw0153
tt0104187,1 win & 1 nomination,22 May 1992,aw0154
tt0120660,5 wins & 16 nominations,20 Nov 1998,aw0155
tt0092974,1 nomination,22 May 1987,aw0156
tt0099512,,06 Apr 1990,aw0157
tt0095107,,11 Nov 1988,aw0158
tt0101821,,11 Oct 1991,aw0159
tt9032400,4 wins & 14 nominations,05 Nov 2021,aw0160
tt0116250,Won 1 Oscar. 19 wins & 43 nominations total,10 Jan 1997,aw0161
tt0032455,Won 2 Oscars. 8 wins & 1 nomination total,19 Sep 1941,aw0162
tt0106877,,27 Aug 1993,aw0163
tt0101862,1 win & 5 nominations,20 Dec 1991,aw0164
tt0113041,1 win & 2 nominations,08 Dec 1995,aw0165
tt0113044,,13 Oct 1995,aw0166
tt2277860,Nominated for 1 BAFTA Film Award17 wins & 46 nominations total,17 Jun 2016,aw0167
tt0266543,Won 1 Oscar. 48 wins & 63 nominations total,30 May 2003,aw0168
tt0099575,,25 May 1990,aw0169
tt0116311,1 nomination,30 Aug 1996,aw0170
tt0091059,4 nominations,01 Aug 1986,aw0171
tt0408790,2 wins & 6 nominations,23 Sep 2005,aw0172
tt0119137,3 wins & 2 nominations,26 Nov 1997,aw0173
tt0281865,,27 Jun 2002,aw0174
tt1142977,Nominated for 1 Oscar. 11 wins & 50 nominations total,05 Oct 2012,aw0175
tt0322330,5 wins & 11 nominations,06 Aug 2003,aw0176
tt1438176,2 wins & 8 nominations,19 Aug 2011,aw0177
tt2294629,Won 2 Oscars. 82 wins & 60 nominations total,27 Nov 2013,aw0178
tt4520988,Nominated for 1 Oscar. 17 wins & 90 nominations total,22 Nov 2019,aw0179
tt0113133,8 wins,31 Mar 1995,aw0180
tt0436339,1 win & 1 nomination,24 Jul 2009,aw0181
tt0119173,2 wins & 3 nominations,22 Aug 1997,aw0182
tt0119190,1 win & 3 nominations,16 Jul 1997,aw0183
tt0297144,1 nomination,10 Sep 2003,aw0184
tt0385726,5 nominations,13 Jan 2006,aw0185
tt0866613,,25 Sep 2006,aw0186
tt0119214,1 nomination,30 May 1997,aw0187
tt0187078,9 wins & 6 nominations,09 Jun 2000,aw0188
tt0093105,Nominated for 1 Oscar. 7 wins & 4 nominations total,15 Jan 1988,aw0189
tt0099699,Nominated for 1 Oscar. 3 wins & 4 nominations total,01 Feb 1991,aw0190
tt0097458,,20 Oct 1989,aw0191
tt0119229,2 wins & 8 nominations,11 Apr 1997,aw0192
tt2015381,Nominated for 2 Oscars. 52 wins & 102 nominations total,01 Aug 2014,aw0193
tt3896198,Nominated for 1 Oscar. 15 wins & 59 nominations total,05 May 2017,aw0194
tt0107057,1 win,04 Jun 1993,aw0195
tt0171356,,09 Mar 2000,aw0196
tt1114677,6 wins & 10 nominations,10 Apr 2009,aw0197
tt1127884,1 win,01 Feb 2008,aw0198
tt0124718,10 nominations,01 May 1998,aw0199
tt0095288,2 nominations,30 Sep 1988,aw0200
tt0110006,,17 Feb 1995,aw0201
tt0093175,1 nomination,06 Nov 1987,aw0202
tt0076137,,24 Jun 1977,aw0203
tt0400497,2 wins & 6 nominations,22 Jun 2005,aw0204
tt0119282,Nominated for 1 Oscar. 9 wins & 16 nominations total,27 Jun 1997,aw0205
tt0317648,1 win & 2 nominations,05 Mar 2004,aw0206
tt0146882,Nominated for 1 BAFTA Film Award3 wins & 22 nominations total,31 Mar 2000,aw0207
tt0253126,1 nomination,26 Oct 2001,aw0208
tt0962726,8 wins & 9 nominations,24 Oct 2008,aw0209
tt0107120,2 wins & 11 nominations,16 Jul 1993,aw0210
tt0311289,3 wins & 9 nominations,18 Apr 2003,aw0211
tt0120701,1 nomination,09 Oct 1998,aw0212
tt0110044,,08 Apr 1994,aw0213
tt0299172,5 nominations,02 Apr 2004,aw0214
tt0116552,3 nominations,08 Mar 1996,aw0215
tt0107131,1 nomination,12 Feb 1993,aw0216
tt0104437,10 nominations,17 Jul 1992,aw0217
tt0097523,Won 1 BAFTA Film Award2 wins & 10 nominations total,23 Jun 1989,aw0218
tt0110066,,06 Jan 1995,aw0219
tt0110093,,29 Jun 1994,aw0220
tt1464540,1 win & 1 nomination,18 Feb 2011,aw0221
