imdb_id,awards,released,awards_id
tt0388980,3 nominations,30 Sep 2005,aw0447
tt0406816,1 win & 4 nominations,29 Sep 2006,aw0448
tt0104389,6 wins & 6 nominations,10 Jan 1992,aw0449
tt0338094,1 win & 4 nominations,26 Nov 2003,aw0450
tt1454029,Won 1 Oscar. 79 wins & 121 nominations total,10 Aug 2011,aw0451
tt0371724,1 win & 10 nominations,29 Apr 2005,aw0452
tt1266072,,01 Feb 2007,aw0453
tt0119314,Nominated for 1 Oscar. 4 wins & 19 nominations total,15 May 1998,aw0454
tt0302640,4 nominations,13 Dec 2002,aw0455
tt0116583,Nominated for 1 Oscar. 8 wins & 26 nominations total,21 Jun 1996,aw0456
tt2980648,2 wins & 4 nominations,08 Aug 2014,aw0457
tt0317705,Won 2 Oscars. 67 wins & 56 nominations total,05 Nov 2004,aw0458
tt0110137,,22 Apr 1994,aw0459
tt0140352,Nominated for 7 Oscars. 23 wins & 58 nominations total,05 Nov 1999,aw0460
tt0435670,1 nomination,27 Apr 2007,aw0461
tt0110189,,03 Feb 1995,aw0462
tt0089385,Nominated for 1 Oscar. 1 win & 3 nominations total,27 Sep 1985,aw0463
tt0107282,Nominated for 1 BAFTA Film Award4 wins & 5 nominations total,29 Oct 1993,aw0464
tt0061852,Nominated for 1 Oscar. 6 wins & 3 nominations total,18 Oct 1967,aw0465
tt0219854,1 win & 3 nominations,07 Jul 2000,aw0466
tt0335245,6 wins & 4 nominations,26 Mar 2004,aw0467
tt0081031,4 nominations,25 Jun 1980,aw0468
tt0357054,,05 Nov 2004,aw0469
tt1294226,4 wins & 10 nominations,31 Mar 2010,aw0470
tt0362270,3 wins & 10 nominations,25 Dec 2004,aw0471
tt2547584,1 win & 16 nominations,02 Sep 2016,aw0472
tt0110357,Won 2 Oscars. 39 wins & 35 nominations total,24 Jun 1994,aw0473
tt0097757,Won 2 Oscars. 14 wins & 8 nominations total,17 Nov 1989,aw0474
tt0306841,2 wins & 3 nominations,02 May 2003,aw0475
tt1210819,Nominated for 2 Oscars. 5 wins & 20 nominations total,03 Jul 2013,aw0476
tt0427470,1 win & 11 nominations,30 Mar 2007,aw0477
tt0076363,1 nomination,11 Mar 1977,aw0478
tt0102411,1 nomination,05 Apr 1991,aw0479
tt0104868,2 nominations,02 Oct 1992,aw0480
tt0104940,2 wins & 1 nomination,11 Dec 1992,aw0481
tt1204342,Won 1 Oscar. 17 wins & 43 nominations total,23 Nov 2011,aw0482
tt0107688,Nominated for 1 Oscar. 6 wins & 17 nominations total,29 Oct 1993,aw0483
tt5523010,1 win & 8 nominations,02 Nov 2018,aw0484
tt1462769,1 win & 8 nominations,15 Aug 2012,aw0485
tt0123209,2 nominations,26 Feb 1999,aw0486
tt0395699,1 win & 10 nominations,04 Mar 2005,aw0487
tt0120783,2 wins & 7 nominations,29 Jul 1998,aw0488
tt0117372,Nominated for 1 Oscar. 4 wins & 7 nominations total,13 Dec 1996,aw0489
tt0482571,Nominated for 2 Oscars. 6 wins & 45 nominations total,20 Oct 2006,aw0490
tt0247638,3 wins & 11 nominations,03 Aug 2001,aw0491
tt0368933,1 win & 2 nominations,11 Aug 2004,aw0492
tt0780521,Nominated for 3 Oscars. 10 wins & 42 nominations total,11 Dec 2009,aw0493
tt0107889,,24 Sep 1993,aw0494
tt1041829,7 wins & 20 nominations,19 Jun 2009,aw0495
tt0111003,2 nominations,21 Oct 1994,aw0496
tt0292506,2 nominations,31 Jan 2003,aw0497
tt0110955,1 win & 1 nomination,11 Mar 1994,aw0498
tt0095981,1 nomination,05 Aug 1988,aw0499
tt0076618,Nominated for 1 Oscar. 2 wins & 1 nomination total,22 Jun 1977,aw0500
tt0100477,6 wins,16 Nov 1990,aw0501
tt0117473,,13 Sep 1996,aw0502
tt0117500,Nominated for 1 Oscar. 9 wins & 9 nominations total,07 Jun 1996,aw0503
tt0102803,1 win & 6 nominations,21 Jun 1991,aw0504
tt0265662,5 wins & 4 nominations,29 Mar 2002,aw0505
tt0265666,Nominated for 1 Oscar. 11 wins & 46 nominations total,04 Jan 2002,aw0506
tt0111070,2 wins & 8 nominations,11 Nov 1994,aw0507
tt0304669,1 win & 3 nominations,01 Nov 2002,aw0508
tt0452681,4 wins & 9 nominations,03 Nov 2006,aw0509
tt0114345,1 win & 10 nominations,13 Oct 1995,aw0510
tt0393735,2 wins & 5 nominations,10 Mar 2006,aw0511
tt0120142,,28 Mar 1997,aw0512
tt0167404,Nominated for 6 Oscars. 37 wins & 56 nominations total,06 Aug 1999,aw0513
tt0963966,1 win & 2 nominations,14 Jul 2010,aw0514
tt0166896,Nominated for 1 Oscar. 18 wins & 40 nominations total,03 Nov 1999,aw0515
tt0057546,Nominated for 1 Oscar. 1 win & 1 nomination total,21 Jun 1964,aw0516
tt0108333,2 wins & 3 nominations,12 Nov 1993,aw0517
tt0114666,1 nomination,08 Sep 1995,aw0518
tt0220099,4 nominations,11 Feb 2000,aw0519
tt0368447,Nominated for 1 Oscar. 4 wins & 24 nominations total,30 Jul 2004,aw0520
tt0118117,3 nominations,20 Nov 1996,aw0521
tt0120484,6 wins & 6 nominations,06 Nov 1998,aw0522
tt0405469,2 nominations,14 Apr 2006,aw0523
tt3501632,6 wins & 49 nominations,03 Nov 2017,aw0524
tt1981115,4 wins & 21 nominations,08 Nov 2013,aw0525
tt0098471,1 nomination,27 Jan 1989,aw0526
tt0094155,,13 Mar 1987,aw0527
tt0112302,1 win & 5 nominations,22 Dec 1995,aw0528
tt0108358,2 nominations,25 Dec 1993,aw0529
tt1964418,2 wins & 19 nominations,22 May 2015,aw0530
tt0092105,1 nomination,03 Oct 1986,aw0531
tt0114709,Won 1 Oscar. 27 wins & 23 nominations total,22 Nov 1995,aw0532
tt0120363,Nominated for 1 Oscar. 21 wins & 27 nominations total,24 Nov 1999,aw0533
tt0435761,Won 2 Oscars. 61 wins & 96 nominations total,18 Jun 2010,aw0534
tt1979376,Won 1 Oscar. 57 wins & 67 nominations total,21 Jun 2019,aw0535
tt0133240,Nominated for 1 Oscar. 1 win & 14 nominations total,27 Nov 2002,aw0536
tt0086476,,11 Mar 1983,aw0537
tt0084827,Nominated for 2 Oscars. 2 wins & 8 nominations total,09 Jul 1982,aw0538
tt1104001,Nominated for 1 Oscar. 10 wins & 51 nominations total,17 Dec 2010,aw0539
tt0283084,1 win & 3 nominations,11 Oct 2002,aw0540
tt0098536,1 win & 1 nomination,28 Jul 1989,aw0541
tt0217869,2 wins & 15 nominations,22 Nov 2000,aw0542
tt0328589,5 nominations,26 Sep 2003,aw0543
tt0467110,3 nominations,03 Aug 2007,aw0544
tt0114798,Nominated for 1 Oscar. 3 nominations total,22 Sep 1995,aw0545
tt1049413,Won 2 Oscars. 79 wins & 87 nominations total,29 May 2009,aw0546
tt0118055,Nominated for 1 Oscar. 3 wins & 3 nominations total,01 Mar 1996,aw0547
tt0361089,2 nominations,19 Aug 2005,aw0548
tt0312549,3 wins & 14 nominations,17 Oct 2003,aw0549
tt1568911,Nominated for 6 Oscars. 15 wins & 77 nominations total,25 Dec 2011,aw0550
tt0120481,1 nomination,10 Oct 1997,aw0551
tt0103241,2 wins & 2 nominations,17 May 1991,aw0552
tt0108551,Nominated for 2 Oscars. 3 wins & 15 nominations total,25 Jun 1993,aw0553
tt0111693,4 nominations,13 May 1994,aw0554
tt1185416,3 nominations,29 Jan 2010,aw0555
tt0100924,1 win & 1 nomination,23 Feb 1990,aw0556
tt0114924,4 wins & 5 nominations,21 Apr 1995,aw0557
tt0103247,1 nomination,18 Jan 1991,aw0558
tt0111701,,15 Apr 1994,aw0559
tt0118158,1 nomination,02 Feb 1996,aw0560
tt0096438,Won 4 Oscars. 24 wins & 21 nominations total,22 Jun 1988,aw0561
tt0103262,,24 May 1991,aw0562
tt0486946,1 win & 4 nominations,02 Mar 2007,aw0563
tt1449283,2 wins & 25 nominations,15 Jul 2011,aw0564
tt1772341,Nominated for 1 Oscar. 33 wins & 42 nominations total,02 Nov 2012,aw0565
tt1440770,,21 Aug 2009,aw0566
tt1414382,2 wins,24 Sep 2010,aw0567
tt0318850,1 nomination,25 Dec 2003,aw0568
tt1605790,,22 Apr 2011,aw0569
tt2948356,Won 1 Oscar. 47 wins & 72 nominations total,04 Mar 2016,aw0570
tt0250224,5 nominations,29 Jun 2001,aw0571
tt0381006,2 nominations,02 Jul 2004,aw0572
tt0106469,2 nominations,30 Apr 1993,aw0573
tt0377981,1 win & 12 nominations,11 Feb 2011,aw0574
tt0120741,2 nominations,24 Jul 1998,aw0575
tt2980706,Nominated for 1 BAFTA Film Award6 nominations total,18 Jul 2014,aw0576
tt2488496,Nominated for 5 Oscars. 62 wins & 138 nominations total,18 Dec 2015,aw0577
tt2527338,Nominated for 3 Oscars. 20 wins & 55 nominations total,20 Dec 2019,aw0578
tt0910970,Won 1 Oscar. 94 wins & 95 nominations total,27 Jun 2008,aw0579
tt0118577,6 wins & 8 nominations,08 May 1998,aw0580
tt0264578,Nominated for 2 BAFTA Film 8 wins & 8 nominations total,21 Dec 2001,aw0581
tt0120910,4 wins & 7 nominations,16 Jun 2000,aw0582
tt0876563,12 wins & 20 nominations,14 Aug 2009,aw0583
tt0495596,3 nominations,29 Jul 2006,aw0584
tt0473360,,29 Aug 2008,aw0585
tt0380389,1 win & 6 nominations,12 May 2006,aw0586
tt0099816,3 nominations,01 Mar 1991,aw0587
tt0347149,Nominated for 1 Oscar. 14 wins & 20 nominations total,17 Jun 2005,aw0588
tt4846340,Nominated for 3 Oscars. 37 wins & 94 nominations total,06 Jan 2017,aw0589
tt0339412,1 win & 5 nominations,17 Sep 2004,aw0590
tt0100201,,12 Oct 1990,aw0591
tt0113862,Nominated for 1 Oscar. 5 wins & 5 nominations total,19 Jan 1996,aw0592
tt0119718,2 nominations,25 Dec 1997,aw0593
tt0117102,1 win & 2 nominations,16 Feb 1996,aw0594
tt0765128,2 wins & 4 nominations,22 Apr 2010,aw0595
tt0105226,3 nominations,14 May 1993,aw0596
tt2140373,Nominated for 1 Oscar. 13 wins & 74 nominations total,20 Dec 2013,aw0597
tt0245429,Won 1 Oscar. 58 wins & 31 nominations total,28 Mar 2003,aw0598
tt0080684,Won 2 Oscars. 25 wins & 20 nominations total,20 Jun 1980,aw0599
tt0118001,5 nominations,15 Mar 1996,aw0600
tt0111543,,14 Dec 1994,aw0601
tt1159961,2 wins & 2 nominations,06 Oct 2010,aw0602
tt1223150,,26 Apr 2008,aw0603
tt0120659,,14 May 1999,aw0604
tt0119125,2 wins & 2 nominations,04 Sep 1998,aw0605
tt1305591,2 nominations,11 Mar 2011,aw0606
tt0283426,1 win & 9 nominations,14 Feb 2003,aw0607
tt1568921,12 wins & 6 nominations,17 Feb 2012,aw0608
