Unnamed: 0,Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
50,Outrageous Fortune,1987,R,30 Jan 1987,99,2 wins & 1 nomination,55,6.2,"8,025",tt0093690
51,Tin Men,1987,R,13 Mar 1987,112,,75,6.6,"8,500",tt0094155
52,Ernest Goes to Camp,1987,PG,22 May 1987,92,1 nomination,24,5.5,"11,450",tt0092974
53,Benji the Hunted,1987,G,19 Jun 1987,88,1 win & 1 nomination,53,6.3,"3,049",tt0092638
54,Adventures in Babysitting,1987,PG-13,03 Jul 1987,102,2 wins & 4 nominations,45,6.9,"42,846",tt0092513
55,Stakeout,1987,R,05 Aug 1987,117,2 wins,69,6.7,"25,673",tt0094025
56,Can't Buy Me Love,1987,PG-13,14 Aug 1987,94,1 win & 3 nominations,36,6.8,"36,209",tt0092718
57,Hello Again,1987,PG,06 Nov 1987,96,1 nomination,-1,5.3,"3,450",tt0093175
58,"Good Morning, Vietnam",1987,R,15 Jan 1988,121,Nominated for 1 Oscar. 7 wins & 4 nominations total,67,7.3,"136,423",tt0093105
59,Shoot to Kill,1988,R,12 Feb 1988,110,2 nominations,56,6.8,"13,198",tt0096098
60,D.O.A.,1988,R,18 Mar 1988,96,,-1,6.2,"10,175",tt0094933
61,Return to Snowy River,1988,PG,15 Apr 1988,99,2 nominations,-1,6.6,"2,513",tt0095993
62,Big Business,1988,PG,10 Jun 1988,97,1 win & 1 nomination,53,6.5,"13,753",tt0094739
63,Who Framed Roger Rabbit,1988,PG,22 Jun 1988,104,Won 4 Oscars. 24 wins & 21 nominations total,83,7.7,"194,997",tt0096438
64,Cocktail,1988,R,29 Jul 1988,104,5 wins & 6 nominations,12,5.9,"83,740",tt0094889
65,The Rescue,1988,PG,05 Aug 1988,97,1 nomination,-1,5.5,"1,240",tt0095981
66,Heartbreak Hotel,1988,PG-13,30 Sep 1988,97,2 nominations,-1,5.7,"1,380",tt0095288
67,The Good Mother,1988,R,04 Nov 1988,103,,-1,5.7,"1,681",tt0095238
68,Ernest Saves Christmas,1988,PG,11 Nov 1988,95,,44,5.7,"11,383",tt0095107
69,Oliver & Company,1988,G,18 Nov 1988,74,1 win & 2 nominations,58,6.7,"47,509",tt0095776
70,Beaches,1988,PG-13,13 Jan 1989,123,Nominated for 1 Oscar. 1 win & 6 nominations total,46,7.0,"25,694",tt0094715
71,Three Fugitives,1989,PG-13,27 Jan 1989,96,1 nomination,40,6.2,"11,617",tt0098471
72,New York Stories,1989,PG,10 Mar 1989,124,1 win,-1,6.4,"18,126",tt0097965
73,Disorganized Crime,1989,R,14 Apr 1989,98,,-1,6.3,"2,314",tt0097211
74,Dead Poets Society,1989,PG,09 Jun 1989,128,Won 1 Oscar. 20 wins & 19 nominations total,79,8.1,"464,275",tt0097165
75,"Honey, I Shrunk the Kids",1989,PG,23 Jun 1989,93,Won 1 BAFTA Film Award2 wins & 10 nominations total,63,6.4,"151,509",tt0097523
76,Turner & Hooch,1989,PG,28 Jul 1989,97,1 win & 1 nomination,36,6.2,"69,774",tt0098536
77,Cheetah,1989,G,18 Aug 1989,83,1 nomination,-1,5.9,"1,039",tt0097053
78,An Innocent Man,1989,R,06 Oct 1989,113,,39,6.5,"6,813",tt0097579
79,Gross Anatomy,1989,PG-13,20 Oct 1989,109,,-1,6.2,"3,841",tt0097458
80,The Little Mermaid,1989,G,17 Nov 1989,83,Won 2 Oscars. 14 wins & 8 nominations total,88,7.6,"252,871",tt0097757
81,Blaze,1989,R,13 Dec 1989,120,Nominated for 1 Oscar. 1 win & 3 nominations total,67,6.0,"3,854",tt0096943
82,Stella,1990,PG-13,02 Feb 1990,109,2 nominations,45,6.2,"2,645",tt0100691
83,Where the Heart Is,1990,R,23 Feb 1990,107,1 win & 1 nomination,-1,6.0,"1,634",tt0100924
84,Pretty Woman,1990,R,23 Mar 1990,119,Nominated for 1 Oscar. 8 wins & 11 nominations total,51,7.1,"312,649",tt0100405
85,Ernest Goes to Jail,1990,PG,06 Apr 1990,81,,40,5.4,"9,416",tt0099512
86,Spaced Invaders,1990,PG,27 Apr 1990,100,,38,5.3,"3,555",tt0100666
87,Fire Birds,1990,PG-13,25 May 1990,85,,31,4.8,"6,380",tt0099575
88,Dick Tracy,1990,PG,15 Jun 1990,105,Won 3 Oscars. 9 wins & 36 nominations total,68,6.1,"60,838",tt0099422
89,Betsy's Wedding,1990,R,22 Jun 1990,94,3 nominations,52,5.6,"3,716",tt0099128
90,Arachnophobia,1990,PG-13,18 Jul 1990,109,2 wins & 5 nominations,67,6.5,"68,662",tt0099052
91,Taking Care of Business,1990,R,17 Aug 1990,108,,42,6.4,"8,607",tt0103035
92,Mr. Destiny,1990,PG-13,12 Oct 1990,110,,34,6.4,"12,303",tt0100201
93,The Rescuers Down Under,1990,G,16 Nov 1990,77,6 wins,70,6.9,"41,845",tt0100477
94,Green Card,1990,PG-13,01 Feb 1991,107,Nominated for 1 Oscar. 3 wins & 4 nominations total,58,6.2,"24,125",tt0099699
95,White Fang,1991,PG,18 Jan 1991,107,1 nomination,62,6.7,"20,733",tt0103247
96,Scenes from a Mall,1991,R,22 Feb 1991,89,,-1,5.4,"4,954",tt0102849
97,The Marrying Man,1991,R,05 Apr 1991,115,1 nomination,-1,5.7,"5,628",tt0102411
98,Oscar,1991,PG,26 Apr 1991,109,3 nominations,47,6.5,"31,668",tt0102603
99,One Good Cop,1991,R,03 May 1991,114,1 nomination,-1,5.8,"4,136",tt0102593
100,What About Bob?,1991,PG,17 May 1991,99,2 wins & 2 nominations,60,7.0,"67,941",tt0103241
101,Wild Hearts Can't Be Broken,1991,G,24 May 1991,88,,-1,7.2,"5,253",tt0103262
102,The Rocketeer,1991,PG,21 Jun 1991,108,1 win & 6 nominations,61,6.5,"56,648",tt0102803
103,The Doctor,1991,PG-13,16 Aug 1991,122,3 nominations,-1,7.0,"5,473",tt0101746
104,Paradise,1991,PG-13,04 Oct 1991,111,1 win & 4 nominations,-1,6.7,"2,899",tt0102631
105,Deceived,1991,PG-13,27 Sep 1991,104,,-1,6.1,"7,247",tt0101694
106,Ernest Scared Stupid,1991,PG,11 Oct 1991,91,,38,5.8,"11,476",tt0101821
107,Billy Bathgate,1991,R,01 Nov 1991,106,3 nominations,-1,5.9,"11,909",tt0101453
108,Beauty and the Beast,1991,G,22 Nov 1991,84,Won 2 Oscars. 31 wins & 32 nominations total,95,8.0,"435,358",tt0101414
109,Father of the Bride,1991,PG,20 Dec 1991,105,1 win & 5 nominations,51,6.5,"74,229",tt0101862
110,The Hand that Rocks the Cradle,1992,R,10 Jan 1992,110,6 wins & 6 nominations,64,6.7,"42,637",tt0104389
111,Medicine Man,1992,PG-13,07 Feb 1992,106,1 nomination,43,6.0,"23,085",tt0104839
112,Blame It on the Bellboy,1992,PG-13,06 Mar 1992,78,,-1,5.5,"2,668",tt0103827
113,Noises Off...,1992,PG-13,20 Mar 1992,101,1 nomination,65,7.5,"11,159",tt0105017
114,Straight Talk,1992,PG,03 Apr 1992,91,,-1,5.7,"3,666",tt0105481
115,Newsies,1992,PG,10 Apr 1992,121,1 win & 6 nominations,46,6.9,"20,437",tt0104990
116,Passed Away,1992,PG-13,24 Apr 1992,96,1 nomination,-1,5.8,"1,341",tt0105103
117,Encino Man,1992,PG,22 May 1992,88,1 win & 1 nomination,25,5.8,"39,656",tt0104187
118,Sister Act,1992,PG,29 May 1992,100,9 wins & 10 nominations,51,6.5,"96,406",tt0105417
119,"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89,10 nominations,50,4.8,"43,733",tt0104437
120,A Stranger Among Us,1992,PG-13,17 Jul 1992,110,1 win & 3 nominations,-1,5.6,"3,827",tt0105483
121,3 Ninjas,1992,PG,07 Aug 1992,84,1 nomination,36,5.3,"21,405",tt0103596
122,Captain Ron,1992,PG-13,18 Sep 1992,100,2 nominations,39,5.8,"21,292",tt0103924
123,Sarafina!,1992,PG-13,25 Sep 1992,117,3 nominations,-1,6.4,"1,995",tt0105316
124,Innocent Blood,1992,R,25 Sep 1992,112,6 nominations,44,6.2,"10,073",tt0104511
125,The Mighty Ducks,1992,PG,02 Oct 1992,104,2 nominations,46,6.5,"65,112",tt0104868
126,1492: Conquest of Paradise,1992,PG-13,09 Oct 1992,154,2 nominations,47,6.5,"29,898",tt0103594
127,Consenting Adults,1992,R,16 Oct 1992,99,1 nomination,39,5.7,"7,446",tt0104006
128,Aladdin,1992,G,25 Nov 1992,90,Won 2 Oscars. 32 wins & 22 nominations total,86,8.0,"395,426",tt0103639
129,The Distinguished Gentleman,1992,R,04 Dec 1992,112,4 wins,45,5.9,"15,983",tt0104114
130,The Muppet Christmas Carol,1992,G,11 Dec 1992,85,2 wins & 1 nomination,64,7.7,"57,270",tt0104940
131,Alive,1993,R,15 Jan 1993,120,1 win & 1 nomination,56,7.1,"54,692",tt0106246
132,Aspen Extreme,1993,PG-13,22 Jan 1993,113,,32,6.0,"2,931",tt0106315
133,Homeward Bound: The Incredible Journey,1993,G,12 Feb 1993,84,1 nomination,-1,7.0,"45,727",tt0107131
134,The Cemetery Club,1993,PG-13,12 Feb 1993,106,1 win,-1,5.8,853,tt0106536
135,Swing Kids,1993,PG-13,05 Mar 1993,112,1 win & 1 nomination,39,6.8,"16,225",tt0108265
136,A Far Off Place,1993,PG,12 Mar 1993,108,,-1,6.5,"3,556",tt0106868
137,Born Yesterday,1993,PG,26 Mar 1993,100,1 nomination,-1,5.2,"3,928",tt0106466
138,The Adventures of Huck Finn,1993,PG,02 Apr 1993,108,,-1,6.2,"8,499",tt0106223
139,Indian Summer,1993,PG-13,23 Apr 1993,97,,51,6.6,"5,546",tt0107212
140,Super Mario Bros.,1993,PG,28 May 1993,104,2 nominations,35,4.1,"53,306",tt0108255
141,Guilty as Sin,1993,R,04 Jun 1993,107,1 win,-1,5.6,"5,286",tt0107057
142,Life with Mikey,1993,PG,04 Jun 1993,91,4 nominations,50,5.6,"5,947",tt0107413
143,What's Love Got to Do with It,1993,R,25 Jun 1993,118,Nominated for 2 Oscars. 3 wins & 15 nominations total,76,7.3,"20,560",tt0108551
144,Son in Law,1993,PG-13,02 Jul 1993,95,1 nomination,33,5.8,"19,903",tt0108186
145,Hocus Pocus,1993,PG,16 Jul 1993,96,2 wins & 11 nominations,43,6.9,"119,433",tt0107120
146,Another Stakeout,1993,PG-13,23 Jul 1993,108,1 nomination,53,5.6,"13,970",tt0106292
147,My Boyfriend's Back,1993,PG-13,06 Aug 1993,85,,-1,5.4,"4,576",tt0107626
148,Father Hood,1993,PG-13,27 Aug 1993,95,,-1,4.9,"3,141",tt0106877
149,The Joy Luck Club,1993,R,29 Oct 1993,139,Nominated for 1 BAFTA Film Award4 wins & 5 nominations total,84,7.7,"16,286",tt0107282
150,Money for Nothing,1993,R,10 Sep 1993,100,,-1,5.7,"3,942",tt0107594
151,The Program,1993,R,24 Sep 1993,112,,51,6.5,"10,435",tt0107889
152,Cool Runnings,1993,PG,01 Oct 1993,98,2 wins & 2 nominations,60,7.0,"101,823",tt0106611
153,The Nightmare Before Christmas,1993,PG,29 Oct 1993,76,Nominated for 1 Oscar. 6 wins & 17 nominations total,82,8.0,"324,226",tt0107688
154,The Three Musketeers,1993,PG,12 Nov 1993,105,2 wins & 3 nominations,43,6.4,"54,146",tt0108333
155,Sister Act 2: Back in the Habit,1993,PG,10 Dec 1993,107,1 win & 3 nominations,38,5.7,"52,916",tt0108147
156,Tombstone,1993,R,25 Dec 1993,130,2 nominations,50,7.8,"141,590",tt0108358
157,The Air Up There,1994,PG,07 Jan 1994,107,,-1,5.5,"8,930",tt0109067
158,Cabin Boy,1994,PG-13,07 Jan 1994,80,2 nominations,21,5.3,"8,597",tt0109361
159,Iron Will,1994,PG,14 Jan 1994,108,,56,6.6,"8,441",tt0110157
160,Blank Check,1994,PG,11 Feb 1994,93,,42,5.3,"20,353",tt0109287
161,Angie,1994,R,04 Mar 1994,107,1 nomination,-1,5.5,"2,193",tt0109129
162,The Ref,1994,R,11 Mar 1994,97,1 win & 1 nomination,-1,6.9,"24,689",tt0110955
163,D2: The Mighty Ducks,1994,PG,25 Mar 1994,106,,-1,6.1,"39,872",tt0109520
164,Holy Matrimony,1994,PG-13,08 Apr 1994,93,,-1,5.1,"1,496",tt0110044
165,White Fang 2: Myth of the White Wolf,1994,PG,15 Apr 1994,106,,-1,5.4,"2,308",tt0111701
166,The Inkwell,1994,R,22 Apr 1994,110,,-1,6.4,"1,434",tt0110137
167,When a Man Loves a Woman,1994,R,13 May 1994,126,4 nominations,-1,6.5,"21,892",tt0111693
168,3 Ninjas Kick Back,1994,PG,06 May 1994,93,3 nominations,39,4.6,"9,141",tt0109015
169,Renaissance Man,1994,PG-13,03 Jun 1994,128,,44,6.2,"17,800",tt0110971
170,The Lion King,1994,G,24 Jun 1994,88,Won 2 Oscars. 39 wins & 35 nominations total,88,8.5,"1,014,686",tt0110357
171,I Love Trouble,1994,PG,29 Jun 1994,123,,-1,5.3,"11,969",tt0110093
172,Angels in the Outfield,1994,PG,15 Jul 1994,102,1 win & 4 nominations,44,6.2,"31,482",tt0109127
173,In the Army Now,1994,PG,12 Aug 1994,91,,-1,5.0,"13,460",tt0110123
174,Color of Night,1994,R,19 Aug 1994,121,2 wins & 11 nominations,36,5.2,"23,822",tt0109456
175,Camp Nowhere,1994,PG,26 Aug 1994,96,,-1,6.0,"9,615",tt0109369
176,It's Pat: The Movie,1994,PG-13,25 Nov 1994,77,1 win & 7 nominations,-1,2.7,"9,848",tt0110169
177,A Simple Twist of Fate,1994,PG-13,02 Sep 1994,106,2 nominations,-1,6.3,"5,540",tt0111194
178,Quiz Show,1994,PG-13,07 Oct 1994,133,Nominated for 4 Oscars. 6 wins & 36 nominations total,92,7.5,"68,270",tt0110932
179,Terminal Velocity,1994,PG-13,23 Sep 1994,102,,-1,5.5,"13,667",tt0111400
180,Ed Wood,1994,R,07 Oct 1994,127,Won 2 Oscars. 27 wins & 34 nominations total,70,7.9,"173,323",tt0109707
181,The Puppet Masters,1994,R,21 Oct 1994,109,2 nominations,-1,5.9,"8,966",tt0111003
182,Squanto: A Warrior's Tale,1994,PG,28 Oct 1994,102,,-1,6.1,"1,248",tt0111271
183,The Santa Clause,1994,PG,11 Nov 1994,97,2 wins & 8 nominations,57,6.5,"113,266",tt0111070
184,A Low Down Dirty Shame,1994,R,23 Nov 1994,108,1 nomination,-1,5.9,"7,204",tt0110399
185,Houseguest,1995,PG,06 Jan 1995,113,,-1,6.0,"6,921",tt0110066
186,Bad Company,1995,R,20 Jan 1995,108,,-1,5.4,"3,044",tt0112443
187,Miami Rhapsody,1995,PG-13,27 Jan 1995,95,1 nomination,-1,5.4,"3,337",tt0113808
188,The Jerky Boys,1995,R,03 Feb 1995,82,,-1,4.7,"2,607",tt0110189
189,Man of the House,1995,PG,03 Mar 1995,96,2 nominations,-1,5.3,"9,537",tt0113755
190,Roommates,1995,PG,03 Mar 1995,108,Nominated for 1 Oscar. 2 nominations total,-1,6.4,"1,854",tt0114296
191,Tall Tale,1995,PG,24 Mar 1995,96,,-1,5.9,"3,783",tt0111359
192,A Pyromaniac's Love Story,1995,PG,28 Apr 1995,94,,-1,5.4,"1,063",tt0114210
193,Jefferson in Paris,1995,PG-13,31 Mar 1995,139,2 nominations,45,5.7,"3,024",tt0113463
194,Funny Bones,1995,R,31 Mar 1995,128,8 wins,-1,6.8,"3,713",tt0113133
195,A Goofy Movie,1995,G,07 Apr 1995,78,5 nominations,-1,6.9,"52,129",tt0113198
196,While You Were Sleeping,1995,PG,21 Apr 1995,103,4 wins & 5 nominations,67,6.7,"99,998",tt0114924
197,Crimson Tide,1995,R,12 May 1995,116,Nominated for 3 Oscars. 5 wins & 9 nominations total,66,7.3,"109,989",tt0112740
198,Mad Love,1995,PG-13,26 May 1995,93,,-1,5.4,"6,543",tt0113729
199,Pocahontas,1995,G,23 Jun 1995,81,Won 2 Oscars. 15 wins & 7 nominations total,58,6.7,"181,496",tt0114148
200,Judge Dredd,1995,R,30 Jun 1995,96,2 wins & 5 nominations,-1,5.5,"116,503",tt0113492
201,Operation Dumbo Drop,1995,PG,28 Jul 1995,107,,48,5.1,"8,937",tt0114048
202,Dangerous Minds,1995,R,11 Aug 1995,99,6 wins & 8 nominations,47,6.5,"51,952",tt0112792
203,A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89,1 nomination,34,4.8,"6,143",tt0113538
204,The Tie That Binds,1995,R,08 Sep 1995,99,1 nomination,-1,5.0,"1,181",tt0114666
205,Unstrung Heroes,1995,PG,22 Sep 1995,93,Nominated for 1 Oscar. 3 nominations total,70,6.7,"3,129",tt0114798
206,The Big Green,1995,PG,29 Sep 1995,100,,-1,5.5,"10,044",tt0112499
207,Dead Presidents,1995,R,06 Oct 1995,119,2 nominations,-1,6.9,"21,805",tt0112819
208,The Scarlet Letter,1995,R,13 Oct 1995,135,1 win & 10 nominations,-1,5.3,"15,236",tt0114345
209,Feast of July,1995,R,13 Oct 1995,116,,-1,6.2,563,tt0113044
210,Powder,1995,PG-13,27 Oct 1995,111,2 nominations,-1,6.6,"29,975",tt0114168
211,Toy Story,1995,G,22 Nov 1995,81,Won 1 Oscar. 27 wins & 23 nominations total,95,8.3,"956,380",tt0114709
212,Father of the Bride Part II,1995,PG,08 Dec 1995,106,1 win & 2 nominations,49,6.0,"37,331",tt0113041
213,Nixon,1995,R,05 Jan 1996,192,Nominated for 4 Oscars. 11 wins & 18 nominations total,66,7.1,"30,558",tt0113987
214,Tom and Huck,1995,PG,22 Dec 1995,97,1 win & 5 nominations,-1,5.5,"10,697",tt0112302
215,Mr. Holland's Opus,1995,PG,19 Jan 1996,143,Nominated for 1 Oscar. 5 wins & 5 nominations total,59,7.3,"38,426",tt0113862
216,White Squall,1996,PG-13,02 Feb 1996,129,1 nomination,53,6.6,"23,698",tt0118158
217,Muppet Treasure Island,1996,G,16 Feb 1996,99,5 nominations,64,6.9,"23,768",tt0117110
218,Mr. Wrong,1996,PG-13,16 Feb 1996,96,1 win & 2 nominations,-1,3.8,"5,078",tt0117102
219,Before and After,1996,PG-13,23 Feb 1996,108,,-1,6.1,"8,936",tt0115645
220,Up Close & Personal,1996,PG-13,01 Mar 1996,124,Nominated for 1 Oscar. 3 wins & 3 nominations total,-1,6.2,"14,349",tt0118055
221,James and the Giant Peach,1996,PG,12 Apr 1996,79,Nominated for 1 Oscar. 4 wins & 13 nominations total,78,6.7,"65,236",tt0116683
222,Celtic Pride,1996,PG-13,19 Apr 1996,91,,-1,5.3,"10,016",tt0115851
223,Last Dance,1996,R,03 May 1996,103,1 nomination,-1,5.7,"4,336",tt0116827
224,Boys,1996,PG-13,10 May 1996,86,,-1,4.9,"3,662",tt0115742
225,Spy Hard,1996,PG-13,24 May 1996,81,,25,5.4,"37,691",tt0117723
226,Eddie,1996,PG-13,31 May 1996,100,1 win & 2 nominations,-1,5.2,"10,953",tt0116168
227,The Rock,1996,R,07 Jun 1996,136,Nominated for 1 Oscar. 9 wins & 9 nominations total,58,7.4,"330,313",tt0117500
228,The Hunchback of Notre Dame,1996,G,21 Jun 1996,91,Nominated for 1 Oscar. 8 wins & 26 nominations total,74,7.0,"152,797",tt0116583
229,Phenomenon,1996,PG,03 Jul 1996,123,7 wins & 8 nominations,41,6.4,"78,699",tt0117333
230,Kazaam,1996,PG,17 Jul 1996,93,2 nominations,24,3.0,"24,212",tt0116756
231,Jack,1996,PG-13,09 Aug 1996,113,6 nominations,31,5.8,"59,990",tt0116669
232,First Kid,1996,PG,30 Aug 1996,101,1 nomination,48,5.2,"10,869",tt0116311
233,The Rich Man's Wife,1996,R,13 Sep 1996,95,,-1,5.2,"3,257",tt0117473
234,D3: The Mighty Ducks,1996,PG,04 Oct 1996,104,2 nominations,-1,5.4,"26,748",tt0116000
235,The Associate,1996,PG-13,25 Oct 1996,114,,-1,6.1,"8,118",tt0115580
236,Ransom,1996,R,08 Nov 1996,121,3 wins & 5 nominations,60,6.7,"125,621",tt0117438
237,The War at Home,1996,R,20 Nov 1996,123,3 nominations,-1,7.0,"2,450",tt0118117
238,101 Dalmatians,1996,G,27 Nov 1996,103,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,49,5.7,"109,485",tt0115433
239,The Preacher's Wife,1996,PG,13 Dec 1996,123,Nominated for 1 Oscar. 4 wins & 7 nominations total,-1,5.6,"12,193",tt0117372
240,Evita,1996,PG,10 Jan 1997,135,Won 1 Oscar. 19 wins & 43 nominations total,45,6.3,"35,395",tt0116250
241,Metro,1997,R,17 Jan 1997,117,1 nomination,41,5.5,"27,341",tt0119664
242,Prefontaine,1997,PG-13,24 Jan 1997,106,,56,6.8,"7,237",tt0119937
243,Shadow Conspiracy,1997,R,31 Jan 1997,103,,-1,4.9,"4,826",tt0120107
244,That Darn Cat,1997,PG,14 Feb 1997,89,2 nominations,36,4.7,"4,399",tt0120317
245,Jungle 2 Jungle,1997,PG,07 Mar 1997,105,3 nominations,42,5.1,"24,108",tt0119432
246,The Sixth Man,1997,PG-13,28 Mar 1997,107,,-1,5.7,"5,802",tt0120142
247,Grosse Pointe Blank,1997,R,11 Apr 1997,107,2 wins & 8 nominations,76,7.3,"93,149",tt0119229
248,Romy and Michele's High School Reunion,1997,R,25 Apr 1997,92,4 nominations,59,6.3,"46,106",tt0120032
249,Gone Fishin',1997,PG,30 May 1997,94,1 nomination,-1,4.8,"9,971",tt0119214
250,Con Air,1997,R,06 Jun 1997,115,Nominated for 2 Oscars. 7 wins & 11 nominations total,52,6.9,"291,106",tt0118880
251,Hercules,1997,G,27 Jun 1997,93,Nominated for 1 Oscar. 9 wins & 16 nominations total,74,7.3,"221,888",tt0119282
252,George of the Jungle,1997,PG,16 Jul 1997,92,1 win & 3 nominations,53,5.5,"76,087",tt0119190
253,Nothing to Lose,1997,R,18 Jul 1997,98,1 win,-1,6.7,"46,098",tt0119807
254,Air Bud,1997,PG,01 Aug 1997,98,4 wins & 3 nominations,-1,5.3,"17,633",tt0118570
255,G.I. Jane,1997,R,22 Aug 1997,125,2 wins & 3 nominations,62,6.0,"79,447",tt0119173
256,A Thousand Acres,1997,R,19 Sep 1997,105,2 wins & 1 nomination,-1,6.1,"5,485",tt0120323
257,Washington Square,1997,PG,10 Oct 1997,115,1 nomination,-1,6.7,"3,414",tt0120481
258,Playing God,1997,R,17 Oct 1997,94,,-1,5.6,"7,619",tt0119906
259,Flubber,1997,PG,26 Nov 1997,93,3 wins & 2 nominations,37,5.3,"88,306",tt0119137
260,An American Werewolf in Paris,1997,R,25 Dec 1997,98,3 wins & 1 nomination,31,5.1,"24,712",tt0118604
261,Mr. Magoo,1997,PG,25 Dec 1997,87,2 nominations,18,4.0,"15,174",tt0119718
262,Kundun,1997,PG-13,16 Jan 1998,134,Nominated for 4 Oscars. 7 wins & 13 nominations total,74,7.0,"27,787",tt0119485
263,Deep Rising,1998,R,30 Jan 1998,106,2 nominations,-1,6.1,"36,359",tt0118956
264,Krippendorf's Tribe,1998,PG-13,27 Feb 1998,94,1 nomination,-1,5.0,"5,526",tt0120725
265,Meet the Deedles,1998,PG,27 Mar 1998,93,1 win & 2 nominations,-1,4.1,"2,923",tt0120645
266,He Got Game,1998,R,01 May 1998,136,10 nominations,64,6.9,"47,287",tt0124718
267,The Horse Whisperer,1998,PG-13,15 May 1998,169,Nominated for 1 Oscar. 4 wins & 19 nominations total,65,6.7,"40,853",tt0119314
268,Six Days Seven Nights,1998,PG-13,12 Jun 1998,102,2 wins & 5 nominations,51,5.8,"76,274",tt0120828
269,Mulan,1998,G,19 Jun 1998,88,Nominated for 1 Oscar. 17 wins & 21 nominations total,71,7.7,"276,291",tt0120762
270,Armageddon,1998,PG-13,01 Jul 1998,151,Nominated for 4 Oscars. 15 wins & 40 nominations total,42,6.7,"416,798",tt0120591
271,The Parent Trap,1998,PG,29 Jul 1998,128,2 wins & 7 nominations,64,6.6,"132,485",tt0120783
272,Simon Birch,1998,PG,11 Sep 1998,114,3 wins & 3 nominations,39,6.9,"21,226",tt0124879
273,Holy Man,1998,PG,09 Oct 1998,114,1 nomination,41,4.9,"19,964",tt0120701
274,Beloved,1998,R,16 Oct 1998,172,Nominated for 1 Oscar. 3 wins & 24 nominations total,57,6.0,"8,945",tt0120603
275,The Waterboy,1998,PG-13,06 Nov 1998,90,6 wins & 6 nominations,41,6.2,"159,201",tt0120484
276,I'll Be Home for Christmas,1998,PG,13 Nov 1998,86,,-1,5.5,"10,550",tt0155753
277,A Bug's Life,1998,G,25 Nov 1998,95,Nominated for 1 Oscar. 14 wins & 21 nominations total,77,7.2,"283,592",tt0120623
278,Enemy of the State,1998,R,20 Nov 1998,132,5 wins & 16 nominations,67,7.3,"238,957",tt0120660
279,Rushmore,1998,R,19 Feb 1999,93,16 wins & 16 nominations,86,7.7,"181,700",tt0128445
280,A Civil Action,1998,PG-13,08 Jan 1999,115,Nominated for 2 Oscars. 5 wins & 10 nominations total,68,6.6,"28,628",tt0120633
281,Mighty Joe Young,1998,PG,25 Dec 1998,114,Nominated for 1 Oscar. 1 win & 4 nominations total,51,5.7,"28,904",tt0120751
282,My Favorite Martian,1999,PG,12 Feb 1999,94,3 nominations,33,5.1,"13,497",tt0120764
283,The Other Sister,1999,PG-13,26 Feb 1999,129,2 nominations,28,6.4,"12,381",tt0123209
284,Doug's 1st Movie,1999,G,26 Mar 1999,77,1 nomination,-1,5.0,"3,221",tt0187819
285,Instinct,1999,R,04 Jun 1999,126,1 win & 2 nominations,43,6.6,"32,983",tt0128278
286,Tarzan,1999,G,18 Jun 1999,88,Won 1 Oscar. 11 wins & 23 nominations total,79,7.3,"218,253",tt0120855
287,Summer of Sam,1999,R,02 Jul 1999,142,6 nominations,67,6.7,"38,209",tt0162677
288,Inspector Gadget,1999,PG,23 Jul 1999,78,1 win & 13 nominations,36,4.2,"47,711",tt0141369
289,The Sixth Sense,1999,PG-13,06 Aug 1999,107,Nominated for 6 Oscars. 37 wins & 56 nominations total,64,8.1,"960,142",tt0167404
290,The 13th Warrior,1999,R,27 Aug 1999,102,2 wins & 2 nominations,42,6.6,"122,450",tt0120657
291,Breakfast of Champions,1999,R,18 Feb 1999,110,1 nomination,42,4.6,"7,930",tt0120618
292,Mumford,1999,R,24 Sep 1999,112,1 win & 1 nomination,62,6.8,"9,176",tt0140397
293,"Mystery, Alaska",1999,R,01 Oct 1999,119,1 nomination,49,6.7,"26,807",tt0134618
294,The Straight Story,1999,G,03 Nov 1999,112,Nominated for 1 Oscar. 18 wins & 40 nominations total,86,8.0,"88,780",tt0166896
295,The Insider,1999,R,05 Nov 1999,157,Nominated for 7 Oscars. 23 wins & 58 nominations total,84,7.8,"168,516",tt0140352
296,Toy Story 2,1999,G,24 Nov 1999,92,Nominated for 1 Oscar. 21 wins & 27 nominations total,88,7.9,"560,453",tt0120363
297,Cradle Will Rock,1999,R,21 Jan 2000,132,5 wins & 7 nominations,64,6.8,"9,207",tt0150216
298,Deuce Bigalow: Male Gigolo,1999,R,10 Dec 1999,88,2 nominations,30,5.7,"74,314",tt0205000
299,Bicentennial Man,1999,PG,17 Dec 1999,132,Nominated for 1 Oscar. 2 wins & 8 nominations total,42,6.9,"115,697",tt0182789
300,Play It to the Bone,1999,R,21 Jan 2000,124,,32,5.5,"11,921",tt0196857
301,Gun Shy,2000,R,09 Mar 2000,101,,42,5.6,"7,412",tt0171356
302,The Tigger Movie,2000,G,11 Feb 2000,77,4 nominations,53,6.3,"18,655",tt0220099
303,Mission to Mars,2000,PG,10 Mar 2000,114,2 nominations,34,5.7,"72,756",tt0183523
304,High Fidelity,2000,R,31 Mar 2000,113,Nominated for 1 BAFTA Film Award3 wins & 22 nominations total,79,7.5,"177,106",tt0146882
