Unnamed: 0,Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
402,Eight Below,2006,PG,17 Feb 2006,120,2 wins & 2 nominations,64,7.3,"63,986",tt0397313
403,The Shaggy Dog,2006,PG,10 Mar 2006,98,2 wins & 5 nominations,43,4.4,"19,041",tt0393735
404,Stay Alive,2006,PG-13,24 Mar 2006,85,,24,5.1,"31,981",tt0441796
405,The Wild,2006,G,14 Apr 2006,82,2 nominations,47,5.2,"25,579",tt0405469
406,Stick It,2006,PG-13,28 Apr 2006,103,,53,6.4,"28,682",tt0430634
407,Cars,2006,G,09 Jun 2006,117,Nominated for 2 Oscars. 28 wins & 34 nominations total,73,7.1,"399,436",tt0317219
408,Step Up,2006,PG-13,11 Aug 2006,104,1 win & 3 nominations,48,6.5,"116,748",tt0462590
409,Invincible,2006,PG,25 Aug 2006,105,2 nominations,63,7.0,"69,914",tt0445990
410,The Guardian,2006,PG-13,29 Sep 2006,139,1 win & 4 nominations,53,6.9,"91,460",tt0406816
411,The Prestige,2006,PG-13,20 Oct 2006,130,Nominated for 2 Oscars. 6 wins & 45 nominations total,66,8.5,"1,283,065",tt0482571
412,The Santa Clause 3: The Escape Clause,2006,G,03 Nov 2006,92,4 wins & 9 nominations,32,4.8,"36,944",tt0452681
413,Déjà Vu,2006,,19 Mar 2006,-1,,-1,7.8,5,tt5649074
414,Apocalypto,2006,R,08 Dec 2006,139,Nominated for 3 Oscars. 9 wins & 23 nominations total,68,7.8,"306,157",tt0472043
415,Primeval,2007–2011,TV-14,09 Aug 2008,60,Nominated for 1 BAFTA Film Award5 nominations total,-1,7.3,"14,268",tt0808096
416,Bridge to Terabithia,2007,PG,16 Feb 2007,96,6 wins & 5 nominations,74,7.2,"152,173",tt0398808
417,Wild Hogs,2007,PG-13,02 Mar 2007,100,1 win & 4 nominations,27,5.8,"117,444",tt0486946
418,Meet the Robinsons,2007,G,30 Mar 2007,95,1 win & 10 nominations,61,6.8,"96,371",tt0396555
419,The Lookout,2007,R,30 Mar 2007,99,1 win & 11 nominations,73,7.0,"58,444",tt0427470
420,The Hoax,2007,Not Rated,01 Feb 2007,99,,-1,4.3,13,tt1266072
421,The Invisible,2007,PG-13,27 Apr 2007,102,1 nomination,36,6.2,"35,466",tt0435670
422,Ratatouille,2007,G,29 Jun 2007,111,Won 1 Oscar. 67 wins & 42 nominations total,96,8.1,"694,110",tt0382932
423,Underdog,2007,PG,03 Aug 2007,84,3 nominations,37,4.8,"21,421",tt0467110
424,The Game Plan,2007,PG,28 Sep 2007,110,3 nominations,44,6.2,"63,659",tt0492956
425,Dan in Real Life,2007,PG-13,26 Oct 2007,98,4 nominations,65,6.8,"101,800",tt0480242
426,Enchanted,2007,PG,21 Nov 2007,107,Nominated for 3 Oscars. 12 wins & 51 nominations total,75,7.1,"193,620",tt0461770
427,Step Up 2: The Streets,2008,PG-13,14 Feb 2008,98,2 wins & 3 nominations,50,6.2,"86,580",tt1023481
428,College Road Trip,2008,G,07 Mar 2008,83,1 nomination,36,4.3,"15,991",tt0997047
429,The Chronicles of Narnia: Prince Caspian,2008,PG,16 May 2008,150,4 wins & 21 nominations,62,6.5,"206,153",tt0499448
430,WALL·E,2008,G,27 Jun 2008,98,Won 1 Oscar. 94 wins & 95 nominations total,95,8.4,"1,070,747",tt0910970
431,Swing Vote,2008,PG-13,01 Aug 2008,120,1 nomination,47,6.1,"18,543",tt1027862
432,Miracle at St. Anna,2008,R,26 Sep 2008,160,1 win & 10 nominations,37,6.1,"18,525",tt1046997
433,Beverly Hills Chihuahua,2008,PG,03 Oct 2008,91,3 wins & 6 nominations,41,3.8,"24,030",tt1014775
434,Morning Light,2008,PG,12 Mar 2009,97,,51,5.8,389,tt1198405
435,High School Musical 3: Senior Year,2008,G,24 Oct 2008,112,8 wins & 9 nominations,57,4.9,"61,618",tt0962726
436,Bolt,2008,PG,21 Nov 2008,96,Nominated for 1 Oscar. 1 win & 32 nominations total,67,6.8,"203,679",tt0397892
437,Bedtime Stories,2008,PG,25 Dec 2008,99,3 wins & 5 nominations,33,6.0,"93,537",tt0960731
438,Confessions of a Shopaholic,2009,PG,13 Feb 2009,104,1 win & 3 nominations,38,5.9,"77,344",tt1093908
439,Race to Witch Mountain,2009,PG,13 Mar 2009,98,1 nomination,52,5.7,"58,879",tt1075417
440,Hannah Montana: The Movie,2009,G,10 Apr 2009,102,6 wins & 10 nominations,47,4.6,"41,849",tt1114677
441,Earth,2009,,05 Sep 2009,40,,-1,6.9,10,tt1757737
442,Up,2009,PG,29 May 2009,96,Won 2 Oscars. 79 wins & 87 nominations total,88,8.2,"1,005,054",tt1049413
443,The Proposal,2009,PG-13,19 Jun 2009,108,7 wins & 20 nominations,48,6.7,"318,229",tt1041829
444,G-Force,2009,PG,24 Jul 2009,88,1 win & 1 nomination,41,5.1,"45,666",tt0436339
445,X Games 3D: The Movie,2009,PG,21 Aug 2009,92,,43,6.5,316,tt1440770
446,Surrogates,2009,PG-13,25 Sep 2009,89,,45,6.3,"173,587",tt0986263
447,The Princess and the Frog,2009,G,11 Dec 2009,97,Nominated for 3 Oscars. 10 wins & 42 nominations total,73,7.1,"137,228",tt0780521
448,Old Dogs,2009,PG,25 Nov 2009,88,5 nominations,19,5.3,"37,691",tt0976238
449,When in Rome,2010,PG-13,29 Jan 2010,91,3 nominations,25,5.6,"61,844",tt1185416
450,Alice in Wonderland,2010,PG,05 Mar 2010,108,Won 2 Oscars. 35 wins & 63 nominations total,53,6.4,"403,595",tt1014759
451,The Last Song,2010,PG,31 Mar 2010,107,4 wins & 10 nominations,33,6.0,"86,415",tt1294226
452,Change for the Oceans,2010,,,2,,-1,7.0,5,tt1723746
453,Toy Story 3,2010,G,18 Jun 2010,103,Won 2 Oscars. 61 wins & 96 nominations total,92,8.3,"808,201",tt0435761
454,The Sorcerer's Apprentice,2010,PG,14 Jul 2010,109,1 win & 2 nominations,46,6.1,"159,560",tt0963966
455,You Again,2010,PG,24 Sep 2010,105,2 wins,28,5.8,"51,344",tt1414382
456,Secretariat,2010,PG,08 Oct 2010,123,3 wins & 6 nominations,61,7.2,"28,112",tt1028576
457,Tangled,2010,PG,24 Nov 2010,100,Nominated for 1 Oscar. 10 wins & 41 nominations total,71,7.7,"434,708",tt0398286
458,TRON: Legacy,2010,PG,17 Dec 2010,125,Nominated for 1 Oscar. 10 wins & 51 nominations total,49,6.8,"328,383",tt1104001
459,I Am Number Four,2011,PG-13,18 Feb 2011,111,1 win & 1 nomination,36,6.1,"235,464",tt1464540
460,African Cats,2011,G,22 Apr 2011,89,3 nominations,61,7.5,"6,446",tt1223236
461,Zokkomon,2011,PG,22 Apr 2011,109,,-1,4.1,400,tt1605790
462,Prom,2011,PG,29 Apr 2011,104,1 nomination,50,5.4,"15,219",tt1604171
463,Pirates of the Caribbean: On Stranger Tides,2011,PG-13,20 May 2011,136,3 wins & 31 nominations,45,6.6,"509,973",tt1298650
464,Cars 2,2011,G,24 Jun 2011,106,1 win & 19 nominations,57,6.2,"179,255",tt1216475
465,Winnie the Pooh,2011,G,15 Jul 2011,63,2 wins & 25 nominations,74,7.2,"24,286",tt1449283
466,The Help,2011,PG-13,10 Aug 2011,146,Won 1 Oscar. 79 wins & 121 nominations total,62,8.0,"445,360",tt1454029
467,Fright Night,2011,R,19 Aug 2011,106,2 wins & 8 nominations,64,6.4,"104,221",tt1438176
468,Real Steel,2011,PG-13,07 Oct 2011,127,Nominated for 1 Oscar. 2 wins & 6 nominations total,56,7.1,"319,398",tt0433035
