Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Tuck Everlasting,2002,PG,11 Oct 2002,90,1 win & 3 nominations,66.0,6.6,"23,596",tt0283084
Turner & Hooch,1989,PG,28 Jul 1989,97,1 win & 1 nomination,36.0,6.2,"69,774",tt0098536
Unbreakable,2000,PG-13,22 Nov 2000,106,2 wins & 15 nominations,62.0,7.3,"408,168",tt0217869
Under the Tuscan Sun,2003,PG-13,26 Sep 2003,113,5 nominations,52.0,6.8,"51,485",tt0328589
Underdog,2007,PG,03 Aug 2007,84,3 nominations,37.0,4.8,"21,421",tt0467110
Unstrung Heroes,1995,PG,22 Sep 1995,93,Nominated for 1 Oscar. 3 nominations total,70.0,6.7,"3,129",tt0114798
Up,2009,PG,29 May 2009,96,Won 2 Oscars. 79 wins & 87 nominations total,88.0,8.2,"1,005,054",tt1049413
Up Close & Personal,1996,PG-13,01 Mar 1996,124,Nominated for 1 Oscar. 3 wins & 3 nominations total,-1.0,6.2,"14,349",tt0118055
Valiant,2005,G,19 Aug 2005,76,2 nominations,45.0,5.5,"22,598",tt0361089
Veronica Guerin,2003,R,17 Oct 2003,98,3 wins & 14 nominations,55.0,6.9,"20,196",tt0312549
WALL·E,2008,G,27 Jun 2008,98,Won 1 Oscar. 94 wins & 95 nominations total,95.0,8.4,"1,076,317",tt0910970
War Horse,2011,PG-13,25 Dec 2011,146,Nominated for 6 Oscars. 15 wins & 77 nominations total,72.0,7.2,"154,989",tt1568911
Washington Square,1997,PG,10 Oct 1997,115,1 nomination,-1.0,6.7,"3,414",tt0120481
What About Bob?,1991,PG,17 May 1991,99,2 wins & 2 nominations,60.0,7.0,"67,941",tt0103241
What's Love Got to Do with It,1993,R,25 Jun 1993,118,Nominated for 2 Oscars. 3 wins & 15 nominations total,76.0,7.3,"20,560",tt0108551
When a Man Loves a Woman,1994,R,13 May 1994,126,4 nominations,-1.0,6.5,"21,892",tt0111693
When in Rome,2010,PG-13,29 Jan 2010,91,3 nominations,25.0,5.6,"61,844",tt1185416
Where the Heart Is,1990,R,23 Feb 1990,107,1 win & 1 nomination,-1.0,6.0,"1,634",tt0100924
While You Were Sleeping,1995,PG,21 Apr 1995,103,4 wins & 5 nominations,67.0,6.7,"99,998",tt0114924
White Fang,1991,PG,18 Jan 1991,107,1 nomination,62.0,6.7,"20,733",tt0103247
White Fang 2: Myth of the White Wolf,1994,PG,15 Apr 1994,106,NA,-1.0,5.4,"2,308",tt0111701
White Squall,1996,PG-13,02 Feb 1996,129,1 nomination,53.0,6.6,"23,698",tt0118158
Who Framed Roger Rabbit,1988,PG,22 Jun 1988,104,Won 4 Oscars. 24 wins & 21 nominations total,83.0,7.7,"194,997",tt0096438
Wild Hearts Can't Be Broken,1991,G,24 May 1991,88,NA,-1.0,7.2,"5,253",tt0103262
Wild Hogs,2007,PG-13,02 Mar 2007,100,1 win & 4 nominations,27.0,5.8,"117,444",tt0486946
Winnie the Pooh,2011,G,15 Jul 2011,63,2 wins & 25 nominations,74.0,7.2,"24,286",tt1449283
Wreck-It Ralph,2012,PG,02 Nov 2012,101,Nominated for 1 Oscar. 33 wins & 42 nominations total,72.0,7.7,"406,874",tt1772341
X Games 3D: The Movie,2009,PG,21 Aug 2009,92,NA,43.0,6.5,316,tt1440770
You Again,2010,PG,24 Sep 2010,105,2 wins,28.0,5.8,"51,344",tt1414382
The Young Black Stallion,2003,G,25 Dec 2003,50,1 nomination,51.0,5.4,"1,163",tt0318850
Zokkomon,2011,PG,22 Apr 2011,109,NA,-1.0,4.1,400,tt1605790
Zootopia,2016,PG,04 Mar 2016,108,Won 1 Oscar. 47 wins & 72 nominations total,78.0,8.0,"477,250",tt2948356
Crazy/Beautiful,2001,PG-13,29 Jun 2001,99,5 nominations,61.0,6.5,"24,684",tt0250224
