Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
A Simple Twist of Fate,1994,PG-13,02 Sep 1994,106,2 nominations,-1.0,6.3,"5,540",tt0111194
A Stranger Among Us,1992,PG-13,17 Jul 1992,110,1 win & 3 nominations,-1.0,5.6,"3,827",tt0105483
Adventures in Babysitting,1987,PG-13,03 Jul 1987,102,2 wins & 4 nominations,45.0,6.9,"42,846",tt0092513
Angels in the Outfield,1994,PG,15 Jul 1994,102,1 win & 4 nominations,44.0,6.2,"31,482",tt0109127
Beauty and the Beast,1991,G,22 Nov 1991,84,Won 2 Oscars. 31 wins & 32 nominations total,95.0,8.1,"438,320",tt0101414
Bedknobs and Broomsticks,1971,G,13 Dec 1971,117,Won 1 Oscar. 2 wins & 5 nominations total,59.0,7.1,"36,809",tt0066817
Bicentennial Man,1999,PG,17 Dec 1999,132,Nominated for 1 Oscar. 2 wins & 8 nominations total,42.0,6.9,"115,697",tt0182789
Bon Voyage!,1962,Not Rated,17 May 1962,130,Nominated for 2 Oscars. 2 nominations total,-1.0,5.7,666,tt0055807
Captain America: Civil War,2016,PG-13,06 May 2016,147,16 wins & 73 nominations,75.0,7.8,"745,441",tt3498820
Captain Marvel,2019,PG-13,08 Mar 2019,123,9 wins & 56 nominations,64.0,6.8,"525,805",tt4154664
Cheetah,1989,G,18 Aug 1989,83,1 nomination,-1.0,5.9,"1,039",tt0097053
Chicken Little,2005,G,04 Nov 2005,81,4 wins & 15 nominations,48.0,5.7,"90,797",tt0371606
Christopher Robin,2018,PG,03 Aug 2018,104,Nominated for 1 Oscar. 2 wins & 13 nominations total,60.0,7.2,"75,593",tt4575576
Color of Night,1994,R,19 Aug 1994,121,2 wins & 11 nominations,36.0,5.2,"23,822",tt0109456
Corky Romano,2001,PG-13,12 Oct 2001,86,1 nomination,20.0,4.7,"13,077",tt0250310
D.O.A.,1988,R,18 Mar 1988,96,NA,-1.0,6.2,"10,175",tt0094933
Dan in Real Life,2007,PG-13,26 Oct 2007,98,4 nominations,65.0,6.8,"101,800",tt0480242
Dead Poets Society,1989,PG,09 Jun 1989,128,Won 1 Oscar. 20 wins & 19 nominations total,79.0,8.1,"467,597",tt0097165
Delivery Man,2013,PG-13,22 Nov 2013,105,NA,44.0,6.3,"78,141",tt2387559
Deuce Bigalow: Male Gigolo,1999,R,10 Dec 1999,88,2 nominations,30.0,5.7,"74,314",tt0205000
Dick Tracy,1990,PG,15 Jun 1990,105,Won 3 Oscars. 9 wins & 36 nominations total,68.0,6.1,"60,838",tt0099422
Dinosaur,2000,PG,19 May 2000,82,4 wins & 21 nominations,56.0,6.4,"59,069",tt0130623
Disorganized Crime,1989,R,14 Apr 1989,98,NA,-1.0,6.3,"2,314",tt0097211
Encino Man,1992,PG,22 May 1992,88,1 win & 1 nomination,25.0,5.8,"39,656",tt0104187
Ernest Goes to Jail,1990,PG,06 Apr 1990,81,NA,40.0,5.4,"9,416",tt0099512
Fantasia,1940,G,19 Sep 1941,125,Won 2 Oscars. 8 wins & 1 nomination total,96.0,7.7,"94,045",tt0032455
Freaky Friday,2003,PG,06 Aug 2003,97,5 wins & 11 nominations,70.0,6.2,"134,476",tt0322330
Fright Night,2011,R,19 Aug 2011,106,2 wins & 8 nominations,64.0,6.4,"104,571",tt1438176
Frozen II,2019,PG,22 Nov 2019,103,Nominated for 1 Oscar. 17 wins & 90 nominations total,64.0,6.8,"162,644",tt4520988
Ghosts of the Abyss,2003,G,10 Sep 2003,61,1 nomination,67.0,6.8,"5,374",tt0297144
Grosse Pointe Blank,1997,R,11 Apr 1997,107,2 wins & 8 nominations,76.0,7.3,"93,149",tt0119229
Heartbreak Hotel,1988,PG-13,30 Sep 1988,97,2 nominations,-1.0,5.7,"1,380",tt0095288
Hidalgo,2004,PG-13,05 Mar 2004,136,1 win & 2 nominations,54.0,6.7,"80,973",tt0317648
Holes,2003,PG,18 Apr 2003,117,3 wins & 9 nominations,71.0,7.0,"85,524",tt0311289
Houseguest,1995,PG,06 Jan 1995,113,NA,-1.0,6.0,"6,921",tt0110066
Inside Out,2015,PG,19 Jun 2015,95,Won 1 Oscar. 101 wins & 116 nominations total,94.0,8.2,"681,506",tt2096673
Iron Man 3,2013,PG-13,03 May 2013,130,Nominated for 1 Oscar. 20 wins & 63 nominations total,62.0,7.2,"819,088",tt1300854
Last Dance,1996,R,03 May 1996,103,1 nomination,-1.0,5.7,"4,358",tt0116827
Meet the Robinsons,2007,G,30 Mar 2007,95,1 win & 10 nominations,61.0,6.8,"96,371",tt0396555
Midnight Madness,1980,PG,08 Feb 1980,112,NA,28.0,6.4,"3,490",tt0081159
Mighty Joe Young,1998,PG,25 Dec 1998,114,Nominated for 1 Oscar. 1 win & 4 nominations total,51.0,5.7,"28,904",tt0120751
Million Dollar Arm,2014,PG,16 May 2014,124,1 win & 2 nominations,56.0,7.0,"45,505",tt1647668
Moana,2016,PG,23 Nov 2016,107,Nominated for 2 Oscars. 21 wins & 90 nominations total,81.0,7.6,"315,408",tt3521164
Muppets Most Wanted,2014,PG,21 Mar 2014,107,Nominated for 1 BAFTA Film Award3 wins & 11 nominations total,61.0,6.4,"34,049",tt2281587
My Boyfriend's Back,1993,PG-13,06 Aug 1993,85,NA,-1.0,5.4,"4,576",tt0107626
Never Cry Wolf,1983,PG,27 Jan 1984,105,Nominated for 1 Oscar. 4 wins & 3 nominations total,-1.0,7.5,"8,099",tt0086005
Noises Off...,1992,PG-13,20 Mar 1992,101,1 nomination,65.0,7.5,"11,159",tt0105017
Off Beat,1986,PG,11 Apr 1986,92,NA,-1.0,5.0,947,tt0091668
Oliver & Company,1988,G,18 Nov 1988,74,1 win & 2 nominations,58.0,6.7,"47,509",tt0095776
One Good Cop,1991,R,03 May 1991,114,1 nomination,-1.0,5.8,"4,136",tt0102593
Open Range,2003,R,15 Aug 2003,139,1 win & 5 nominations,67.0,7.4,"71,654",tt0316356
Oscar,1991,PG,26 Apr 1991,109,3 nominations,47.0,6.5,"31,668",tt0102603
Out Cold,2001,PG-13,21 Nov 2001,89,NA,22.0,6.3,"17,466",tt0253798
Paradise,1991,PG-13,04 Oct 1991,111,1 win & 4 nominations,-1.0,6.7,"2,899",tt0102631
People Like Us,2012,PG-13,29 Jun 2012,114,NA,49.0,7.0,"42,811",tt1716777
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,20 May 2011,136,3 wins & 31 nominations,45.0,6.6,"509,973",tt1298650
Ransom,1996,R,08 Nov 1996,121,3 wins & 5 nominations,60.0,6.7,"125,621",tt0117438
Ratatouille,2007,G,29 Jun 2007,111,Won 1 Oscar. 67 wins & 42 nominations total,96.0,8.1,"694,110",tt0382932
Raya and the Last Dragon,2021,PG,05 Mar 2021,107,Nominated for 1 Oscar. 10 wins & 59 nominations total,75.0,7.3,"137,720",tt5109280
Renaissance Man,1994,PG-13,03 Jun 1994,128,NA,44.0,6.2,"17,800",tt0110971
Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133,Nominated for 2 Oscars. 24 wins & 85 nominations total,65.0,7.8,"600,819",tt3748528
Rushmore,1998,R,19 Feb 1999,93,16 wins & 16 nominations,86.0,7.7,"181,700",tt0128445
Sarafina!,1992,PG-13,25 Sep 1992,117,3 nominations,-1.0,6.4,"1,995",tt0105316
Shanghai Knights,2003,PG-13,07 Feb 2003,114,4 nominations,58.0,6.2,"104,747",tt0300471
Shoot to Kill,1988,R,12 Feb 1988,110,2 nominations,56.0,6.8,"13,198",tt0096098
Shopgirl,2005,R,04 Nov 2005,106,1 win & 7 nominations,62.0,6.3,"23,925",tt0338427
Signs,2002,PG-13,02 Aug 2002,106,3 wins & 34 nominations,59.0,6.7,"354,195",tt0286106
Sister Act 2: Back in the Habit,1993,PG,10 Dec 1993,107,1 win & 3 nominations,38.0,5.7,"52,916",tt0108147
Six Days Seven Nights,1998,PG-13,12 Jun 1998,102,2 wins & 5 nominations,51.0,5.8,"76,274",tt0120828
Son in Law,1993,PG-13,02 Jul 1993,95,1 nomination,33.0,5.8,"19,903",tt0108186
Stay Alive,2006,PG-13,24 Mar 2006,85,NA,24.0,5.1,"31,981",tt0441796
Stella,1990,PG-13,02 Feb 1990,109,2 nominations,45.0,6.2,"2,645",tt0100691
Step Up,2006,PG-13,11 Aug 2006,104,1 win & 3 nominations,48.0,6.5,"116,748",tt0462590
The Alamo,2004,PG-13,09 Apr 2004,137,1 nomination,47.0,6.0,"20,830",tt0318974
The Big Green,1995,PG,29 Sep 1995,100,NA,-1.0,5.5,"10,044",tt0112499
The Black Cauldron,1985,PG,24 Jul 1985,80,NA,59.0,6.4,"35,248",tt0088814
The Color of Money,1986,R,17 Oct 1986,119,Won 1 Oscar. 3 wins & 10 nominations total,77.0,7.0,"81,054",tt0090863
The Distinguished Gentleman,1992,R,04 Dec 1992,112,4 wins,45.0,5.9,"15,983",tt0104114
The Fifth Estate,2013,R,18 Oct 2013,128,2 wins & 3 nominations,49.0,6.2,"40,667",tt1837703
The Help,2011,PG-13,10 Aug 2011,146,Won 1 Oscar. 79 wins & 121 nominations total,62.0,8.0,"445,360",tt1454029
The Hoax,2007,Not Rated,01 Feb 2007,99,NA,-1.0,4.3,13,tt1266072
The Many Adventures of Winnie the Pooh,1977,G,11 Mar 1977,74,1 nomination,-1.0,7.5,"35,522",tt0076363
The Rescue,1988,PG,05 Aug 1988,97,1 nomination,-1.0,5.5,"1,240",tt0095981
Tough Guys,1986,PG,03 Oct 1986,104,1 nomination,54.0,6.2,"7,144",tt0092105
Trenchcoat,1983,PG,11 Mar 1983,91,NA,-1.0,5.3,502,tt0086476
102 Dalmatians,2000,G,22 Nov 2000,100,Nominated for 1 Oscar. 1 win & 8 nominations total,35.0,4.9,"37,045",tt0211181
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,10 Oct 2014,81,1 win & 8 nominations,54.0,6.2,"43,628",tt1698641
Alice in Wonderland,2010,PG,05 Mar 2010,108,Won 2 Oscars. 35 wins & 63 nominations total,53.0,6.4,"403,595",tt1014759
Annapolis,2006,PG-13,27 Jan 2006,108,NA,37.0,5.8,"21,020",tt0417433
Another Stakeout,1993,PG-13,23 Jul 1993,108,1 nomination,53.0,5.6,"13,970",tt0106292
Apocalypto,2006,R,08 Dec 2006,139,Nominated for 3 Oscars. 9 wins & 23 nominations total,68.0,7.8,"306,157",tt0472043
Babes in Toyland,1961,Approved,14 Dec 1961,106,Nominated for 2 Oscars. 1 win & 6 nominations total,55.0,6.2,"4,145",tt0054649
Bad Company,2002,PG-13,07 Jun 2002,116,NA,37.0,5.6,"47,631",tt0280486
Before and After,1996,PG-13,23 Feb 1996,108,NA,-1.0,6.1,"8,936",tt0115645
Beloved,1998,R,16 Oct 1998,172,Nominated for 1 Oscar. 3 wins & 24 nominations total,57.0,6.0,"8,945",tt0120603
Benji the Hunted,1987,G,19 Jun 1987,88,1 win & 1 nomination,53.0,6.2,"3,057",tt0092638
Big Trouble,2002,PG-13,05 Apr 2002,85,NA,47.0,6.5,"20,553",tt0246464
Billy Bathgate,1991,R,01 Nov 1991,106,3 nominations,-1.0,5.9,"11,909",tt0101453
Jefferson in Paris,1995,PG-13,31 Mar 1995,139,2 nominations,45.0,5.7,"3,024",tt0113463
Jungle 2 Jungle,1997,PG,07 Mar 1997,105,3 nominations,42.0,5.1,"24,108",tt0119432
Jungle Cruise,2021,PG-13,30 Jul 2021,127,3 wins & 8 nominations,50.0,6.6,"171,755",tt0870154
Kazaam,1996,PG,17 Jul 1996,93,2 nominations,24.0,3.0,"24,212",tt0116756
King Arthur,2004,PG-13,07 Jul 2004,126,4 wins & 8 nominations,46.0,6.3,"165,862",tt0349683
1492: Conquest of Paradise,1992,PG-13,09 Oct 1992,154,2 nominations,47.0,6.5,"29,898",tt0103594
A Beautiful Planet,2016,G,29 Apr 2016,46,1 win & 1 nomination,75.0,7.3,"1,367",tt2800050
A Bug's Life,1998,G,25 Nov 1998,95,Nominated for 1 Oscar. 14 wins & 21 nominations total,77.0,7.2,"284,819",tt0120623
A Lot Like Love,2005,PG-13,22 Apr 2005,107,1 win & 3 nominations,48.0,6.6,"68,921",tt0391304
A Pyromaniac's Love Story,1995,PG,28 Apr 1995,94,NA,-1.0,5.4,"1,063",tt0114210
A Thousand Acres,1997,R,19 Sep 1997,105,2 wins & 1 nomination,-1.0,6.1,"5,485",tt0120323
A Wrinkle in Time,2018,PG,09 Mar 2018,109,5 wins & 15 nominations,53.0,4.2,"44,243",tt1620680
African Cats,2011,G,22 Apr 2011,89,3 nominations,61.0,7.5,"6,446",tt1223236
Air Bud,1997,PG,01 Aug 1997,98,4 wins & 3 nominations,-1.0,5.3,"17,633",tt0118570
Aladdin,1992,G,25 Nov 1992,90,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.0,"395,426",tt0103639
Alice Through the Looking Glass,2016,PG,27 May 2016,113,4 wins & 20 nominations,34.0,6.2,"103,895",tt2567026
Aliens of the Deep,2005,G,25 Aug 2005,100,NA,71.0,6.4,"2,996",tt0417415
Amy,1981,G,20 Mar 1981,100,2 nominations,-1.0,6.6,458,tt0082017
An American Werewolf in Paris,1997,R,25 Dec 1997,98,3 wins & 1 nomination,31.0,5.1,"24,800",tt0118604
Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95,2 wins & 14 nominations,52.0,6.9,"115,183",tt0230011
Bears,2014,G,18 Apr 2014,78,2 nominations,68.0,7.3,"6,748",tt2458776
Bedtime Stories,2008,PG,25 Dec 2008,99,3 wins & 5 nominations,33.0,6.0,"93,537",tt0960731
Big Business,1988,PG,10 Jun 1988,97,1 win & 1 nomination,53.0,6.5,"13,753",tt0094739
Big Hero 6,2014,PG,07 Nov 2014,102,Won 1 Oscar. 17 wins & 58 nominations total,74.0,7.8,"444,512",tt2245084
Black Panther,2018,PG-13,16 Feb 2018,134,Won 3 Oscars. 115 wins & 281 nominations total,88.0,7.3,"713,245",tt1825683
Blank Check,1994,PG,11 Feb 1994,93,NA,42.0,5.3,"20,353",tt0109287
Breakfast of Champions,1999,R,18 Feb 1999,110,1 nomination,42.0,4.6,"7,930",tt0120618
Bridge of Spies,2015,PG-13,16 Oct 2015,142,Won 1 Oscar. 30 wins & 103 nominations total,81.0,7.6,"305,239",tt3682448
Bringing Down the House,2003,PG-13,07 Mar 2003,105,4 wins & 13 nominations,39.0,5.6,"36,744",tt0305669
Brother Bear,2003,G,01 Nov 2003,85,Nominated for 1 Oscar. 2 wins & 22 nominations total,48.0,6.8,"106,674",tt0328880
Captain America: The Winter Soldier,2014,PG-13,04 Apr 2014,136,Nominated for 1 Oscar. 5 wins & 52 nominations total,70.0,7.8,"809,284",tt1843866
Captain Ron,1992,PG-13,18 Sep 1992,100,2 nominations,39.0,5.8,"21,362",tt0103924
Casanova,2005,R,06 Jan 2006,112,5 wins & 3 nominations,57.0,6.5,"53,900",tt0402894
Chimpanzee,2012,G,20 Apr 2012,78,2 nominations,57.0,7.2,"6,125",tt1222815
Coco,2017,PG,22 Nov 2017,105,Won 2 Oscars. 109 wins & 40 nominations total,81.0,8.4,"469,282",tt2380307
College Road Trip,2008,G,07 Mar 2008,83,1 nomination,36.0,4.3,"15,991",tt0997047
Con Air,1997,R,06 Jun 1997,115,Nominated for 2 Oscars. 7 wins & 11 nominations total,52.0,6.9,"292,115",tt0118880
Confessions of a Shopaholic,2009,PG,13 Feb 2009,104,1 win & 3 nominations,38.0,5.9,"77,344",tt1093908
Confessions of a Teenage Drama Queen,2004,PG,20 Feb 2004,89,1 win,33.0,4.6,"28,929",tt0361467
Cool Runnings,1993,PG,01 Oct 1993,98,2 wins & 2 nominations,60.0,7.0,"101,823",tt0106611
Cradle Will Rock,1999,R,21 Jan 2000,132,5 wins & 7 nominations,64.0,6.8,"9,207",tt0150216
Crimson Tide,1995,R,12 May 1995,116,Nominated for 3 Oscars. 5 wins & 9 nominations total,66.0,7.3,"110,471",tt0112740
D2: The Mighty Ducks,1994,PG,25 Mar 1994,106,NA,-1.0,6.1,"39,872",tt0109520
D3: The Mighty Ducks,1996,PG,04 Oct 1996,104,2 nominations,-1.0,5.4,"26,748",tt0116000
Dangerous Minds,1995,R,11 Aug 1995,99,6 wins & 8 nominations,47.0,6.5,"51,952",tt0112792
Deep Rising,1998,R,30 Jan 1998,106,2 nominations,-1.0,6.1,"36,552",tt0118956
Double Take,2001,PG-13,12 Jan 2001,88,NA,25.0,5.4,"8,387",tt0238948
Dumbo,2019,PG,29 Mar 2019,112,3 wins & 13 nominations,51.0,6.3,"73,048",tt3861390
Earth,2009,NA,05 Sep 2009,40,NA,-1.0,6.9,10,tt1757737
Ed Wood,1994,R,07 Oct 1994,127,Won 2 Oscars. 27 wins & 34 nominations total,70.0,7.9,"173,323",tt0109707
Eddie,1996,PG-13,31 May 1996,100,1 win & 2 nominations,-1.0,5.2,"10,953",tt0116168
Encanto,2021,PG,24 Nov 2021,102,Nominated for 3 Oscars. 11 wins & 91 nominations total,75.0,7.3,"151,991",tt2953050
Enchanted,2007,PG,21 Nov 2007,107,Nominated for 3 Oscars. 12 wins & 51 nominations total,75.0,7.1,"193,620",tt0461770
Enemy of the State,1998,R,20 Nov 1998,132,5 wins & 16 nominations,67.0,7.3,"238,957",tt0120660
Ernest Goes to Camp,1987,PG,22 May 1987,92,1 nomination,24.0,5.5,"11,450",tt0092974
Ernest Saves Christmas,1988,PG,11 Nov 1988,95,NA,44.0,5.7,"11,383",tt0095107
Ernest Scared Stupid,1991,PG,11 Oct 1991,91,NA,38.0,5.8,"11,476",tt0101821
Eternals,2021,PG-13,05 Nov 2021,156,4 wins & 14 nominations,52.0,6.4,"273,637",tt9032400
Evita,1996,PG,10 Jan 1997,135,Won 1 Oscar. 19 wins & 43 nominations total,45.0,6.3,"35,395",tt0116250
Father Hood,1993,PG-13,27 Aug 1993,95,NA,-1.0,4.9,"3,141",tt0106877
Father of the Bride,1991,PG,20 Dec 1991,105,1 win & 5 nominations,51.0,6.5,"74,229",tt0101862
Father of the Bride Part II,1995,PG,08 Dec 1995,106,1 win & 2 nominations,49.0,6.0,"37,331",tt0113041
Feast of July,1995,R,13 Oct 1995,116,NA,-1.0,6.2,565,tt0113044
Finding Dory,2016,PG,17 Jun 2016,97,Nominated for 1 BAFTA Film Award17 wins & 46 nominations total,77.0,7.3,"265,113",tt2277860
Finding Nemo,2003,G,30 May 2003,100,Won 1 Oscar. 48 wins & 63 nominations total,90.0,8.1,"1,010,795",tt0266543
Fire Birds,1990,PG-13,25 May 1990,85,NA,31.0,4.8,"6,380",tt0099575
First Kid,1996,PG,30 Aug 1996,101,1 nomination,48.0,5.2,"10,869",tt0116311
Flight of the Navigator,1986,PG,01 Aug 1986,90,4 nominations,64.0,6.9,"47,370",tt0091059
Flightplan,2005,PG-13,23 Sep 2005,98,2 wins & 6 nominations,53.0,6.3,"160,018",tt0408790
Flubber,1997,PG,26 Nov 1997,93,3 wins & 2 nominations,37.0,5.3,"88,306",tt0119137
Frankenweenie,2012,PG,05 Oct 2012,87,Nominated for 1 Oscar. 11 wins & 50 nominations total,74.0,6.9,"105,079",tt1142977
G-Force,2009,PG,24 Jul 2009,88,1 win & 1 nomination,41.0,5.1,"45,666",tt0436339
G.I. Jane,1997,R,22 Aug 1997,125,2 wins & 3 nominations,62.0,6.0,"79,447",tt0119173
Gone Fishin',1997,PG,30 May 1997,94,1 nomination,-1.0,4.8,"9,971",tt0119214
Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118,9 wins & 6 nominations,35.0,6.5,"273,455",tt0187078
Green Card,1990,PG-13,01 Feb 1991,107,Nominated for 1 Oscar. 3 wins & 4 nominations total,58.0,6.2,"24,125",tt0099699
Guardians of the Galaxy Vol. 2,2017,PG-13,05 May 2017,136,Nominated for 1 Oscar. 15 wins & 59 nominations total,67.0,7.6,"641,226",tt3896198
Guilty as Sin,1993,R,04 Jun 1993,107,1 win,-1.0,5.6,"5,286",tt0107057
Gun Shy,2000,R,09 Mar 2000,101,NA,42.0,5.6,"7,412",tt0171356
Hannah Montana: The Movie,2009,G,10 Apr 2009,102,6 wins & 10 nominations,47.0,4.6,"41,849",tt1114677
Hello Again,1987,PG,06 Nov 1987,96,1 nomination,-1.0,5.3,"3,450",tt0093175
Herbie Fully Loaded,2005,G,22 Jun 2005,101,2 wins & 6 nominations,47.0,4.9,"47,299",tt0400497
High Fidelity,2000,R,31 Mar 2000,113,Nominated for 1 BAFTA Film Award3 wins & 22 nominations total,79.0,7.5,"177,106",tt0146882
High Heels and Low Lifes,2001,R,26 Oct 2001,86,1 nomination,39.0,6.2,"3,542",tt0253126
Hocus Pocus,1993,PG,16 Jul 1993,96,2 wins & 11 nominations,43.0,6.9,"119,734",tt0107120
Holy Matrimony,1994,PG-13,08 Apr 1994,93,NA,-1.0,5.1,"1,496",tt0110044
Home on the Range,2004,PG,02 Apr 2004,76,5 nominations,50.0,5.4,"22,502",tt0299172
Homeward Bound: The Incredible Journey,1993,G,12 Feb 1993,84,1 nomination,-1.0,7.0,"45,727",tt0107131
"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89,10 nominations,50.0,4.8,"43,733",tt0104437
I'll Be Home for Christmas,1998,PG,13 Nov 1998,86,NA,-1.0,5.5,"10,550",tt0155753
Incredibles 2,2018,PG,15 Jun 2018,118,Nominated for 1 Oscar. 12 wins & 80 nominations total,80.0,7.6,"282,062",tt3606756
Indian Summer,1993,PG-13,23 Apr 1993,97,NA,51.0,6.6,"5,546",tt0107212
Inspector Gadget,1999,PG,23 Jul 1999,78,1 win & 13 nominations,36.0,4.2,"47,711",tt0141369
Instinct,1999,R,04 Jun 1999,126,1 win & 2 nominations,43.0,6.6,"32,983",tt0128278
Into the Woods,2014,PG,25 Dec 2014,125,Nominated for 3 Oscars. 10 wins & 74 nominations total,69.0,5.9,"139,137",tt2180411
Invincible,2006,PG,25 Aug 2006,105,2 nominations,63.0,7.0,"69,914",tt0445990
Iron Will,1994,PG,14 Jan 1994,108,NA,56.0,6.6,"8,441",tt0110157
It's Pat: The Movie,1994,PG-13,25 Nov 1994,77,1 win & 7 nominations,-1.0,2.7,"9,848",tt0110169
Jack,1996,PG-13,09 Aug 1996,113,6 nominations,31.0,5.8,"59,990",tt0116669
John Carter,2012,PG-13,09 Mar 2012,132,2 wins & 8 nominations,51.0,6.6,"267,933",tt0401729
Just Visiting,2001,PG-13,06 Apr 2001,88,NA,38.0,5.7,"19,098",tt0189192
Ladder 49,2004,PG-13,01 Oct 2004,115,1 win & 7 nominations,47.0,6.5,"57,545",tt0349710
Lady and the Tramp,1955,G,22 Jun 1955,76,Nominated for 1 BAFTA Film Award1 win & 2 nominations total,78.0,7.3,"131,997",tt0048280
Life with Mikey,1993,PG,04 Jun 1993,91,4 nominations,50.0,5.6,"5,947",tt0107413
Lilo & Stitch,2002,PG,21 Jun 2002,85,Nominated for 1 Oscar. 11 wins & 27 nominations total,73.0,7.3,"183,571",tt0275847
Lincoln,2012,PG-13,16 Nov 2012,150,Won 2 Oscars. 107 wins & 252 nominations total,86.0,7.3,"256,757",tt0443272
Maleficent,2014,PG,30 May 2014,97,Nominated for 1 Oscar. 12 wins & 43 nominations total,56.0,7.0,"366,653",tt1587310
Maleficent: Mistress of Evil,2019,PG,18 Oct 2019,119,Nominated for 1 Oscar. 1 win & 11 nominations total,43.0,6.6,"100,187",tt4777008
Man of the House,1995,PG,03 Mar 1995,96,2 nominations,-1.0,5.2,"9,576",tt0113755
"McFarland, USA",2015,PG,20 Feb 2015,129,4 wins & 3 nominations,60.0,7.4,"38,100",tt2097298
Medicine Man,1992,PG-13,07 Feb 1992,106,1 nomination,43.0,6.0,"23,085",tt0104839
Meet the Deedles,1998,PG,27 Mar 1998,93,1 win & 2 nominations,-1.0,4.1,"2,923",tt0120645
Miracle,2004,PG,06 Feb 2004,135,2 wins & 4 nominations,68.0,7.5,"53,529",tt0349825
Miracle at St. Anna,2008,R,26 Sep 2008,160,1 win & 10 nominations,37.0,6.1,"18,525",tt1046997
Monsters University,2013,G,21 Jun 2013,104,Nominated for 2 BAFTA Film 9 wins & 58 nominations total,65.0,7.3,"348,001",tt1453405
"Monsters, Inc.",2001,G,02 Nov 2001,92,Won 1 Oscar. 15 wins & 38 nominations total,79.0,8.1,"875,550",tt0198781
Moonlight Mile,2002,PG-13,04 Oct 2002,117,1 win & 6 nominations,59.0,6.6,"14,051",tt0179098
Mulan,1998,G,19 Jun 1998,88,Nominated for 1 Oscar. 17 wins & 21 nominations total,71.0,7.6,"277,743",tt0120762
Mumford,1999,R,24 Sep 1999,112,1 win & 1 nomination,62.0,6.8,"9,176",tt0140397
Muppet Treasure Island,1996,G,16 Feb 1996,99,5 nominations,64.0,6.9,"23,768",tt0117110
My Favorite Martian,1999,PG,12 Feb 1999,94,3 nominations,33.0,5.1,"13,497",tt0120764
"Mystery, Alaska",1999,R,01 Oct 1999,119,1 nomination,49.0,6.7,"26,807",tt0134618
Need for Speed,2014,PG-13,14 Mar 2014,132,1 win & 5 nominations,39.0,6.4,"168,833",tt2369135
New York Stories,1989,PG,10 Mar 1989,124,1 win,-1.0,6.4,"18,192",tt0097965
Nothing to Lose,1997,R,18 Jul 1997,98,1 win,-1.0,6.7,"46,098",tt0119807
"O Brother, Where Art Thou?",2000,PG-13,02 Feb 2001,107,Nominated for 2 Oscars. 8 wins & 39 nominations total,69.0,7.7,"304,170",tt0190590
Change for the Oceans,2010,NA,NA,2,NA,-1.0,7.0,5,tt1723746
Old Dogs,2009,PG,25 Nov 2009,88,5 nominations,19.0,5.3,"37,691",tt0976238
One Magic Christmas,1985,G,22 Nov 1985,89,2 wins & 7 nominations,-1.0,6.5,"3,788",tt0089731
Onward,2020,PG,06 Mar 2020,102,Nominated for 1 Oscar. 4 wins & 65 nominations total,61.0,7.4,"138,624",tt7146812
Operation Dumbo Drop,1995,PG,28 Jul 1995,107,NA,48.0,5.1,"8,975",tt0114048
Pearl Harbor,2001,PG-13,25 May 2001,183,Won 1 Oscar. 14 wins & 51 nominations total,44.0,6.2,"326,478",tt0213149
Penguins,2019,G,17 Apr 2019,76,1 win & 1 nomination,69.0,7.1,"1,626",tt8080302
Phenomenon,1996,PG,03 Jul 1996,123,7 wins & 8 nominations,41.0,6.4,"78,699",tt0117333
Piglet's Big Movie,2003,G,21 Mar 2003,75,1 nomination,62.0,6.2,"7,748",tt0323642
Play It to the Bone,1999,R,21 Jan 2000,124,NA,32.0,5.5,"11,940",tt0196857
Playing God,1997,R,17 Oct 1997,94,NA,-1.0,5.6,"7,619",tt0119906
Pocahontas,1995,G,23 Jun 1995,81,Won 2 Oscars. 15 wins & 7 nominations total,58.0,6.7,"181,496",tt0114148
Pooh's Heffalump Movie,2005,G,11 Feb 2005,68,1 nomination,64.0,6.4,"7,364",tt0407121
Powder,1995,PG-13,27 Oct 1995,111,2 nominations,-1.0,6.6,"30,047",tt0114168
Prefontaine,1997,PG-13,24 Jan 1997,106,NA,56.0,6.8,"7,237",tt0119937
Pretty Woman,1990,R,23 Mar 1990,119,Nominated for 1 Oscar. 8 wins & 11 nominations total,51.0,7.1,"312,649",tt0100405
Primeval,2007–2011,TV-14,09 Aug 2008,60,Nominated for 1 BAFTA Film Award5 nominations total,-1.0,7.3,"14,268",tt0808096
Prom,2011,PG,29 Apr 2011,104,1 nomination,50.0,5.4,"15,219",tt1604171
Queen of Katwe,2016,PG,30 Sep 2016,124,3 wins & 26 nominations,73.0,7.4,"17,080",tt4341582
Quiz Show,1994,PG-13,07 Oct 1994,133,Nominated for 4 Oscars. 6 wins & 36 nominations total,92.0,7.5,"68,515",tt0110932
Race to Witch Mountain,2009,PG,13 Mar 2009,98,1 nomination,52.0,5.7,"58,879",tt1075417
