Character,Original voice actor,Animated debut
Black Bart,Thurl Ravenscroft[22],The Sword in the Stone
Blarney,Steve Whitmire,Dinosaurs
Blake,Nick Swardson[6],Bolt
Blaze,None,Tinker Bell and the Lost Treasure
Blue Fairy,Evelyn Venable[37],Pinocchio
Bobble,Rob Paulsen,Disney Fairies
Bog,Darin De Paul,Amphibia
Bolt,John Travolta[6],Bolt
Bomber Beagle,Robert Ridgely[29],DuckTales
Bonnie Hopps,Bonnie Hunt,Zootopia
Bookseller,Alvin Epstein[23],Beauty and the Beast
Boomer,Paul Winchell[15],The Fox and the Hound
Boone Wiseman,Adam DeVine,Penn Zero: Part-Time Hero
Bonkers D. Bobcat,Jim Cummings,Bonkers
Boscha,Eden Riegel,The Owl House
Boun,Izaac Wang,Raya and the Last Dragon
Bouncer Beagle,Chuck McCann,DuckTales
Bowler Hat Guy,Stephen J. Anderson[38],Meet the Robinsons
Br'er Bear,Nick Stewart[39],Song of the South
Br'er Fox,James Baskett[39],Song of the South
Br'er Frog,Roy Glenn[40],Song of the South
Br'er Rabbit,"Johnny Lee,[39] James Baskett",Song of the South
Braddock,Kristen JohnstonApril Winchell,Amphibia
"Bradley P. ""B.P."" Richfield",Sherman Hemsley,Dinosaurs
"Bradley ""Brad"" Buttowski",Danny Cooksey,Kick Buttowski: Suburban Daredevil
Bradley Uppercrust III,Jeff Bennett,An Extremely Goofy Movie
Brett,Colton Dunn,Big City Greens
Brittney Wong,Minae Noji,Star vs. the Forces of Evil
Brudo Avarius,John DiMaggio,Star vs. the Forces of Evil
Bruno the Dog,Jimmy MacDonald[16]Frank Welker,Cinderella
Bruno Madrigal,John Leguizamo,Encanto
Bruton,Peter Siragusa[10],Dinosaur
Brutus and Nero,Jimmy MacDonald,The Rescuers
Buck,Cuba Gooding Jr.[11],Home on the Range
Buck Cluck,Garry Marshall[1],Chicken Little
Buck Leatherleaf,James Adomian,Amphibia
Bucky Bug,None,Silly Symphonies
Bucky Oryx-Antlerson,Byron Howard,Zootopia
Bucky the Squirrel,Bob Bergen[41],The Emperor's New Groove
Buff Frog,Fred Tatasciore,Star vs. the Forces of Evil
Buford the Cook,Michael Colyar[42],The Princess and the Frog
Buford Van Stomm,Bobby Gaylor,Phineas and Ferb
Bugle Beagle,Brian Cummings,DuckTales
Bunsen Honeydew,Eric Bauza,Muppet Babies
Burger Beagle,Chuck McCann,DuckTales
Butch the Bulldog,Frank Welker,Bone Trouble
Butcher Boy,Timothy Simons,Ralph Breaks the Internet
Buzzie the Vulture,J. Pat O'Malley[8],The Jungle Book
Cadpig,Kath Soucie,101 Dalmatians: The Series
Calliope,Lillias White[13],Hercules
Camilia Noceda,Elizabeth Grullon,The Owl House
