Character,Original voice actor,Animated debut
Ian the Alligator,Kevin Michael Richardson[42],Princess and the Frog|The Princess and the Frog'
Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad
The Indian Big Chief,Candy Candido[43],Peter Pan
Iridessa,Raven-Symoné,Disney Fairies
Isabela Madrigal,Diane Guerrero,Encanto
Ivy Sundew,Katie Crown,Amphibia
J. Audubon Woodlore,Bill Thompson,Grin and Bear It
J. Gander Hooter,Danny Mann,Darkwing Duck
J. Thaddeus Toad,Eric Blore[17],The Adventures of Ichabod and Mr. Toad
J. Worthington Foulfellow,Walter Catlett[37],Pinocchio
J.P. Spamley,Bill Hader,Ralph Breaks the Internet
Jack-in-the-Box,John Lithgow,Fantasia 2000
Jack Skellington,Chris Sarandon,The Nightmare Before Christmas
Jackie Lynn Thomas,Grey DeLisle,Star vs. the Forces of Evil
Jackie Wackerman,Maria Bamford,Kick Buttowski: Suburban Daredevil
"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald[16]Rob Paulsen,Cinderella
Jafar,Jonathan Freeman[3],Aladdin
Jake,Tristan Rogers[47],The Rescuers Down Under
Jane Porter,Minnie Driver[21],Tarzan
Janna Ordonia,Abby Elliott,Star vs. the Forces of Evil
Jeb the Goat,Joe Flaherty[11],Home on the Range
"Jennifer ""Jenny"" Foxworth",Natalie Gregory[53],Oliver & Company
Jenny,None,Amphibia
Jenny Wren,Martha Wentworth,Silly Symphonies
Jeremy Birnbaum,Joshua Rush,Star vs. the Forces of Evil
Jerry Jumbeaux Jr.,John DiMaggio,Zootopia
Jesse the Ram,John DiMaggio,Zootopia
Jessica Rabbit,Kathleen Turner,Who Framed Roger Rabbit
Jim Dear,Lee Millar[26],Lady and the Tramp
Jill the Frog,Ashley Spillers,Muppet Babies
Jim Hawkins,Joseph Gordon-Levitt[28],Treasure Planet
Jiminy Cricket,Cliff Edwards[37]Eddie Carroll,Pinocchio
Jobless Joe,None,Fantasia 2000
Jock,Bill Thompson[26],Lady and the Tramp
Joe Giraffe,Pinto Colvig[58],Silly Symphonies
Joey Hippo,None,Silly Symphonies
John Darling,Paul Collins[43],Peter Pan
John Smith,Mel Gibson[35],Pocahontas
John Silver,Brian Murray[28],Treasure Planet
Johnny Appleseed,Dennis Day,Melody Time
José Carioca,José Oliveira[59]Rob Paulsen,Saludos Amigos
Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph
Judge Claude Frollo,Tony Jay[4],The Hunchback of Notre Dame
Judy Hopps,Ginnifer Goodwin,Zootopia
Julieta Madrigal,Angie Cepeda,Encanto
June,None,House of Mouse
Junior,Clint Howard[8],The Jungle Book
Junior the Buffalo,Lance LeGault[11],Home on the Range
Kaa,Sterling Holloway[8]Jim Cummings,The Jungle Book
Kala,Glenn Close[21],Tarzan
Kanga,Barbara Luddy[46],Winnie the Pooh and the Honey Tree
Kat,Eden Riegel,The Ghost and Molly McGee
Kata,Catherine O'Hara[24],Brother Bear 2
Katrina Van Tassel,None,The Adventures of Ichabod and Mr. Toad
Kekata the Medicine man,Gordon Tootoosis[35],Pocahontas
Kelly,Dana Davis,Star vs. the Forces of Evil
Kenai,Joaquin Phoenix[52],Brother Bear
Kendall Perkins,Emily Osment,Kick Buttowski: Suburban Daredevil
Kerchak,Lance Henriksen[21],Tarzan
Kermit the Frog,Matt Danner,Muppet Babies
Kikimora,Mela Lee,The Owl House
Kim Possible,Christy Carlson Romano,Kim Possible
The King,Luis Van Rooten[16],Cinderella
King,Alex Hirsch,The Owl House
King Andrias Leviathan,Keith David,Amphibia
The King of Hearts,Dink Trout[14],Alice in Wonderland
King Candy/Turbo,Alan Tudyk,Wreck-It Ralph
King Eiddileg,Arthur Malet[48],The Black Cauldron
King Hubert,Bill Thompson[27],Sleeping Beauty
King Kashekim Nedakh,Leonard Nimoy[25],Atlantis: The Lost Empire
King Leonidas,Lennie Weinrib,Bedknobs and Broomsticks
King Louie,Louis Prima[8],The Jungle Book
King Richard,Peter Ustinov[12],Robin Hood
King Roland II,Travis Willingham,Sofia the First
King Stefan,Taylor Holmes[27],Sleeping Beauty
King Triton,Kenneth Mars[5],The Little Mermaid
Kirby,Sean Elmore[1]Matthew Joston[1]Evan Dunn[1],Chicken Little
Kit Cloudkicker,R. J. WilliamsAlan Roberts,TaleSpin
KnowsMore,Alan Tudyk,Ralph Breaks the Internet
Kocoum,James Apaumut Fall[35],Pocahontas
Koda,Jeremy Suarez[52],Brother Bear
Kohut,Brandon Scott,Wreck-It Ralph
Krebbs,Douglas Seale[47],The Rescuers Down Under
Kristoff,Jonathan Groff,Frozen
Kron,Samuel E. Wright[10],Dinosaur
Kronk Pepikrankenitz,Patrick Warburton[41],The Emperor's New Groove
Kuzco,David Spade[41],The Emperor's New Groove
Lachesis,Carole Shelley[13],Hercules
Lady,Barbara Luddy[26],Lady and the Tramp
Lady Avarius,Tress MacNeille,Star vs. the Forces of Evil
Lady Kluck,Carole Shelley[12],Robin Hood
Lady Mouse,Shani Wallis[32],The Great Mouse Detective
Lady Olivia,Michelle Dockery,Amphibia
Lady Tremaine,Eleanor Audley[16]Susanne Blakeslee,Cinderella
Lafayette the Basset Hound,George Lindsey[2],The Aristocats
Lampwick,Frankie Darro[37],Pinocchio
Larry the Duck,Marshall Efron[11],Home on the Range
Lars,Martin Short,101 Dalmatians II: Patch's London Adventure
Launchpad McQuack,Terry McGovern,DuckTales
Laverne,Mary Wickes[4],The Hunchback of Notre Dame
Lawrence the Valet,Peter Bartlett[42],The Princess and the Frog
Le Fou,Jesse Corti[23],Beauty and the Beast
Lefty,Nathan Greno[38],Meet the Robinsons
Lekmet,Dee Bradley Baker,Star vs. the Forces of Evil
Leonard Helperman,Shaun Fleming[60],Teacher's Pet
Leopold Loggle,Brian Maillard,Amphibia
LePlume,Rob Paulsen,Belle's Magical World
Lewis,Jordan Fry[38],Meet the Robinsons
Li Shang,B.D. Wong[45],Mulan
Libby Stein-Torres,Lara Jill Miller,The Ghost and Molly McGee
Lil Bad Wolf,Andrew Lawrence,The Porker's Court
Lil Lightning,Jason Alexander,101 Dalmatians II: Patch's London Adventure
Lilith Clawthorne,Cissy Jones,The Owl House
Lilo Pelekai,Daveigh Chase[7],Lilo & Stitch
Ling,Gedde Watanabe[45],Mulan
The Liquidator,Jack Angel,Darkwing Duck
Little Debbie,GloZell,Ralph Breaks the Internet
Little John,Phil Harris[12],Robin Hood
Little Noi,Thalia Tran,Raya and the Last Dragon
Little Toot,None,Melody Time
Mr. Litwak,Ed O'Neill,Wreck-It Ralph
Lizzy,Tracey Miller-Zarneke[38],Meet the Robinsons
Lizzy Griffiths,Lauren Mote[61],Tinker Bell and the Great Fairy Rescue
Lord Dominator,Fred TatascioreNoël Wells,Wander Over Yonder
Lord Hater,Keith Ferguson,Wander Over Yonder
Louie,Clarence NashRussi Taylor,Donald's Nephews
Louie the Hot Dog Man,Frank Welker[53],Oliver & Company
Louis the Alligator,Michael-Leon Wooley[42],The Princess and the Frog
Lucifer the Cat,June Foray[16],Cinderella
Lucille Krunklehorn,Laurie Metcalf[38],Meet the Robinsons
Lucky,Mimi Gibson[18],One Hundred and One Dalmatians
Lucky Jack,Charles Haid[11],Home on the Range
Ludo Avarius,Alan Tudyk,Star vs. the Forces of Evil
Ludwig Von Drake,Paul Frees,An Adventure In Color
Luisa Madrigal,Jessica Darrow,Encanto
Luke,Pat Buttram[36],The Rescuers
Lumière,Jerry Orbach[23],Beauty and the Beast
Luz Noceda,Sarah-Nicole Robles,The Owl House
Ma Beagle,June Foray,DuckTales
Mabel Pines,Kristen Schaal,Gravity Falls
Mad Hatter,Ed Wynn[14],Alice in Wonderland
Madame Adelaide Bonfamille,Hermione Baddeley[2],The Aristocats
Madame Medusa,Geraldine Page[36],The Rescuers
Madam Mim,Martha Wentworth[22],The Sword in the Stone
Madame Upanova,Tress MacNeille,Fantasia
Maddie Flour,Jill Bartlett,Amphibia
Madellaine,Jennifer Love Hewitt[62],The Hunchback of Notre Dame II
Maggie,Roseanne Barr[11],Home on the Range
Magic Carpet,None,Aladdin
The Magic Mirror,Moroni Olsen[33],Snow White and the Seven Dwarfs
Magica De Spell,June Foray,DuckTales
Mahra the Baboon,Tress MacNeille,Jungle Cubs
Maid Marian,Monica Evans[12],Robin Hood
Major the Horse,None,Cinderella
Maleficent,Eleanor Audley[27],Sleeping Beauty
Malina,Jessica DiCicco,The Emperor's New School
Mama Heffalump,Brenda Blethyn,Pooh's Heffalump Movie
Mama Odie,Jenifer Lewis[42],The Princess and the Frog
Man the Hunter,None,Bambi
Marahute,Frank Welker[47],The Rescuers Down Under
March Hare,Jerry Colonna[14],Alice in Wonderland
Marco Diaz,Adam McArthur,Star vs. the Forces of Evil
Marcy Wu,Haley Tju,Amphibia
Maria Media,Raven-Symoné,Big City Greens
Mariano Guzman,Maluma,Encanto
Marie,Liz English[2],The Aristocats
"Mariposa ""Marco Jr."" Diaz",Isabella Gomez,Star vs. the Forces of Evil
Markowski,Joe Lo Truglio,Wreck-It Ralph
Marlon the Alligator,Emeril Lagasse[42],The Princess and the Frog
Mary Darling,Heather Angel[43],Peter Pan
Mary Poppins,Julie Andrews,Mary Poppins
The Matchmaker,Miriam Margolyes[45],Mulan
Matriarch Elephant,Verna Felton,Dumbo
Mattholomule,Jorge Diaz,The Owl House
Maui,Dwayne Johnson,Moana
Maurice,Rex Everhart[23],Beauty and the Beast
Max Goof,Dana HillJason Marsden,Goof Troop
Max Hare,Ned Norton[63],The Tortoise and the Hare
Maximus,None,Tangled
May,None,House of Mouse
Mayor Lionheart,J. K. Simmons,Zootopia
Mayor Toadstool,Stephen Root,Amphibia
Mechanicles,Charlie Adler,Aladdin (TV series)
Meeko,John Kassir[35],Pocahontas
Megabyte Beagle,Frank Welker,DuckTales
Megara,Susan Egan[13],Hercules
Megavolt,Dan Castellaneta,Darkwing Duck
Melinda,None,Fantasia
Melpomene,Cheryl Freeman[13],Hercules
Melvin,Fred Willard[1],Chicken Little
Mena,Cree Summer,Bambi II
Merlin,Karl Swenson[22],The Sword in the Stone
Merlock the Magician,Christopher Lloyd,DuckTales
Merryweather,Barbara Luddy[27],Sleeping Beauty
Mertle Edmonds,Miranda Paige Walls[7]Liliana Mumy,Lilo & Stitch
Meteora Butterfly,Jessica Walter,Star vs. the Forces of Evil
Michael Darling,Tommy Luske[43],Peter Pan
Mickey Mouse,Walt Disney,Steamboat Willie
Mickey Mouse as Sorcerer’s Apprentice,Walt Disney,Fantasia
Mike the Microphone,Rod Roddy,House of Mouse
Mildred,Angela Bassett[38],Meet the Robinsons
Milo Murphy,"""Weird Al"" Yankovic",Milo Murphy's Law
Milo Thatch,Michael J. Fox[25],Atlantis: The Lost Empire
Mina Loveberry,Amy Sedaris,Star vs. the Forces of Evil
Mindy,Kari Wahlgren[6],Bolt
Minnie Mouse,Walt DisneyMarcellite Garner,Plane Crazy
Minty Zaki,None,Wreck-It Ralph
Mirabel Madrigal,Stephanie Beatriz,Encanto
Mirage,Bebe Neuwirth,Aladdin (TV series)
Miranda Wright,Karla DeVito,Bonkers
Miss Bianca,Eva Gabor[36],The Rescuers
Miss Kitty,Melissa Manchester[32],The Great Mouse Detective
Miss Lightfoot,Julia Jones,The Ghost and Molly McGee
Miss Nanny,Jenny Slate,Muppet Babies
Miss Nettle,Megan Mullally,Sofia the First
Miss Piggy,Melanie Harrison,Muppet Babies
Miss Skullnick,Dee Dee Rescher,Star vs. the Forces of Evil
Mittens,Susie Essman[6],Bolt
Moana,Auli'i Cravalho,Moana
Mochi,,Big Hero 6
Moley,Colin Campbell[17],The Adventures of Ichabod and Mr. Toad
Molly Cunningham,Jenna Michaels,TaleSpin
Molly Jo,Cassie Glow,Amphibia
Molly McGee,Ashly Burch,The Ghost and Molly McGee
Monica Devertebrae,Suzie Plakson,Dinosaurs
Monsieur D'Arque,Tony Jay[23],Beauty and the Beast
Monstro,Thurl Ravenscroft[64],Pinocchio
Monterey Jack,Jim Cummings,Chip 'n Dale Rescue Rangers
Moon Butterfly,Grey DeLisle,Star vs. the Forces of Evil
Morcupine Porcupine,Mark Dindal[1],Chicken Little
Morgana,Pat Carroll,The Little Mermaid II: Return to the Sea
Morgana McCawber,Kath Soucie,Darkwing Duck
Morph,Dane A. Davis[28],Treasure Planet
Mortimer Mouse,Maurice LaMarche,Mickey's Rival
Morty Fieldmouse,None,Mickey's Steam Roller
Mother Gothel,Donna Murphy[56],Tangled
Mother Rabbit,Barbara Luddy[12],Robin Hood
Mouth,Richard Steven Horvitz,Kick Buttowski: Suburban Daredevil
Mowgli,Bruce Reitherman[8],The Jungle Book
Mozenrath,Jonathan Brandis,Aladdin (TV series)
Mr. Arrow,Roscoe Lee Browne[28],Treasure Planet
Mr. Boonchuy,Brian Sounalath,Amphibia
Mr. Big,Maurice LaMarche,Zootopia
Mr. Flour,Kevin Michael Richardson,Amphibia
Mr. Jolly,David Ogden Stiers,Teacher's Pet
Mr. Lizard,Allan Trautman,Dinosaurs
Mr. Manny,Dulé Hill,Muppet Babies
Mr. Pettibone,Jeff Pidgeon,Mickey Mouse Clubhouse
Mr. Pulman,Allan Trautman,Dinosaurs
Mr. Smee,Bill Thompson[43],Peter Pan
Mr. Snoops,Joe Flynn[36],The Rescuers
Mr. Stork,Sterling Holloway[44],Dumbo
Mr. Willerstein,Tom Kenny[38],Meet the Robinsons
Mr. Woolensworth,Patrick Stewart[1],Chicken Little
Mr. X,RuPaul,Amphibia
Mr. Yama,Paul Briggs[34],Big Hero 6
Mrs. Boonchuy,On Braly,Amphibia
Mrs. Calloway,Judi Dench[11],Home on the Range
Mrs. Featherby,June Foray,DuckTales
Mrs. Hasagawa,Amy Hill[7],Lilo & Stitch
Mrs. Judson,Diana Chesney[32],The Great Mouse Detective
Mrs. Jumbo,Verna Felton[44],Dumbo
Mrs. Otterton,Octavia Spencer,Zootopia
Mrs. Possum,Mary Lansing[30],Bambi
Mrs. Potts,Angela Lansbury[23],Beauty and the Beast
Mrs. Quail,Thelma Boardman[30],Bambi
Ms. Chicarelli,Mindy Sterling,Kick Buttowski: Suburban Daredevil
Mufasa,James Earl Jones[31],The Lion King
Mulan,Ming-Na WenLea Salonga[45],Mulan
Mungo,Jason Marsden[21],Tarzan
Mushu,Eddie Murphy[45],Mulan
Nakoma,Michelle St. John[35],Pocahontas
Nala,Moira Kelly[31]Niketa Calame[31],The Lion King
Namaari,Gemma Chan,Raya and the Last Dragon
Nana,None,Peter Pan
Nancy Green,Wendi McLendon-Covey,Big City Greens
Nancy Tremaine,Idina Menzel,Enchanted
Nani Pelekai,Tia Carrere[7],Lilo & Stitch
Nanny,Martha Wentworth[18],One Hundred and One Dalmatians
Napoleon the Bloodhound,Pat Buttram[2],The Aristocats
Nasira,Jodi Benson,Aladdin in Nasira's Revenge
Nathaniel,Timothy Spall,Enchanted
Ned,Wayne Knight,Amphibia
Ned,Paul Rugg,Earth to Ned
Ned the Baboon,Charlie Adler,Jungle Cubs
Neera,Julianna Margulies[10],Dinosaur
NegaDuck,Jim Cummings,Darkwing Duck
Nessus,Jim Cummings[13],Hercules
The Newsman,Matt Danner,Muppet Babies
Nibs,Jeffrey Silver[43],Peter Pan
"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia
Nita,Mandy Moore[24],Brother Bear 2
Nurse Mouse,Russi Taylor[47],The Rescuers Down Under
Nutsy the Vulture,Ken Curtis[12],Robin Hood
Oaken,Chris Williams,Frozen
The Octopus,Frank Welker,Return to Never Land
Officer Keys,Andy Daly,Big City Greens
Olaf,Josh Gad,Frozen
Oliver,Joey Lawrence[53],Oliver & Company
Olivia Flaversham,Susanne Pollatschek[32],The Great Mouse Detective
Ollie the Pig,Charlie Dell[11],Home on the Range
Omnitraxus Prime,Carl Weathers,Star vs. the Forces of Evil
Onus,Corey Burton[28],Treasure Planet
Orange Bird,June Foray[11],Foods and Fun: A Nutrition Adventure
Orddu,Eda Reiss Merin[48],The Black Cauldron
Orgoch,Billie Hayes[48],The Black Cauldron
Ortensia,Audrey Wasilewski,The Banker's Daughter
Orville,Jim Jordan[36],The Rescuers
Orville H. Octopus,Dee Bradley BakerMatt Danner,Muppet Babies
Orwen,Adele Malis-Morey[48],The Black Cauldron
Oskar Greason,Jon Heder,Star vs. the Forces of Evil
Oswald the Lucky Rabbit,Frank Welker,Trolley Troubles
Otto,J. Pat O'Malley[12],Robin Hood
Owl,Hal Smith[46],Winnie the Pooh and the Honey Tree
Pacha,John Goodman[41],The Emperor's New Groove
Pain and Panic,Bobcat Goldthwait[13]Matt Frewer[13],Hercules
Panchito Pistoles,Joaquin Garay[20]Carlos Alazraqui,The Three Caballeros
Pantsy,Harland Williams,Kick Buttowski: Suburban Daredevil
Pascal,Frank Welker,Tangled
Patch,Mickey Maga[18],One Hundred and One Dalmatians
Pearl Gesner,Carole Cook[11],Home on the Range
Peg,Peggy Lee[26],Lady and the Tramp
Peg Pete,April Winchell,Goof Troop
Pegasus,Frank Welker,Hercules
Penguin Waiters,Daws ButlerPeter EllenshawDallas McKennonJ. Pat O'MalleyRichard M. ShermanDavid Tomlinson,Mary Poppins
Penn Zero,Thomas Middleditch,Penn Zero: Part-Time Hero
Penny,Sandra Abbott[18],One Hundred and One Dalmatians
Penny,Michelle Stacy[36],The Rescuers
Penny,Miley Cyrus[6],Bolt
Penny's Mom,Grey DeLisle[6],Bolt
Pepa Madrigal,Carolina Gaitán,Encanto
Pepe the King Prawn,Ben Diskin,Muppet Babies
Pepper Ann Pearson,Kathleen Wilhoite,Pepper Ann
Peppo the Italian Cat,Vito Scotti[2],The Aristocats
Percival C. McLeach,George C. Scott[47],The Rescuers Down Under
Percy,Danny Mann[35],Pocahontas
Perdita,Cate Bauer[18],101 Dalmatians
Periwinkle,Lucy Hale[65],Secret of the Wings
Perry Potter,Gary Anthony Williams,The Owl House
Perry the Platypus,Dee Bradley Baker,Phineas and Ferb
Pete,Billy BletcherJim Cummings,Alice Solves the Puzzle
Pete McGee,Jordan Klepper,The Ghost and Molly McGee
Pete Junior,Rob Paulsen,Goof Troop
Peter Pan,Bobby Driscoll[43]Blayne Weaver,Peter PanReturn to Never Land
Peter Pig,Pinto Colvig,The Wise Little Hen
The Phantom Blot,Frank WelkerJohn O'Hurley,DuckTales
Philoctetes,Danny DeVito[13],Hercules
Philippe the Horse,Hal Smith[23],Beauty and the Beast
Phineas Flynn,Vincent Martella,Phineas and Ferb
Pico,Alan Tudyk,Encanto
Piglet,John Fiedler[46],Winnie the Pooh and the Blustery Day
Pinocchio,Dickie Jones[37],Pinocchio
Pip,Jeff BennettKevin Lima,Enchanted
Pistol Pete,Nancy Cartwright,Goof Troop
Plio,Alfre Woodard[10],Dinosaur
Pluto,Pinto ColvigBill Farmer,The Chain Gang
Pocahontas,Irene BedardJudy Kuhn[35],Pocahontas
Poe De Spell,Terry McGovernFrank Welker,DuckTales
Polly Petunia Plantar,Amanda Leighton,Amphibia
Pom-Pom,Frank Welker,Cinderella II: Dreams Come True
Pongo,Rod Taylor[18],101 Dalmatians
Pony Head,Jenny Slate,Star vs. the Forces of Evil
Powerline,Tevin Campbell,A Goofy Movie
Practical Pig,Pinto Colvig,Three Little Pigs
Preston B. Whitmore,John Mahoney[25],Atlantis: The Lost Empire
Pretty Boy,Jerry Stiller[60],Teacher's Pet
Prince,Harry Stockwell[33],Snow White and the Seven Dwarfs
Prince Charming,William Phipps[16],Cinderella
Prince Edward,James Marsden,Enchanted
Prince Eric,Christopher Daniel Barnes[5],The Little Mermaid
Prince Hans,Santino Fontana,Frozen
Prince James,Zach Callison,Sofia the First
Prince John,Peter Ustinov[12],Robin Hood
Prince Naveen,Bruno Campos[42],The Princess and the Frog
Prince Phillip,Bill Shirley[27],Sleeping Beauty
Princess,Queenie Leonard[18],One Hundred and One Dalmatians
Princess Amber,Darcy Rose Byrnes,Sofia the First
Princess Eilonwy,Susan Sheridan[48],The Black Cauldron
Princess Jasmine,Linda LarkinLea Salonga[3],Aladdin
Princess Kidagakash,Cree Summer[25],Atlantis: The Lost Empire
Principal Mazur,Wallace Shawn,A Goofy Movie
Principal Skeeves,Jeff Bennett,Star vs. the Forces of Evil
Priscilla the Chicken,Dee Bradley Baker,Muppet Babies
Prissy the Elephant,Sarah Selby[44],Dumbo
Professor Abominable,JB Blanc,The Owl House
Professor Norton Nimnul,Jim Cummings,Chip 'n Dale Rescue Rangers
Professor Ratigan,Vincent Price[32],The Great Mouse Detective
Pronk Oryx-Antlerson,Jared Bush,Zootopia
Prudence,Holland Taylor,Cinderella II: Dreams Come True
Pua,None,Moana
Pumbaa,Ernie Sabella[31],The Lion King
Pyro,Hamish Blake,Ralph Breaks the Internet
Quackerjack,Michael Bell,Darkwing Duck
Quasimodo,Tom Hulce[4],The Hunchback of Notre Dame
Queen,Kari Wahlgren,Tangled Ever After
Queen Clarion,Anjelica Huston,Disney Fairies
Queen Grimhilde,Lucille La Verne[33],Snow White and the Seven Dwarfs
Queen Leah,Barbara Dirikson,Sleeping Beauty
Queen Miranda,Sara Ramirez,Sofia the First
Queen Mousetoria,Eve Brenner[32],The Great Mouse Detective
Queen Narissa,Susan Sarandon,Enchanted
The Queen of Hearts,Verna Felton[14],Alice in Wonderland
Rabbit,Junius Matthews[46],Winnie the Pooh and the Honey Tree
Rachel,None,Fantasia 2000
Rafael Diaz,Artt Butler,Star vs. the Forces of Evil
Rafiki,Robert Guillaume[31],The Lion King
Rajah,Frank Welker,Aladdin
Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph
"Randall ""Randy"" Cunningham",Ben Schwartz,Randy Cunningham: 9th Grade Ninja
Rapunzel,Mandy Moore[56],Tangled
Rashida Remington,Lorraine Toussaint,Big City Greens
Ratigan,Vincent Price,The Great Mouse Detective
Ratty,Claud Allister[17],The Adventures of Ichabod and Mr. Toad
Ray the Firefly,Jim Cummings[42],The Princess and the Frog
Raya,Kelly Marie Tran,Raya and the Last Dragon
Razoul,Jim Cummings[3],Aladdin
Rebecca Cunningham,Sally Struthers,TaleSpin
Red,Peter Firth[47],The Rescuers Down Under
Remy,Patton Oswalt,Ratatouille (film)
Remy Remington,Zeno Robinson,Big City Greens
Reuben (Experiment 625),Rob Paulsen[55],Stitch! The Movie
Rhino,Mark Walton[6],Bolt
Rhoda Dendron,Jennifer Darling,Darkwing Duck
Rhombulus,Kevin Michael Richardson,Star vs. the Forces of Evil
Rico,Charles Dennis[11],Home on the Range
The Ringmaster,Herman Bing[44],Dumbo
Rita,Sheryl Lee Ralph[53],Oliver & Company
River Butterfly,Alan Tudyk,Star vs. the Forces of Evil
Rizzo the Rat,Benjamin Diskin,Muppet Babies
"Robert ""Bobby"" Zimuruski",Pauly Shore,A Goofy Movie
Robert Callaghan,James Cromwell,Big Hero 6
"Robert Mark ""Robbie"" Sinclair",Jason Willinger,Dinosaurs
Robert Otto,Brad Garrett,Amphibia
Robin Hood,Brian Bedford[12],Robin Hood
Robin the Frog,Eric Bauza,Muppet Babies
Roger Rabbit,Charles Fleischer,Who Framed Roger Rabbit
Roger Radcliffe,Ben Wright[18],101 Dalmatians
Rolly,Barbara Beaird[18],One Hundred and One Dalmatians
Ronaldo,Simon Helberg,Kick Buttowski: Suburban Daredevil
Ron Stoppable,Will Friedle,Kim Possible
Roo,Clint Howard[46],Winnie the Pooh and the Honey Tree
Roo,Dori Whittaker[46],Winnie the Pooh and the Honey Tree
Roquefort the Mouse,Sterling Holloway[2],The Aristocats
Roscoe,Taurean Blacque[53],Oliver & Company
The Rose,Doris Lloyd[14],Alice in Wonderland
Rosetta,Kristin Chenoweth,Disney Fairies
Rowlf the Dog,Matt Danner,Muppet Babies
Roxanne,Kellie Martin,A Goofy Movie
Roy Danger Hess,Sam McMurray,Dinosaurs
Rozzie the Bear,Charlie Townsend,Muppet Babies)
Ruby,Cathy Moriarty[19],Lady and the Tramp II: Scamp's Adventure
Rufus,John McIntire[36],The Rescuers
Rufus,Nancy Cartwright,Kim Possible
Runt of the Litter,Steve Zahn[1],Chicken Little
Russell Remington,Colton Dunn,Big City Greens
Rusty the Dog,G.W. Bailey[11],Home on the Range
Rutt and Tuke,Rick Moranis[52]Dave Thomas[52],Brother Bear
Sadie Croaker,Laila Berzins,Amphibia
Sadira,Kellie Martin,Aladdin (TV series)
Sally ragdoll,Catherine O'Hara,The Nightmare Before Christmas
Sam Flynn,Garrett John Hedlund[11],Tron: Legacy
Sam the Eagle,Eric Bauza,Muppet Babies
Sam the Sheriff,Richard Riehle[11],Home on the Range
Samson the Horse,,Sleeping Beauty
Sarabi,Madge Sinclair[31],The Lion King
Sarafina,Zoe Leader[31],The Lion King
Sarah Hawkins,Laurie Metcalf[28],Treasure Planet
Sarousch,Michael McKean[62],The Hunchback of Notre Dame II
Sasha Waybright,Anna Akana,Amphibia
Sashi Kobayashi,Tania Gunadi,Penn Zero: Part-Time Hero
Scar,Jeremy Irons[31],The Lion King
Scat Cat,Scatman Crothers[2],The Aristocats
Scooter,Ogie Banks,Muppet Babies
Scratch,Dana Snyder,The Ghost and Molly McGee
Scratchy,None,Lady and the Tramp II: Scamp's Adventure
Scrooge McDuck,Alan Young,DuckTales
Scroop,Michael Wincott[28],Treasure Planet
Scuttle,Buddy Hackett[5],The Little Mermaid
Sebastian,Samuel E. Wright[5],The Little Mermaid
Secretary Bird,Lennie Weinrib,Bedknobs and Broomsticks
Sensei Brantley,Nick Swardson,Star vs. the Forces of Evil
Sergeant Calhoun,Jane Lynch,Wreck-It Ralph
Sgt. Tibbs,David Frankham[18],101 Dalmatians
Shan Yu,Miguel Ferrer[45],Mulan
Shank,Gal Gadot,Ralph Breaks the Internet
Shanti (The Girl),Darleen Carr,The Jungle Book
Sha-ron,Mary Gibbs,Mulan II
Sharon McGee,Sumalee Montano,The Ghost and Molly McGee
Sheela,Aparna Nancherla,The Ghost and Molly McGee
Shego,Nicole Sullivan,Kim Possible
Shenzi,Whoopi Goldberg[31],The Lion King
Shere Khan,George Sanders[8],The Jungle Book
Sheriff of Nottingham,Pat Buttram[12],Robin Hood
Shun Gon the Chinese Cat,Paul Winchell[2],The Aristocats
Si & Am,Peggy Lee[26],Lady and the Tramp
"Sidney Tiberius ""Sid"" Turtlepuss",Michelan Sisti,Dinosaurs
Silvermist,Lucy Liu,Disney Fairies
Simba,Jonathan Taylor Thomas[31],The Lion King
Simba,Matthew Broderick[31],The Lion King
Sir Ector,Sebastian Cabot[22],The Sword in the Stone
Sir Giles,Claud Allister,The Reluctant Dragon
Sir Hiss,Terry-Thomas[12],Robin Hood
Sir Kay,Norman Alden[22],The Sword in the Stone
Sir Pellinore,Alan Napier[22],The Sword in the Stone
Sis Bunny,Dana Laurita[12],Robin Hood
Sisu,Awkwafina,Raya and the Last Dragon
Sitka,D. B. Sweeney[52],Brother Bear
Skara,Kimberly Brooks,The Owl House
Skeeter,Cree Summer,Muppet Babies
Skippy Bunny,Billy Whittaker[12],Robin Hood
Sleepy,Pinto Colvig[33],Snow White and the Seven Dwarfs
Slightly,Stuffy Singer[43],Peter Pan
Smolder the Bear,Jim Cummings,Timon and Pumbaa
Sneezy,Billy Gilbert[33],Snow White and the Seven Dwarfs
Snow White,Adriana Caselotti[33],Snow White and the Seven Dwarfs
Snowanna Rainbeau,None,Wreck-It Ralph
Princess Sofia,Ariel Winter,Sofia the First
Soggy Joe,Fred Tatasciore,Amphibia
Sorcerer’s Apprentice,Walt Disney,Fantasia
Sour Bill,Rich Moore,Wreck-It Ralph
Sparky,Mickey Rooney[19],Lady and the Tramp II: Scamp's Adventure
Sparky (Experiment 221),Frank Welker[55],Stitch! The Movie
Sparky,Frank Welker,Frankenweenie
Specks (Glasses) Crow,Nick Stewart[66],Dumbo
Speedy the Snail,Corey Burton,Timon and Pumbaa
